,n,xray_native_5_0+xray_native_5_1_mean,xray_native_5_0+xray_native_5_1_std,ff_mean,ff_std,rmsd_mean,rmsd_std,xray_native_5_0+xray_native_5_1_50,xray_native_5_0+xray_native_5_1_25,xray_native_5_0+xray_native_5_1_75,ff_50,ff_25,ff_75,rmsd_50,rmsd_25,rmsd_75
76,77,8.79147263339223,0.09652237202602705,15057.783020696157,2738.3482571794393,,,8.801239225565407,8.713074607234553,8.870388066834362,14295.661308166444,13443.054308573588,16473.630684439162,,,
77,78,8.790308251973759,0.09603900373170773,15048.36134335525,2720.6908544161597,,,8.798088592994253,8.713074607234553,8.854128268206427,14222.810595593714,13443.054308573588,16421.319520569465,,,
78,79,8.789533612378191,0.09590817762677324,15032.249475183089,2718.7433859573275,,,8.798088592994253,8.713074607234553,8.854128268206427,14035.827519893057,13443.054308573588,16421.319520569465,,,
79,80,8.788257517528104,0.09564093490806454,15022.115693880422,2679.2003688170676,,,8.798088592994253,8.713074607234553,8.854128268206427,14129.319057743385,13443.054308573588,16421.319520569465,,,
80,81,8.787689628790831,0.09584470742880832,15005.605632619694,2678.3587580820486,,,8.798088592994253,8.713074607234553,8.854128268206427,14035.827519893057,13443.054308573588,16421.319520569465,,,
81,82,8.785713587302206,0.0953495220744991,14981.77218018174,2650.735028199923,,,8.798088592994253,8.713074607234553,8.854098801749641,14035.827519893057,13443.054308573588,16398.181765651305,,,
82,83,8.784256603211942,0.09480902568767259,14974.685041313698,2643.8887603430826,,,8.798088592994253,8.713074607234553,8.85408897959738,14035.827519893057,13443.054308573588,16398.181765651305,,,
83,84,8.78235627673698,0.09464259842149757,14946.305606586668,2626.042122541279,,,8.796003314562729,8.713074607234553,8.85408897959738,14035.827519893057,13443.054308573588,16195.411091819586,,,
84,85,8.781275972604751,0.09430611905873419,14940.600759556732,2625.930926051847,,,8.796003314562729,8.713074607234553,8.85408897959738,14035.827519893057,13443.054308573588,16195.411091819586,,,
85,86,8.780329146975859,0.0938602425398048,14916.578020837711,2599.9631977378544,,,8.796003314562729,8.713074607234553,8.852728969638655,14035.827519893057,13443.054308573588,16195.411091819586,,,
86,87,8.77943195577833,0.0935554787420073,14909.937586071252,2590.566540361699,,,8.796003314562729,8.713074607234553,8.852728969638655,14035.827519893057,13443.054308573588,16195.411091819586,,,
87,88,8.778153506861516,0.09359548696739102,14902.139968691828,2598.736063050163,,,8.796003314562729,8.713074607234553,8.852728969638655,14035.827519893057,13443.054308573588,16195.411091819586,,,
88,89,8.777168363171349,0.09303637848609042,14932.77880964487,2644.9097487555578,,,8.796003314562729,8.713074607234553,8.852728969638655,14035.827519893057,13443.054308573588,16195.411091819586,,,
89,90,8.775853477924962,0.09276764274818218,14933.23562057801,2650.720355044432,,,8.796003314562729,8.667216635028858,8.852728969638655,14035.827519893057,13443.054308573588,16195.411091819586,,,
90,91,8.775411531605869,0.09282342897325742,14923.080894231827,2651.652163803287,,,8.796003314562729,8.667216635028858,8.852728969638655,14035.827519893057,13443.054308573588,16195.411091819586,,,
91,92,8.774438216938389,0.09255892992478053,14924.957149485359,2649.5917630284257,,,8.796003314562729,8.667216635028858,8.852728969638655,14035.827519893057,13443.054308573588,16195.411091819586,,,
92,93,8.773610199165132,0.09206847611336076,14912.796048155175,2641.492842960763,,,8.796003314562729,8.667216635028858,8.845246698614947,14035.827519893057,13443.054308573588,16195.411091819586,,,
93,94,8.773145078946852,0.09193064659644695,14934.660447576494,2683.45739318633,,,8.796003314562729,8.667216635028858,8.845246698614947,14035.827519893057,13443.054308573588,16195.411091819586,,,
94,95,8.772198774611443,0.09171843729845762,14935.56047999101,2682.6109834456797,,,8.796003314562729,8.667216635028858,8.845246698614947,14035.827519893057,13443.054308573588,16195.411091819586,,,
95,96,8.771399914387919,0.09116086725499645,14912.46027842785,2628.2629267532425,,,8.796003314562729,8.667216635028858,8.845246698614947,14035.827519893057,13443.054308573588,16195.411091819586,,,
96,97,8.766947399233436,0.08789050078934424,14975.738851253207,2584.8703928976083,,,8.762685277378983,8.667216635028858,8.845246698614947,14035.827519893057,13443.054308573588,16195.411091819586,,,
97,98,8.766058222198803,0.08738757899532822,14968.682285957066,2561.1251639816996,,,8.762685277378983,8.667216635028858,8.842232378365033,14035.827519893057,13443.054308573588,16195.411091819586,,,
98,99,8.764826728369554,0.08712321829925435,14965.156249669026,2561.732702374691,,,8.762685277378983,8.667216635028858,8.842232378365033,14035.827519893057,13443.054308573588,16195.411091819586,,,
99,100,8.763540142537176,0.08670410693580803,14954.068544516838,2540.139754938348,,,8.762685277378983,8.667216635028858,8.842232378365033,14035.827519893057,13443.054308573588,16195.411091819586,,,
100,101,8.76300126220258,0.08637972435846887,14943.617935894476,2562.6810672701417,,,8.762685277378983,8.667216635028858,8.842232378365033,14035.827519893057,13443.054308573588,16195.411091819586,,,
101,102,8.762527362162672,0.08603763296674138,14949.847856548242,2580.0936773172134,,,8.762685277378983,8.667216635028858,8.842232378365033,14035.827519893057,13443.054308573588,16195.411091819586,,,
102,103,8.761982273412288,0.08573543991279822,14942.828502191744,2600.4903069021198,,,8.762685277378983,8.667216635028858,8.842232378365033,14035.827519893057,13443.054308573588,16195.411091819586,,,
103,104,8.761651568951901,0.085412284934406,14937.37506501702,2560.0995673353536,,,8.762685277378983,8.667216635028858,8.842232378365033,14035.827519893057,13443.054308573588,16195.411091819586,,,
104,105,8.760833564173407,0.08515129485915303,14921.251457709812,2538.4650817122993,,,8.762685277378983,8.667216635028858,8.81855856230478,14035.827519893057,13443.054308573588,16195.411091819586,,,
105,106,8.760347556247856,0.0849730792545911,14922.757504312971,2534.872233784314,,,8.762685277378983,8.667216635028858,8.81855856230478,14035.827519893057,13443.054308573588,16195.411091819586,,,
106,107,8.759611251370131,0.08482612914901948,14893.777285167818,2477.42182621908,,,8.762685277378983,8.667216635028858,8.81855856230478,14035.827519893057,13443.054308573588,16195.411091819586,,,
107,108,8.758953639981339,0.08478254655025705,14915.404024080492,2485.4864874698405,,,8.762685277378983,8.667216635028858,8.81855856230478,14035.827519893057,13443.054308573588,16195.411091819586,,,
108,109,8.758242730317923,0.08480876586425133,14912.449584726488,2448.1047496850483,,,8.762685277378983,8.667216635028858,8.81855856230478,14035.827519893057,13443.054308573588,15999.570217250279,,,
109,110,8.757505543314448,0.08461185459231467,14920.17806065105,2445.56284014414,,,8.762685277378983,8.667216635028858,8.81855856230478,14035.827519893057,13443.054308573588,16195.411091819586,,,
110,111,8.75623134823139,0.08379590602623486,14909.11732424511,2416.9091000267013,,,8.72078879511303,8.667216635028858,8.81855856230478,14035.827519893057,13443.054308573588,16195.411091819586,,,
111,112,8.755605249361777,0.08391325624406457,14906.932025392001,2413.481717821536,,,8.72078879511303,8.667216635028858,8.81855856230478,14035.827519893057,13443.054308573588,16195.411091819586,,,
112,113,8.755164596143032,0.08398688373859274,14895.286423631158,2399.3573250167497,,,8.72078879511303,8.667216635028858,8.81855856230478,14035.827519893057,13443.054308573588,15999.570217250279,,,
113,114,8.754538473420729,0.08375177692615869,14889.345435438612,2396.277291621247,,,8.72078879511303,8.667216635028858,8.81855856230478,14035.827519893057,13443.054308573588,15934.289925727177,,,
114,115,8.753443583782332,0.08312360997173485,14848.45678214778,2341.6031056618785,,,8.72078879511303,8.667216635028858,8.808504270424075,14035.827519893057,13443.054308573588,15934.289925727177,,,
115,116,8.752721107987986,0.08290729331861216,14853.054252091879,2334.122062820641,,,8.72078879511303,8.667216635028858,8.808504270424075,14035.827519893057,13443.054308573588,15934.289925727177,,,
116,117,8.751842567983543,0.08285018456154368,14841.56836539354,2288.177394876422,,,8.72078879511303,8.667216635028858,8.808504270424075,14035.827519893057,13443.054308573588,15934.289925727177,,,
117,118,8.751142845645074,0.08289372280910506,14837.574136666439,2289.462468805045,,,8.72078879511303,8.667216635028858,8.808504270424075,14035.827519893057,13443.054308573588,15934.289925727177,,,
118,119,8.750913435989231,0.08286097720601837,14835.882032375655,2288.2847473044335,,,8.72078879511303,8.667216635028858,8.808504270424075,14035.827519893057,13443.054308573588,15934.289925727177,,,
119,120,8.750281413600169,0.08258543109447933,14806.340618839838,2276.3266298104245,,,8.72078879511303,8.667216635028858,8.808504270424075,14035.827519893057,13443.054308573588,15934.289925727177,,,
120,121,8.749511581226404,0.08264042999937124,14803.03975048293,2269.4334386593346,,,8.72078879511303,8.667216635028858,8.808504270424075,14035.827519893057,13443.054308573588,15934.289925727177,,,
121,122,8.748590448077552,0.08256250294093008,14791.410595954452,2276.516337048034,,,8.72078879511303,8.664768850966741,8.808504270424075,14035.827519893057,13443.054308573588,15934.289925727177,,,
122,123,8.748310269929625,0.08241120724663831,14778.243927192276,2263.753744957072,,,8.72078879511303,8.664768850966741,8.808504270424075,14035.827519893057,13443.054308573588,15934.289925727177,,,
123,124,8.747301418725106,0.0822695915390587,14775.827780353451,2263.3731579312716,,,8.72078879511303,8.657425498780395,8.808504270424075,14035.827519893057,13443.054308573588,15934.289925727177,,,
124,125,8.746909135217908,0.08223037192482167,14758.625574635273,2246.359646641738,,,8.72078879511303,8.657425498780395,8.808504270424075,14035.827519893057,13443.054308573588,15934.289925727177,,,
125,126,8.74611921771755,0.08195925410132261,14760.486738031794,2245.7992369518797,,,8.72078879511303,8.657425498780395,8.808504270424075,14035.827519893057,13443.054308573588,15934.289925727177,,,
126,127,8.745628101780422,0.08183802634002046,14749.754139118615,2238.670465112905,,,8.72078879511303,8.657425498780395,8.808504270424075,14035.827519893057,13443.054308573588,15934.289925727177,,,
127,128,8.744980882761366,0.08181449268572445,14733.957107329998,2219.6913980399245,,,8.72078879511303,8.657425498780395,8.808504270424075,14035.827519893057,13443.054308573588,15934.289925727177,,,
128,129,8.744156474385676,0.08152393230862587,14718.651281400898,2194.8237171540814,,,8.72078879511303,8.657425498780395,8.801239225565407,14035.827519893057,13443.054308573588,15934.289925727177,,,
129,130,8.743802632554178,0.08148842878141982,14721.879818306046,2195.4679325050615,,,8.72078879511303,8.657425498780395,8.801239225565407,14035.827519893057,13443.054308573588,15934.289925727177,,,
130,131,8.742982723102307,0.08096969007342147,14705.216110623907,2182.3260070176952,,,8.72078879511303,8.657425498780395,8.801239225565407,14035.827519893057,13443.054308573588,15934.289925727177,,,
131,132,8.742090688865664,0.08087280179036184,14692.173517867086,2175.2616263912705,,,8.718193544813616,8.657425498780395,8.801239225565407,14035.827519893057,13443.054308573588,15934.289925727177,,,
132,133,8.74142881666859,0.08046582789657243,14695.733772456915,2170.973979444006,,,8.718193544813616,8.657425498780395,8.801239225565407,14035.827519893057,13443.054308573588,15934.289925727177,,,
133,134,8.74085581332535,0.08027258713079104,14710.59432955463,2174.859974253187,,,8.718193544813616,8.657425498780395,8.801239225565407,14035.827519893057,13443.054308573588,15934.289925727177,,,
134,135,8.74002570993663,0.08006567149889668,14711.272091709721,2218.2001715559327,,,8.718193544813616,8.657425498780395,8.801239225565407,14035.827519893057,13443.054308573588,15934.289925727177,,,
135,136,8.739413977050452,0.07996084777487623,14700.528564897955,2217.1145662053464,,,8.718193544813616,8.657425498780395,8.801239225565407,14035.827519893057,13443.054308573588,15934.289925727177,,,
136,137,8.739095980973742,0.07982652374874777,14687.990341549525,2174.137452645732,,,8.718193544813616,8.657425498780395,8.801239225565407,14035.827519893057,13397.023429735196,15934.289925727177,,,
137,138,8.73896474625424,0.07977128640766241,14688.359981677151,2171.3944841535385,,,8.718193544813616,8.657425498780395,8.801239225565407,14035.827519893057,13443.054308573588,15934.289925727177,,,
138,139,8.73818857663142,0.07937045855050358,14678.527342107354,2152.9882985296917,,,8.718193544813616,8.657425498780395,8.801239225565407,14035.827519893057,13443.054308573588,15934.289925727177,,,
139,140,8.73774439595069,0.07924709904384467,14684.005825391409,2151.2334111465616,,,8.718193544813616,8.657425498780395,8.801239225565407,14035.827519893057,13443.054308573588,15934.289925727177,,,
140,141,8.736853133040182,0.07887407558357569,14678.64666856063,2134.3389626855146,,,8.718193544813616,8.657425498780395,8.801239225565407,14035.827519893057,13443.054308573588,15934.289925727177,,,
141,142,8.736279428615585,0.07868347846503593,14669.741911086228,2131.8844177925553,,,8.718193544813616,8.657425498780395,8.798088592994253,14035.827519893057,13443.054308573588,15934.289925727177,,,
142,143,8.735284799104363,0.07835418427436251,14659.847213507308,2125.35853376632,,,8.718193544813616,8.657425498780395,8.798088592994253,14035.827519893057,13443.054308573588,15934.289925727177,,,
143,144,8.735143987420628,0.07837169729329173,14658.74848492214,2125.7856550186375,,,8.718193544813616,8.657425498780395,8.798088592994253,14035.827519893057,13397.023429735196,15934.289925727177,,,
144,145,8.733040876213906,0.07752496388391221,14665.626776929088,2022.458101742772,,,8.718193544813616,8.657425498780395,8.798088592994253,14035.827519893057,13443.054308573588,15934.289925727177,,,
145,146,8.732244274594754,0.07700399052553612,14670.10755179276,2014.3715315623574,,,8.718193544813616,8.657425498780395,8.798088592994253,14035.827519893057,13443.054308573588,15934.289925727177,,,
146,147,8.731914330270424,0.07685198490501974,14672.39656579342,2014.4834822296693,,,8.718193544813616,8.657425498780395,8.798088592994253,14035.827519893057,13443.054308573588,15934.289925727177,,,
