,N,J,w_xray,xray_native_2_0+xray_native_2_1,rmsd,r_free_native_2_0,r_work_native_2_0,xray_native_2_0,r_free_native_2_1,r_work_native_2_1,xray_native_2_1,ff,pdb,w_0_native_2_0,w_0_native_2_1,w_1_native_2_0,w_1_native_2_1,cif_0,cif_1
0,2.0,2.0,1.0,8.518573952011543,0.1306220229030629,0.2096288709069624,0.1771667577649688,4.270020463891717,0.1874654984016075,0.1735035402877029,4.248553488119827,55046.79325603676,/wynton/group/sali/mhancock/xray/sample_bench/out/271_native_2_wxray/0/output_12/pdbs/490.pdb,0.3096447018098128,0.508713641092018,0.6903552981901871,0.491286358907982,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_1.cif
1,2.0,2.0,0.5,8.77342877847094,0.1523225480905164,0.2272846706459513,0.1910995577788263,4.361896899521902,0.2260061125830982,0.2082107232228184,4.411531878949038,58543.60557405673,/wynton/group/sali/mhancock/xray/sample_bench/out/271_native_2_wxray/1/output_5/pdbs/291.pdb,0.5073778903846602,0.9875302666440272,0.4926221096153397,0.0124697333559727,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_1.cif
2,2.0,2.0,0.25,9.211943658270895,0.2203697755203247,0.2704081839918335,0.2398231872327098,4.611356313034407,0.2447379553772969,0.2431389273046564,4.600587345236488,61575.10922201112,/wynton/group/sali/mhancock/xray/sample_bench/out/271_native_2_wxray/2/output_2/pdbs/359.pdb,0.38018088735838,0.5614883444104474,0.6198191126416199,0.4385116555895527,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_1.cif
3,2.0,2.0,0.125,9.319655801382616,0.1517221889656642,0.2783736252419857,0.2684683793368727,4.674554932742453,0.2473451728414459,0.2623903045018573,4.645100868640163,16555.191655162904,/wynton/group/sali/mhancock/xray/sample_bench/out/271_native_2_wxray/3/output_4/pdbs/0.pdb,0.5028688077123215,0.0354376441247615,0.4971311922876786,0.9645623558752384,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_1.cif
4,2.0,2.0,0.0625,9.319640126678808,0.1517221889656641,0.2783379217091244,0.268464340891383,4.674541253088533,0.2473711306891858,0.2623830312735721,4.645098873590275,16555.191655162904,/wynton/group/sali/mhancock/xray/sample_bench/out/271_native_2_wxray/4/output_15/pdbs/0.pdb,0.5476513877195934,0.9447068170235728,0.4523486122804067,0.0552931829764272,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_1.cif
5,2.0,2.0,0.03125,8.848781388438233,7.216083855367387,0.611160548261515,0.5723072684759032,5.266382744491687,0.6045918520946795,0.5742486324452052,3.582398643946546,71837.63965958475,/wynton/group/sali/mhancock/xray/sample_bench/out/271_native_2_wxray/5/output_21/pdbs/371.pdb,0.1494131710597094,0.0782241019698304,0.8505868289402906,0.9217758980301696,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_1.cif
6,2.0,1.0,1.0,,0.1022113458168412,0.2134040087220123,0.1523764501587327,4.122617182025037,,,,54001.56031429443,/wynton/group/sali/mhancock/xray/sample_bench/out/271_native_2_wxray/6/output_13/pdbs/418.pdb,0.2999099011538891,,0.7000900988461108,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_0.cif,
7,2.0,1.0,0.5,,0.1418440405219615,0.2137419208871618,0.1767168497081426,4.287625425755473,,,,55634.996625265645,/wynton/group/sali/mhancock/xray/sample_bench/out/271_native_2_wxray/7/output_20/pdbs/487.pdb,0.5956612250083183,,0.4043387749916816,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_0.cif,
8,2.0,1.0,0.25,,1.297265931516615,0.3279832106999392,0.2918651178170633,4.535573931045042,,,,64430.52530513137,/wynton/group/sali/mhancock/xray/sample_bench/out/271_native_2_wxray/8/output_0/pdbs/498.pdb,0.7885008246682801,,0.2114991753317198,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_0.cif,
9,2.0,1.0,0.125,,0.1590488200864708,0.2783690282082806,0.2684733724920524,4.674537192768988,,,,16555.191655162904,/wynton/group/sali/mhancock/xray/sample_bench/out/271_native_2_wxray/9/output_20/pdbs/0.pdb,0.6126125941462381,,0.3873874058537618,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_0.cif,
10,2.0,1.0,0.0625,,0.1590488200864708,0.2783413114110755,0.2684640378857357,4.674535708425454,,,,16555.191655162904,/wynton/group/sali/mhancock/xray/sample_bench/out/271_native_2_wxray/10/output_9/pdbs/0.pdb,0.5448568836351784,,0.4551431163648216,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_0.cif,
11,2.0,1.0,0.03125,,10.08510733817733,0.6099917844054952,0.5734105897206662,4.20830953423725,,,,72204.89258951937,/wynton/group/sali/mhancock/xray/sample_bench/out/271_native_2_wxray/11/output_18/pdbs/267.pdb,0.4681331716851195,,0.5318668283148805,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_0.cif,
12,2.0,1.0,1.0,,0.1134609389337193,,,,0.1659701913645339,0.1530385782766641,4.103031958175007,53902.076183990735,/wynton/group/sali/mhancock/xray/sample_bench/out/271_native_2_wxray/12/output_18/pdbs/421.pdb,,0.5901247077427257,,0.4098752922572743,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_1.cif,
