,avg_min_r_free,min_r_free,avg_r_free
0,0.5333925902357076,0.5136484294355801,0.5538644583598709
1,0.4918822235419507,0.4331167123777587,0.5237133040949193
2,0.4818853621102207,0.4290938491209081,0.5237805693666232
3,0.48742460352245687,0.4410070374909942,0.5280519530365929
4,0.4993804988016716,0.4489140462350356,0.5350107105769809
5,0.5084651843062431,0.4446131526578163,0.5408050062245245
6,0.5195817010410693,0.4579396359301216,0.5458396960015023
7,0.5269502419383532,0.4791859717576942,0.5522069758025598
8,0.5354528037424569,0.4957688800934939,0.5560568144922097
9,0.5486624321810081,0.528015317524133,0.5664708483281865
10,0.5591644504924678,0.5373854921401301,0.5743587548096402
11,0.5581590996888856,0.5245191357883887,0.5839500880253873
12,0.5658633704267872,0.5250004394166002,0.5831218186057252
13,0.5575538440140319,0.5199900913131605,0.5819695317380819
14,0.5540896924696651,0.5173182359870926,0.5819440598651247
15,0.5472567508556807,0.513442668269479,0.5819536867089155
16,0.545806618403995,0.5133787976988669,0.5823706193088933
17,0.5472689951873698,0.5261804027678346,0.5816541315587064
18,0.5360897822036758,0.5082949347829419,0.5807930252397066
19,0.5421828189620759,0.5196428019707816,0.582403854181941
20,0.5344481401385788,0.523054700802698,0.5815952559490847
21,0.5337827470434351,0.5212472775773068,0.5819383048980211
22,0.5334271756167417,0.5222607643328997,0.581214430732083
23,0.5360516985266923,0.5222306398455737,0.5811214181786077
24,0.5335481268812478,0.5269578284601211,0.5813620378526656
25,0.5369409088140742,0.5245544333768133,0.5811944086070024
26,0.533738439499662,0.5201632759239626,0.5808980292542619
27,0.5324070975617718,0.5180576577997228,0.5814536996390014
28,0.532678374149601,0.5179927677826376,0.5807020433521353
29,0.5320435693424527,0.5240163638464678,0.5814330195015196
30,0.5383166702677079,0.5263585102666468,0.5808674879176248
31,0.535011352185114,0.5250559575421535,0.5812953027052271
32,0.5352826832596381,0.5273776336698852,0.581842636809494
33,0.5311418430358962,0.5101102171560075,0.5808662941762656
34,0.5345642501755496,0.5179023347650237,0.581040368727159
35,0.5327083964289174,0.5226740462116151,0.5810092157322534
36,0.5321086797637786,0.5174342762482065,0.5810690352730208
37,0.5339295089735215,0.5250880015254382,0.5809562461473359
38,0.5305369784258563,0.5189130025095126,0.5809886168642427
39,0.5347787559703028,0.5159305353578355,0.5808666086135265
40,0.5324519072658825,0.5179627700215064,0.5807950906747023
41,0.5303552475427531,0.5117652457571679,0.5807249359016627
42,0.5315123174898332,0.5223005769126419,0.5809058072395394
43,0.5345279539742072,0.5125105833020752,0.5806910689164296
44,0.5327539868796699,0.521035763394439,0.5808787276394489
45,0.5321104650656828,0.5215553846772885,0.5807510218948665
46,0.5319215017789027,0.5149727446941619,0.5806709493364903
47,0.5379407657654548,0.5267863882537871,0.5807231547975346
48,0.5319782875062364,0.5127349837919027,0.5806081069319996
49,0.5326584159524583,0.5146317686223754,0.5805678025323161
50,0.5372417959571854,0.5256656935316488,0.580415766573411
51,0.5337956020337955,0.5174456351560862,0.5806694533446308
52,0.5397090452237556,0.5195175806039874,0.5804020942128005
53,0.5415281681000115,0.5219269252404282,0.5806182036350905
54,0.5382600262866902,0.5275469562774164,0.5808727101244014
55,0.5452561929551214,0.513745782531822,0.5808106811756553
56,0.5525896020931892,0.5296921537844808,0.5806613584438587
57,0.5584682908966493,0.5356544631129545,0.5808202911329947
58,0.553571223552734,0.5337055530956115,0.5814558260811732
59,0.5536185328636541,0.5295635818342447,0.5803014063604007
60,0.5675995449734104,0.531045992474769,0.5817138231746564
61,0.5778232618943916,0.5368845563117464,0.5796137356702701
62,0.5742021138191026,0.551640877918788,0.5789830818333903
63,0.5799369308594348,0.5449698970791598,0.5799369308594349
64,0.577850225059484,0.5402646308024429,0.577850225059484
65,0.587221531981503,0.553994122613651,0.587221531981503
66,0.5826383892638787,0.5589793237055228,0.5826383892638787
67,0.577784961903585,0.5562347033237434,0.5777849619035851
68,0.5775432803833888,0.5472352598169892,0.5775432803833888
69,0.5878975644140036,0.5725540832600998,0.5878975644140036
70,0.5832382028938478,0.5659823239229829,0.5832382028938479
71,0.5828233151883744,0.5640703542640907,0.5828233151883744
72,0.59103742327854,0.5723929520124869,0.59103742327854
73,0.5799394784331079,0.5605842223154347,0.5799394784331079
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
