,r_free_0_min_0,r_free_0_min_0_xray_0,r_free_0_min_0_r_work_0,r_free_0_min_0_pdb,r_free_0_min_0_occ_0,r_free_0_min_0_occ_1,r_free_0_min_0_occ_2,r_free_0_min_0_occ_3
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_531/log.csv,0.282469198324903,5.400464025256476,0.2092159986235361,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_531/pdbs/885.pdb,0.215419557797081,0.2846870066911681,0.2868984522250717,0.2129949832866791
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_536/log.csv,0.2763427064617862,5.391851491528303,0.2039803111655812,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_536/pdbs/858.pdb,0.2755325613000506,0.2256591999758945,0.2093295198945896,0.2894787188294653
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_537/log.csv,0.2695217959272465,5.374081800695155,0.2050684616340445,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_537/pdbs/1630.pdb,0.3039700138035691,0.1594754602718207,0.3518343458706212,0.1847201800539889
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_542/log.csv,0.2788824922011482,5.455169469222573,0.224932699405231,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_542/pdbs/295.pdb,0.207763119755006,0.3523845497949657,0.3869887400481597,0.0528635904018683
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_543/log.csv,0.2857873777438214,5.6060569275149055,0.2429104277758886,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_543/pdbs/16.pdb,0.2767051560087928,0.2945870619612193,0.1333670059576631,0.2953407760723247
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_545/log.csv,0.2858829320256191,5.449485256769783,0.2238820781137419,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_545/pdbs/230.pdb,0.2658297314735584,0.4300614532542332,0.1099674743954189,0.1941413408767894
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_544/log.csv,0.2869471342472424,5.581382339064638,0.240736320661498,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_544/pdbs/21.pdb,0.2312245248237656,0.2493357925410125,0.2873061492433025,0.2321335333919194
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_548/log.csv,0.2845403836133118,5.532968928916822,0.2345854066541016,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_548/pdbs/35.pdb,0.0909967885215653,0.3014316290455733,0.3149531079124533,0.2926184745204081
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_546/log.csv,0.2792351716715932,5.401096653520398,0.2113967265086273,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_546/pdbs/427.pdb,0.2554607305784465,0.1951964356468527,0.3131018708992732,0.2362409628754274
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_547/log.csv,0.2880677704391969,5.5209422704588205,0.2334637495235668,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_547/pdbs/53.pdb,0.3856451322410129,0.3174904434259692,0.0607913855329844,0.2360730388000334
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_508/log.csv,0.2757000985082449,5.379368417441719,0.2045674298176953,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_508/pdbs/1287.pdb,0.2735438535511492,0.2281547887457242,0.2959896478461484,0.2023117098569783
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_513/log.csv,0.2831992503460628,5.539221393066145,0.2341354207732258,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_513/pdbs/30.pdb,0.0752254800784622,0.3212471917541132,0.2804165578167436,0.3231107703506808
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_549/log.csv,0.2810270699743901,5.614810004565772,0.2455738096919879,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_549/pdbs/13.pdb,0.070670556389886,0.2960162768391483,0.3389496408299306,0.294363525941035
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_551/log.csv,0.2760009549705403,5.426424890720892,0.2172128774465563,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_551/pdbs/229.pdb,0.1725664463769379,0.2308550626165338,0.2913342986852964,0.3052441923212318
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_550/log.csv,0.2744872877366286,5.533278779516989,0.2364159579300028,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_550/pdbs/83.pdb,0.4131961092360949,0.054681310546588,0.1062119087382317,0.4259106714790851
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_524/log.csv,0.2899896369006785,5.513619093505548,0.2338825733165838,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_524/pdbs/81.pdb,0.4023056746070332,0.0637528366651168,0.3362894388978243,0.1976520498300254
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_505/log.csv,0.2855928231907239,5.419089535731598,0.2106474565251503,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_505/pdbs/849.pdb,0.3104295966051762,0.1690753798231319,0.3011388791145955,0.2193561444570964
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_503/log.csv,0.2861563311539262,5.430719042708253,0.2184558097657948,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_503/pdbs/250.pdb,0.1845443779307637,0.2991518909604104,0.1770289768212764,0.3392747542875494
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_504/log.csv,0.2792112441543743,5.563229553068823,0.2346166536787108,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_504/pdbs/26.pdb,0.4052795925000408,0.0805775243841567,0.4288340116058602,0.085308871509942
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_520/log.csv,0.2815825278797715,5.582807467965279,0.2381719670980645,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_520/pdbs/18.pdb,0.0974743254324625,0.3892240204944656,0.1293317426255533,0.3839699114475186
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_518/log.csv,0.2767063452625012,5.435367882327056,0.222239341070756,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_518/pdbs/226.pdb,0.3903953064525627,0.0497303561019214,0.3336695084537285,0.2262048289917872
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_569/log.csv,0.2812716600992485,5.515636470460976,0.2322931531902968,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_569/pdbs/115.pdb,0.4202616094306614,0.34012062473007,0.2396177658392688,0.0
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_525/log.csv,0.2818536480838479,5.53558242482531,0.2324094654372566,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_525/pdbs/40.pdb,0.0,0.3760635100036401,0.3323160503669258,0.2916204396294342
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_523/log.csv,0.2846964166000175,5.60039230703924,0.2380558736358779,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_523/pdbs/17.pdb,0.4524250212433128,0.0527083317100617,0.4111314678041489,0.0837351792424764
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_530/log.csv,0.2838393343189078,5.545583510630403,0.2344477917577802,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_530/pdbs/32.pdb,0.1073020433350853,0.2496379694449508,0.3311371683631054,0.3119228188568584
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_571/log.csv,0.2875478681010113,5.445339124937624,0.2227074121422145,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/61_7mhj_4/1018129/output_571/pdbs/269.pdb,0.3698525888882577,0.0579242931775923,0.3370807605526542,0.2351423573814957
