,r_free_7mhf,ff,pdb,xray_7mhf,w_0_7mhf,N,J,job_id,r_free_7mhg,xray_7mhg,w_0_7mhg,r_free_7mhh,xray_7mhh,w_0_7mhh,r_free_7mhi,xray_7mhi,w_0_7mhi,r_free_7mhj,xray_7mhj,w_0_7mhj,r_free_7mhk,xray_7mhk,w_0_7mhk,w_1_7mhf,w_1_7mhg,w_1_7mhh,w_1_7mhi,w_1_7mhj,w_1_7mhk,w_2_7mhf,w_3_7mhf,w_2_7mhg,w_3_7mhg,w_2_7mhh,w_3_7mhh,w_2_7mhi,w_3_7mhi,w_2_7mhj,w_3_7mhj,w_2_7mhk,w_3_7mhk,w_4_7mhf,w_5_7mhf,w_6_7mhf,w_7_7mhf,w_4_7mhg,w_5_7mhg,w_6_7mhg,w_7_7mhg,w_4_7mhh,w_5_7mhh,w_6_7mhh,w_7_7mhh,w_4_7mhi,w_5_7mhi,w_6_7mhi,w_7_7mhi,w_4_7mhj,w_5_7mhj,w_6_7mhj,w_7_7mhj,w_4_7mhk,w_5_7mhk,w_6_7mhk,w_7_7mhk,w_8_7mhf,w_9_7mhf,w_10_7mhf,w_11_7mhf,w_12_7mhf,w_13_7mhf,w_14_7mhf,w_15_7mhf,w_8_7mhg,w_9_7mhg,w_10_7mhg,w_11_7mhg,w_12_7mhg,w_13_7mhg,w_14_7mhg,w_15_7mhg,w_8_7mhh,w_9_7mhh,w_10_7mhh,w_11_7mhh,w_12_7mhh,w_13_7mhh,w_14_7mhh,w_15_7mhh,w_8_7mhi,w_9_7mhi,w_10_7mhi,w_11_7mhi,w_12_7mhi,w_13_7mhi,w_14_7mhi,w_15_7mhi,w_8_7mhj,w_9_7mhj,w_10_7mhj,w_11_7mhj,w_12_7mhj,w_13_7mhj,w_14_7mhj,w_15_7mhj,w_8_7mhk,w_9_7mhk,w_10_7mhk,w_11_7mhk,w_12_7mhk,w_13_7mhk,w_14_7mhk,w_15_7mhk,exp_delta,ref_delta,ref_ff_delta
27,,1067.9474364567443,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/16/output_20/pdbs/292.pdb,,,1,2,16,,,,,,,,,,0.2654829034155377,5.803712234595106,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025482903415537717,-0.03146572824313709,625.4052347698714
29,,506.0685755533714,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/17/output_17/pdbs/128.pdb,,,1,2,17,,,,,,,,,,,,,0.2757944947594011,5.78034338040853,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0287944947594011,-0.03720910314768339,39.77411254798449
36,0.3123660799430138,1051.175715036488,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/21/output_12/pdbs/112.pdb,5.645019359287671,1.0,1,3,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08836607994301379,-0.00514723969224351,499.46581085491266
46,,1092.6035887468336,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/24/output_12/pdbs/198.pdb,,,1,3,24,0.2842645099832806,5.519088533112637,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07926450998328063,-0.013272595897971251,736.3309028497144
84,,7012.616965762486,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/37/output_0/pdbs/167.pdb,,,1,3,37,,,,0.2504455050184898,6.032342930469976,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0025544949815102247,-0.051646850369171826,6102.344590222354
85,,6797.804957480736,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/37/output_6/pdbs/251.pdb,,,1,3,37,,,,,,,0.244171528211761,5.612065125288852,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016171528211760988,-0.03879587270097182,5757.916168010459
86,,7048.042887869495,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/37/output_21/pdbs/218.pdb,,,1,3,37,,,,,,,,,,0.2459058224437981,5.713347793993746,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005905822443798114,-0.051042809214876694,6605.500686182622
95,,1111.9306854507713,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/40/output_11/pdbs/223.pdb,,,1,3,40,,,,,,,,,,,,,0.2712562219211268,5.770486784138399,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024256221921126808,-0.04174737598595768,645.6362224453844
104,0.3235183684106414,1365.2454569306992,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/43/output_4/pdbs/284.pdb,5.682042301597861,1.0,1,4,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0995183684106414,0.006005048775384103,813.5355527491238
117,,1203.7246346379177,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/46/output_10/pdbs/14.pdb,,,1,4,46,0.2917053904300967,5.562222297775032,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0867053904300967,-0.005831715451155184,847.4519487407986
152,,10117.91538472262,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/55/output_22/pdbs/218.pdb,,,1,4,55,,,,0.2445210755866657,6.022797615783583,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00847892441333431,-0.05757127980099591,9207.64300918249
153,,2761.4767054334766,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/55/output_10/pdbs/143.pdb,,,1,4,55,,,,,,,0.2424495753152279,5.649731038891783,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014449575315227892,-0.040517825597504914,1721.587915963199
154,,10117.91538472262,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/55/output_22/pdbs/218.pdb,,,1,4,55,,,,,,,,,,0.24736051874978,5.707768895984985,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007360518749779998,-0.04958811290889481,9675.373183035748
155,,2878.528274187255,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/55/output_16/pdbs/237.pdb,,,1,4,55,,,,,,,,,,,,,0.2595577933705631,5.760681709081831,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01255779337056312,-0.05344580453652137,2412.233811181868
161,0.3368800648152603,1382.874805838322,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/57/output_12/pdbs/7.pdb,5.72149100929281,1.0,1,5,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11288006481526028,0.019366745180002976,831.1649016567465
172,,567.1928676234581,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/59/output_19/pdbs/252.pdb,,,1,5,59,0.3058731567581954,5.618307178968278,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10087315675819539,0.008336050876943502,210.92018172633902
177,,771.2339611745483,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/60/output_14/pdbs/289.pdb,,,1,5,60,,,,0.2556728395843841,6.154200615102467,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002672839584384079,-0.04641951580327752,-139.03841436558366
178,,1258.8223360942195,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/60/output_19/pdbs/184.pdb,,,1,5,60,,,,,,,0.2437673014308503,5.686655552116215,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015767301430850283,-0.03920009948188252,218.933546623942
179,,1186.8310893046807,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/60/output_21/pdbs/66.pdb,,,1,5,60,,,,,,,,,,0.2640728910495077,5.806594186276801,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024072891049507716,-0.03287574060916709,744.2888876178079
180,,1428.2784067813625,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/60/output_22/pdbs/43.pdb,,,1,5,60,,,,,,,,,,,,,0.261460485648569,5.762844195285275,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014460485648569,-0.05154311225851549,961.9839437759756
186,0.3491672348393781,897.8021577190511,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/62/output_6/pdbs/183.pdb,5.784002348844707,1.0,1,6,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1251672348393781,0.03165391520412081,346.0922535374757
187,,788.3966079586332,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/62/output_15/pdbs/289.pdb,,,1,6,62,0.3228449393032305,5.662649217118629,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1178449393032305,0.02530783342197862,432.1239220615141
188,,890.4935702826835,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/62/output_5/pdbs/34.pdb,,,1,6,62,,,,0.2601302183139483,6.216597201037357,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007130218313948278,-0.041962137073713324,-19.778805257448425
189,,862.3297466360734,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/62/output_17/pdbs/241.pdb,,,1,6,62,,,,,,,0.2512233469336314,5.736532379561988,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0232233469336314,-0.031744053979101405,-177.5590428342041
190,,870.3139161506956,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/62/output_22/pdbs/220.pdb,,,1,6,62,,,,,,,,,,0.2709539730752344,5.851228144835599,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030953973075234398,-0.02599465858344041,427.7717144638227
191,,458.9883733453664,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/62/output_11/pdbs/95.pdb,,,1,6,62,,,,,,,,,,,,,0.2648427835179315,5.793064009068012,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017842783517931504,-0.048160814389152984,-7.3060896600204615
192,0.2931868358439165,2061.258392157746,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/63/output_5/pdbs/145.pdb,5.44073739133404,0.4812940983827993,2,1,63,,,,,,,,,,,,,,,,0.5187059016172006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06918683584391652,-0.02432648379134078,1509.5484879761707
193,,2083.992396412099,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/64/output_16/pdbs/67.pdb,,,2,1,64,0.2779204551164332,5.345074975305954,0.5241125850560988,,,,,,,,,,,,,,0.4758874149439012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07292045511643322,-0.019616650764818666,1727.7197105149799
194,,2003.7712721045496,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/65/output_23/pdbs/201.pdb,,,2,1,65,,,,0.2854463517801016,5.985685488472395,0.4967875924397921,,,,,,,,,,,,0.5032124075602078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03244635178010158,-0.016646003607560023,1093.4988965644175
195,,1697.5414264524436,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/66/output_11/pdbs/81.pdb,,,2,1,66,,,,,,,0.2649584596391762,5.514386804193845,0.4793927691342392,,,,,,,,,,0.5206072308657608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03695845963917618,-0.018008941273556622,657.6526369821661
196,,1781.4237558918946,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/67/output_16/pdbs/125.pdb,,,2,1,67,,,,,,,,,,0.278143828877944,5.634236120300158,0.4869893433296112,,,,,,,,0.5130106566703888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038143828877943986,-0.018804802780730823,1338.8815542050218
197,,2280.227851556672,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/68/output_17/pdbs/169.pdb,,,2,1,68,,,,,,,,,,,,,0.285393290918002,5.501438420812277,0.4984667088064755,,,,,,0.5015332911935245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03839329091800198,-0.02761030698908251,1813.933388551285
198,0.2793369319000984,2424.053972261374,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/69/output_17/pdbs/197.pdb,5.460668448339153,0.4931498268738506,2,2,69,,,,,,,,,,,,,,,,0.5068501731261493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05533693190009839,-0.03817638773515891,1872.3440680797985
199,,2452.5993570796386,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/69/output_6/pdbs/73.pdb,,,2,2,69,0.2688392103346352,5.359525311475274,0.4818027933071573,,,,,,,,,,,,,,0.5181972066928426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06383921033463522,-0.02869789554661667,2096.3266711825195
216,,4659.819985673422,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/78/output_15/pdbs/172.pdb,,,2,2,78,,,,0.2345854039865178,5.824762736222839,0.5374328866638989,,,,,,,,,,,,0.4625671133361012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.018414596013482193,-0.0675069514011438,3749.5476101332897
217,,4740.854580453533,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/78/output_3/pdbs/52.pdb,,,2,2,78,,,,,,,0.2223445693102027,5.399039182824983,0.5718062581932879,,,,,,,,,,0.4281937418067121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0056554306897973194,-0.060622831602530125,3700.965790983256
223,,2546.356131984003,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/81/output_19/pdbs/215.pdb,,,2,2,81,,,,,,,,,,0.2357777877359042,5.531600875100208,0.5158148617305641,,,,,,,,0.4841851382694359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004222212264095804,-0.06117084392277061,2103.81393029713
225,,2271.89995492882,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/82/output_10/pdbs/288.pdb,,,2,2,82,,,,,,,,,,,,,0.2463593348814001,5.500127841205201,0.5137601691885983,,,,,,0.4862398308114016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0006406651185998924,-0.06664426302568438,1805.6054919234332
237,0.2895021836297648,2681.127013133928,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/87/output_18/pdbs/190.pdb,5.493176313008564,0.6124163227945313,2,3,87,,,,,,,,,,,,,,,,0.3875836772054687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06550218362976482,-0.028011136005492487,2129.4171089523525
238,,3459.900325390085,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/87/output_20/pdbs/111.pdb,,,2,3,87,0.2648939703064362,5.33710913961553,0.4197015175940375,,,,,,,,,,,,,,0.5802984824059626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0598939703064362,-0.032643135574815685,3103.627639492966
276,,5846.588313151528,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/189_exp_ref_10000/100/output_15/pdbs/292.pdb,,,2,3,100,,,,0.2158988501747692,5.808978670496962,0.5307239688100982,,,,,,,,,,,,0.4692760311899018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0371011498252308,-0.0861935052128924,4936.315937611396
