,N,J,w_xray,r_free,w_0_native_0,w_1_native_0,r_work_native_0,r_free_native_1,r_work_native_1,ff,pdb,cif_0,cif_1,w_0_native_1,w_1_native_1
18,2.0,2.0,1.0,0.1707710336478788,0.9,0.1,0.158381416613415,0.172936285330667,0.1539275879950511,9160.730099532027,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/18/output_0/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,,
19,2.0,2.0,0.5,0.1629330981653673,0.9,0.1,0.1562104592590593,0.1766532120027091,0.1651902112452093,5307.828239443059,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/19/output_2/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,,
20,2.0,2.0,0.25,0.1195629794928346,0.9,0.1,0.1124952964313859,0.1524514160434956,0.1462242539545857,5402.790921794529,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/20/output_5/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,,
21,2.0,2.0,0.125,0.1580544676821705,0.9,0.1,0.144848044076367,0.1393244754217396,0.1311211796121889,6075.736514856774,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/21/output_0/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,,
22,2.0,2.0,0.0625,0.3077035409809956,0.9,0.1,0.2830367657724106,0.2998615142566426,0.2727573436060276,26723.03244769569,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/22/output_4/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,,
23,2.0,2.0,0.03125,0.6072936170094314,0.9,0.1,0.5339483020059438,0.6552165885513542,0.5430109933038034,28928.72996453389,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/23/output_1/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,,
24,2.0,1.0,1.0,0.19450298992864,0.9,0.1,0.1765558120181562,,,12827.26801778733,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/24/output_3/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,,,
25,2.0,1.0,0.5,0.2115966640529273,0.9,0.1,0.186886851750567,,,17137.844220217128,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/25/output_3/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,,,
26,2.0,1.0,0.25,0.2177668598949286,0.9,0.1,0.198543035999745,,,13817.289060618086,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/26/output_4/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,,,
27,2.0,1.0,0.125,0.2050110061832292,0.9,0.1,0.1942015356290787,,,11005.903813059196,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/27/output_5/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,,,
28,2.0,1.0,0.0625,0.2233377519348322,0.9,0.1,0.2081289067173571,,,19662.742103949648,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/28/output_6/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,,,
29,2.0,1.0,0.03125,0.4192999642325954,0.9,0.1,0.366050807349536,,,30251.169653681547,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/29/output_8/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,,,
30,2.0,1.0,1.0,0.182791470079208,,,,,0.1644961216477764,14694.605036561765,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/30/output_4/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,,0.1,0.9
31,2.0,1.0,0.5,0.2056364916748238,,,,,0.1831903538836863,11747.445060673805,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/31/output_1/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,,0.1,0.9
32,2.0,1.0,0.25,0.2258381805749513,,,,,0.1999682198503543,16691.456320492365,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/32/output_6/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,,0.1,0.9
33,2.0,1.0,0.125,0.2071822666999841,,,,,0.1897066345681997,11672.26285520535,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/33/output_6/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,,0.1,0.9
34,2.0,1.0,0.0625,0.2078894393390447,,,,,0.1897841633427668,18848.02440958523,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/34/output_5/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,,0.1,0.9
35,2.0,1.0,0.03125,0.3766728961126585,,,,,0.3423804042693099,38104.430326435264,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/35/output_4/pdbs/499.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,,0.1,0.9
