,N,J,w_xray,r_free_native_0,r_work_native_0,xray_native_0,rmsd_native_0,r_free_native_1,r_work_native_1,xray_native_1,rmsd_native_1,ff,pdb,w_0_native_0,w_0_native_1,w_1_native_0,w_1_native_1,cif_0,cif_1
0,2.0,2.0,1.0,0.1751533662086871,0.1696886193563187,4.181178032809298,0.0955128276327955,0.1841770690510706,0.1782569227591545,4.234631331913632,0.101867740884786,1413.3322753884272,/wynton/group/sali/mhancock/xray/sample_bench/out/264_sb_sa_w_ref/0/output_18/pdbs/499.pdb,0.2360553454485776,0.7554464649116783,0.7639446545514225,0.2445535350883216,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif
1,2.0,2.0,0.5,0.1737447400812805,0.1674379307240747,4.170600825654702,0.0810660509871208,0.1801268848896084,0.1735424121452705,4.222459290249597,0.1089669204725029,1095.6406690275076,/wynton/group/sali/mhancock/xray/sample_bench/out/264_sb_sa_w_ref/1/output_2/pdbs/499.pdb,0.754942046888111,0.263527874063086,0.245057953111889,0.7364721259369139,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif
2,2.0,2.0,0.25,0.1720822628987295,0.1672051104634902,4.185054208464893,0.1122512943930803,0.1637105327704332,0.1609832369234317,4.146030767990787,0.075384642563259,1014.8343988779573,/wynton/group/sali/mhancock/xray/sample_bench/out/264_sb_sa_w_ref/2/output_6/pdbs/499.pdb,0.6877755735820295,0.2664347817800103,0.3122244264179706,0.7335652182199898,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif
3,2.0,2.0,0.125,0.1592265661691529,0.1578525542219892,4.153172742279462,0.1270342031294683,0.1472695190811977,0.1496481245003404,4.104946095956539,0.0829186259970274,740.2966299262476,/wynton/group/sali/mhancock/xray/sample_bench/out/264_sb_sa_w_ref/3/output_2/pdbs/499.pdb,0.6646346065185728,0.3158519574666695,0.3353653934814273,0.6841480425333304,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif
4,2.0,2.0,0.0625,0.2192373727777071,0.2159947457575181,4.452018697145666,0.2032160781419045,0.2237049823952802,0.2222744172144636,4.482895642531953,0.1771311646218762,726.0186210129583,/wynton/group/sali/mhancock/xray/sample_bench/out/264_sb_sa_w_ref/4/output_10/pdbs/499.pdb,0.5940265932079573,0.5227753734217411,0.4059734067920427,0.477224626578259,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif
5,2.0,2.0,0.03125,0.3253637138068634,0.3153824848377928,4.605156343827448,0.9430818641108538,0.3437342470250611,0.3345579308867135,4.657211010681855,1.031193103521511,1339.028620894511,/wynton/group/sali/mhancock/xray/sample_bench/out/264_sb_sa_w_ref/5/output_11/pdbs/499.pdb,0.2863451829969207,0.3101156432348319,0.7136548170030793,0.6898843567651681,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif
6,2.0,1.0,1.0,0.1667570859946042,0.1462194061051074,3.954804169418981,0.0600585359374841,,,,,6283.911314499666,/wynton/group/sali/mhancock/xray/sample_bench/out/264_sb_sa_w_ref/6/output_5/pdbs/499.pdb,0.4216977863253436,,0.5783022136746563,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,
7,2.0,1.0,0.5,0.1677704577223098,0.1481185307217044,3.983431771202536,0.0651861966591022,,,,,6756.574485275636,/wynton/group/sali/mhancock/xray/sample_bench/out/264_sb_sa_w_ref/7/output_3/pdbs/499.pdb,0.4324688505251943,,0.5675311494748057,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,
8,2.0,1.0,0.25,0.1643558742633415,0.1501828652962772,3.983843391017472,0.0980942445219408,,,,,5007.018320282357,/wynton/group/sali/mhancock/xray/sample_bench/out/264_sb_sa_w_ref/8/output_9/pdbs/499.pdb,0.5149236439196753,,0.4850763560803247,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,
9,2.0,1.0,0.125,0.1553974729935285,0.1409919466104618,3.962454582841717,0.1101846581496644,,,,,5773.360116456466,/wynton/group/sali/mhancock/xray/sample_bench/out/264_sb_sa_w_ref/9/output_16/pdbs/499.pdb,0.5492319812318253,,0.4507680187681748,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,
