,N,J,w_xray,r_free,w_0_7mhl,r_work_7mhl,ff,pdb,cif_0,r_free_7mhm,r_work_7mhm,cif_1,w_1_7mhl,w_2_7mhl,w_3_7mhl,w_4_7mhl,w_5_7mhl,w_6_7mhl,w_7_7mhl
10,1.0,1.0,32.0,0.2546265142621447,1.0,0.2118120504420763,37940.82865462887,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/10/output_19/pdbs/6.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,,,,,,,,,,
11,1.0,2.0,0.03125,0.3139704761538797,1.0,0.3207910959442833,1158.697394114324,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/11/output_5/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.3364844668405847,0.3421205113269711,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif,,,,,,,
12,1.0,2.0,0.0625,0.3144804177983724,1.0,0.3202698270714103,1197.346549151718,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/12/output_21/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.3370382585785117,0.3405764829060688,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif,,,,,,,
13,1.0,2.0,0.125,0.2734649853193865,1.0,0.2805354864127282,1464.160382651758,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/13/output_11/pdbs/27.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.2698984190520618,0.2728083388080746,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif,,,,,,,
14,1.0,2.0,0.25,0.2589163307836246,1.0,0.2594090077541015,1487.268181808012,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/14/output_9/pdbs/74.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.2595901519571191,0.2462584584293046,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif,,,,,,,
15,1.0,2.0,0.5,0.2562707158220115,1.0,0.2529950794326379,1503.670495326846,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/15/output_0/pdbs/7.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.2512636260770252,0.2381990571514933,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif,,,,,,,
16,1.0,2.0,1.0,0.263705043641698,1.0,0.2559471316497656,2516.1599615156542,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/16/output_13/pdbs/4.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.2494864335290161,0.2316805361246583,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif,,,,,,,
17,1.0,2.0,2.0,0.2792079798967081,1.0,0.2663079780203574,10663.077158113098,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/17/output_5/pdbs/3.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.2582388180328298,0.2258305520559513,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif,,,,,,,
18,1.0,2.0,4.0,0.2885440914313954,1.0,0.2719088024351705,13541.41723550502,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/18/output_20/pdbs/2.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.2769361475252927,0.2450860270253861,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif,,,,,,,
19,1.0,2.0,8.0,0.2929208653899914,1.0,0.2774487767884844,21243.55965433372,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/19/output_18/pdbs/3.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.2602893520312295,0.2206410610496526,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif,,,,,,,
20,1.0,2.0,16.0,0.2934359528141675,1.0,0.2792839287089126,22124.710241602166,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/20/output_15/pdbs/3.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.2590121300909235,0.2201283469966704,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif,,,,,,,
21,1.0,2.0,32.0,0.2938239572193922,1.0,0.2801992735523101,22648.332087433515,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/21/output_17/pdbs/3.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.2588328569136018,0.2198478533397178,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif,,,,,,,
22,2.0,1.0,0.03125,0.3144019696080583,0.5,0.3195936080007195,2407.228383166841,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/22/output_11/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,,,,0.5,,,,,,
23,2.0,1.0,0.0625,0.3109788831169372,0.5,0.3175838598583164,2448.5355962938265,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/23/output_17/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,,,,0.5,,,,,,
24,2.0,1.0,0.125,0.2530764904305393,0.5,0.2544696171832272,3392.5735911139213,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/24/output_23/pdbs/162.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,,,,0.5,,,,,,
25,2.0,1.0,0.25,0.2004413717982965,0.5,0.1970895728866105,3359.01202204086,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/25/output_21/pdbs/163.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,,,,0.5,,,,,,
26,2.0,1.0,0.5,0.1811771882295615,0.5,0.1713809734434278,3705.3858239240135,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/26/output_7/pdbs/87.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,,,,0.5,,,,,,
27,2.0,1.0,1.0,0.1764587886871566,0.5,0.1566114782879681,6240.281455765918,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/27/output_4/pdbs/214.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,,,,0.5,,,,,,
28,2.0,1.0,2.0,0.1716337709455598,0.5,0.1389425570869135,48342.298736542674,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/28/output_6/pdbs/57.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,,,,0.5,,,,,,
29,2.0,1.0,4.0,0.1803124942244071,0.5,0.1426554568260001,69599.86864609926,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/29/output_13/pdbs/134.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,,,,0.5,,,,,,
30,2.0,1.0,8.0,0.1814072379669203,0.5,0.1428067386720039,111677.59202927108,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/196_w_bench/30/output_2/pdbs/106.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,,,,0.5,,,,,,
