,r_work_native_1,xray_native_0,w_0_native_0,rmsd_native_1,w_1_native_0,w_0_native_1,xray_native_0+xray_native_1,w_1_native_1,r_free_native_0,ff,r_work_native_0,rmsd_native_0,pdb,xray_native_1,r_free_native_1,rmsd,out_id
0,0.194672741962702,4.387396561997763,0.4458443333694826,0.104351054179758,0.5541556666305174,0.5844684829748283,8.739125616746144,0.4155315170251717,0.2039576078544661,2810.4097565717443,0.2013997914941999,0.1114323582112217,/wynton/group/sali/mhancock/xray/sample_bench/out/267_full_ref/0/output_487/pdbs/499.pdb,4.35172905474838,0.1924422007465476,0.1078917061954899,487
1,0.312453311764975,4.441596518842928,0.7726007663124624,1.132296850637943,0.2273992336875375,0.7212821897700299,9.033674291447714,0.2787178102299701,0.2745099538346094,5524.312025401283,0.2663672587664441,0.9098557528158776,/wynton/group/sali/mhancock/xray/sample_bench/out/267_full_ref/0/output_876/pdbs/499.pdb,4.592077772604785,0.3227993781035196,1.0210763017269102,876
2,0.2183377130526969,4.203340320389537,0.7010005057331932,0.1473636675773018,0.2989994942668068,0.4951414800603462,8.653526382898526,0.5048585199396539,0.1856897251153886,3315.716262875467,0.1793170091899653,0.1337927249223355,/wynton/group/sali/mhancock/xray/sample_bench/out/267_full_ref/0/output_182/pdbs/499.pdb,4.450186062508989,0.220442978706183,0.1405781962498186,182
3,0.111297624885413,3.9014046951677233,0.2845867763361701,0.0497857054921512,0.71541322366383,0.7496339926528485,7.736012142989848,0.2503660073471515,0.12239538507718,4740.196116761767,0.1197475240329763,0.103583139590624,/wynton/group/sali/mhancock/xray/sample_bench/out/267_full_ref/0/output_908/pdbs/499.pdb,3.834607447822125,0.1154735086129754,0.0766844225413876,908
4,0.2671025989653321,4.509641716752083,0.1796399474632291,1.598828293589171,0.8203600525367709,0.1625634753260537,8.966710102607054,0.8374365246739464,0.2966138875966659,9084.194379716531,0.284325901017911,1.758102292634922,/wynton/group/sali/mhancock/xray/sample_bench/out/267_full_ref/0/output_320/pdbs/499.pdb,4.457068385854972,0.2814209051487351,1.6784652931120465,320
5,0.148932093160291,4.2833745402605645,0.6442864323454968,0.0697377659321757,0.3557135676545032,0.1654687859453293,8.320652963527358,0.8345312140546707,0.187018349380764,4571.138768470641,0.1834504243281318,0.1777431335590631,/wynton/group/sali/mhancock/xray/sample_bench/out/267_full_ref/0/output_471/pdbs/499.pdb,4.037278423266795,0.1533457729463693,0.1237404497456194,471
6,0.2081279360778589,4.465250225725001,0.5437582386442336,0.1095551530444656,0.4562417613557665,0.6138835245379831,8.847875046953458,0.3861164754620169,0.2231405676762335,2681.037841652456,0.2215882141408506,0.1276489403254403,/wynton/group/sali/mhancock/xray/sample_bench/out/267_full_ref/0/output_591/pdbs/499.pdb,4.382624821228457,0.2062151050232443,0.1186020466849529,591
7,0.1637163618454946,4.465436518684816,0.4891685773395698,0.0654647699938861,0.5108314226604301,0.902729943088883,8.560834498389179,0.0972700569111169,0.2361236961059936,4168.959044317893,0.2235088055931319,0.2402517997054574,/wynton/group/sali/mhancock/xray/sample_bench/out/267_full_ref/0/output_817/pdbs/499.pdb,4.095397979704362,0.1655290859772605,0.1528582848496718,817
8,0.2015878952527541,4.529184468151416,0.5507679974847759,0.1365100418379852,0.449232002515224,0.7046247991622417,8.88532954502635,0.2953752008377582,0.2427812047389392,3934.541825870486,0.2374455933852768,0.1570179084628208,/wynton/group/sali/mhancock/xray/sample_bench/out/267_full_ref/0/output_797/pdbs/499.pdb,4.356145076874934,0.1940922239941361,0.146763975150403,797
9,0.2142696321963759,4.654671510002411,0.3199538573592858,0.0709554209987983,0.6800461426407142,0.0032188525361918,8.959729319298035,0.996781147463808,0.3833901697115213,6201.811919385162,0.3535733094749701,2.059412018315089,/wynton/group/sali/mhancock/xray/sample_bench/out/267_full_ref/0/output_820/pdbs/499.pdb,4.305057809295623,0.2414693296448727,1.0651837196569436,820
10,0.2920788631838364,4.5482937839095445,0.2376485365792985,0.9717594433373022,0.7623514634207015,0.2964662804091073,9.129570972056435,0.7035337195908927,0.268594937866192,4770.81253950998,0.2572501419130816,0.7786977551225498,/wynton/group/sali/mhancock/xray/sample_bench/out/267_full_ref/0/output_292/pdbs/499.pdb,4.581277188146891,0.3038423980724463,0.875228599229926,292
11,0.1787982401437349,4.064922017705892,0.2644635794483987,0.1587098261830744,0.7355364205516013,0.6488327132038936,8.329227198506636,0.3511672867961065,0.156328950722029,3855.3154602113104,0.1500935741537971,0.220307495313018,/wynton/group/sali/mhancock/xray/sample_bench/out/267_full_ref/0/output_692/pdbs/499.pdb,4.264305180800745,0.1829640050860306,0.1895086607480462,692
12,0.1610322754586041,4.138200730943374,0.2730209896776628,0.0822809569682331,0.7269790103223372,0.6557356517287068,8.287329894659877,0.3442643482712931,0.1686681174797282,3515.845573890945,0.1601907233332695,0.0708466137089235,/wynton/group/sali/mhancock/xray/sample_bench/out/267_full_ref/0/output_778/pdbs/499.pdb,4.149129163716503,0.1706486314842097,0.0765637853385783,778
13,0.2044847486016908,4.589223007289272,0.5986309032887529,0.1439385016342025,0.401369096711247,0.7769901117307911,8.923865657862127,0.2230098882692089,0.2563800827161607,3587.8839222883216,0.2555758056988367,0.2703605837545063,/wynton/group/sali/mhancock/xray/sample_bench/out/267_full_ref/0/output_304/pdbs/499.pdb,4.334642650572855,0.2099435019225604,0.2071495426943544,304
