,N,J,w_xray,xray_native_0+xray_native_1,rmsd,r_free_native_0,r_work_native_0,xray_native_0,rmsd_native_0,r_free_native_1,r_work_native_1,xray_native_1,rmsd_native_1,ff,pdb,w_0_native_0,w_0_native_1,w_1_native_0,w_1_native_1,cif_0,cif_1
0,2.0,2.0,0.25,7.498545069053928,0.0452865264062025,0.1160187805844096,0.103288582118468,3.781035231172294,0.0493223282180165,0.105565152587477,0.0970431490608118,3.717509837881634,0.0412507245943885,9291.639531438772,/wynton/group/sali/mhancock/xray/sample_bench/out/267_full_ref/0/output_616/pdbs/499.pdb,0.9394406859260148,0.1298656035164883,0.060559314073985,0.8701343964835117,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif
1,2.0,1.0,0.25,,0.0569068573903277,0.1197634052032328,0.1089005168402711,3.6499518832331614,0.0569068573903277,,,,,16256.581657024502,/wynton/group/sali/mhancock/xray/sample_bench/out/267_full_ref/1/output_144/pdbs/499.pdb,0.5020955604530698,,0.4979044395469303,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,
2,2.0,1.0,0.25,,0.0385911159547865,,,,,0.1230782216275729,0.1146148428144586,3.675214443948198,0.0385911159547865,16623.652726455366,/wynton/group/sali/mhancock/xray/sample_bench/out/267_full_ref/2/output_46/pdbs/499.pdb,,0.5289801984756008,,0.4710198015243991,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,
