,N,J,w_xray,r_free_native_0,rmsd,r_work_native_0,xray_native_0,rmsd_native_0,r_free_native_1,r_work_native_1,xray_native_1,rmsd_native_1,ff,pdb,w_0_native_0,w_0_native_1,w_1_native_0,w_1_native_1,cif_0,cif_1
0,2.0,2.0,0.25,0.1139451961307654,0.053332394937319,0.1080470354695454,3.802482766451954,0.0534689679982975,0.1329505984341686,0.1247320378902122,3.9639576499740894,0.0531958218763404,15849.821447814851,/wynton/group/sali/mhancock/xray/sample_bench/out/267_full_ref/0/output_581/pdbs/499.pdb,0.9275747314566662,0.1618708134979434,0.0724252685433337,0.8381291865020565,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif
1,2.0,1.0,0.25,0.1197634052032328,0.0569068573903277,0.1089005168402711,3.6499518832331614,0.0569068573903277,,,,,16256.581657024502,/wynton/group/sali/mhancock/xray/sample_bench/out/267_full_ref/1/output_144/pdbs/499.pdb,0.5020955604530698,,0.4979044395469303,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,
2,2.0,1.0,0.25,,0.0426562048512003,,,,0.1229250629484278,0.1151842313548709,3.705577897689135,0.0426562048512003,10316.308282760236,/wynton/group/sali/mhancock/xray/sample_bench/out/267_full_ref/2/output_176/pdbs/499.pdb,,0.5001487076603245,,0.4998512923396755,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,
