,n,rmsd_mean,rmsd_std,rmsd_50,rmsd_25,rmsd_75
0,1,0.3023094302386273,0.3914162196048589,0.1528746338354976,0.11177812657276415,0.27643295556784486
1,2,0.15031461976860117,0.14806845807624514,0.121105447022385,0.0903633740209889,0.15440438936281037
2,3,0.113134317439487,0.05426628120086578,0.1043707219445857,0.08173476582706997,0.13234974001814434
3,4,0.10001111292617852,0.042034254403360574,0.0945719193959079,0.07424000505144623,0.12079249310855616
4,5,0.09254751098576236,0.03128448208431671,0.0894681838969078,0.06815509613491652,0.1126233763492297
5,6,0.08709828336419391,0.028505279127394312,0.0857992834141376,0.0647435274206905,0.10534624037906667
6,7,0.08286648848321412,0.02649300878830654,0.0818087120649616,0.0611313666460449,0.09913016193730878
7,8,0.0798690563936955,0.024900353613824738,0.07844372216314865,0.05940719110378785,0.0954283526844589
8,9,0.0770921843694571,0.023552059163911343,0.075297274232972,0.0576184956334472,0.0934226136271915
9,10,0.07503403371821343,0.02268589278584766,0.0706522932018685,0.0569038099346667,0.08946519988258847
10,11,0.0731250057095538,0.02129392862782536,0.0695604754172882,0.0563675148276333,0.0872197955740696
11,12,0.07163093202784561,0.02030528758451473,0.0681077408908798,0.055626919087784,0.085835086585074
12,13,0.0700749968010128,0.019471924016973424,0.0662330404118479,0.054872880256749,0.084839218815468
13,14,0.06897059842822946,0.018867990947708857,0.0656357776393445,0.0533527282395745,0.083560668667975
14,15,0.06780391133501466,0.018222368241113847,0.0650294291376455,0.053332394937319,0.0818087120649616
15,16,0.0667500521233653,0.017862258211448923,0.06309140918215855,0.0523563930703668,0.0797995860758957
16,17,0.06567783280662279,0.017573354317790897,0.0614630701243327,0.0519678136759854,0.0778746478703368
17,18,0.06484494986089316,0.017195215601542614,0.0607259615159991,0.0519678136759854,0.07631147810815057
18,19,0.06423193326717291,0.01690777432862994,0.060098600836930596,0.0518500815347009,0.0759914143354988
19,20,0.0632877340635006,0.016444057668410537,0.0596204701658893,0.0516952221208811,0.0730779486663243
20,21,0.06238608388061881,0.015923332083287018,0.0587673539174835,0.05069339552807778,0.0718488016461866
21,22,0.06177207614478691,0.015585358163020651,0.058020239627049,0.0504367797147067,0.0703712520606376
22,23,0.0610554311451473,0.015213094176119624,0.0576184956334472,0.050115343889532,0.0691269391184253
23,24,0.06039821833035439,0.01482923417826194,0.0574834447985521,0.050115343889532,0.06813574358041
24,25,0.059958021307288945,0.014570722056013598,0.0569038099346667,0.050115343889532,0.06811474156326235
25,26,0.05936506159292516,0.014159552261645506,0.0564769823256905,0.0491848211945324,0.0663201852640048
26,27,0.05881449804085954,0.013919274389285164,0.0563675148276333,0.0491848211945324,0.06618741951302094
27,28,0.058232641645211344,0.013330437613778518,0.0563675148276333,0.0491848211945324,0.0656357776393445
28,29,0.057857612821333435,0.012991963602769526,0.0560866587367098,0.0491848211945324,0.0650294291376455
29,30,0.0575094334037314,0.012801759399999337,0.0558058026457863,0.0491848211945324,0.0647435274206905
30,31,0.057192714439666635,0.01262094645511418,0.055626919087784,0.04884816733342365,0.06321385513537175
31,32,0.05691613396910707,0.01257779849888712,0.0552490766190683,0.0478382057500974,0.0630963323319689
32,33,0.05656391882810245,0.012316009208321639,0.054872880256749,0.0478382057500974,0.0623126050374925
33,34,0.05616990239972829,0.012166823941284897,0.054872880256749,0.0452865264062025,0.062281281136006
34,35,0.05581931215595671,0.011865237851854914,0.0533527282395745,0.0452865264062025,0.0614630701243327
35,36,0.05536089174187208,0.011530461930769797,0.053332394937319,0.0452865264062025,0.0607259615159991
36,37,0.0551056190820664,0.011448668658988893,0.053332394937319,0.0452865264062025,0.0605039996056934
37,38,0.05477766066246771,0.011319384424281306,0.0532462446869483,0.0441127443530626,0.0605039996056934
38,39,0.054537911784495026,0.01119145718744876,0.0523563930703668,0.0441127443530626,0.0598959014525492
39,40,0.05428585091335854,0.010890834316887133,0.0523563930703668,0.0441127443530626,0.0596932020681678
40,41,0.05402391506110536,0.010780243111872112,0.0521621033731761,0.0441127443530626,0.0596204701658893
41,42,0.05379156514309795,0.010600793316992608,0.0519678136759854,0.0441127443530626,0.0587673539174835
42,43,0.05364178546182899,0.010502494388914508,0.0519678136759854,0.0441127443530626,0.0587673539174835
43,44,0.05333130915303541,0.010362341915193996,0.05190894760534315,0.0435088955926098,0.058020239627049
44,45,0.05308983189447268,0.010152128569769367,0.0518500815347009,0.0435088955926098,0.058020239627049
45,46,0.05288740528218811,0.01003301634364294,0.0516952221208811,0.0435088955926098,0.0576184956334472
46,47,0.05261767562651882,0.009792796787486274,0.0516952221208811,0.0435088955926098,0.0574863510803267
47,48,0.0525459597386546,0.00978625458466531,0.0516952221208811,0.0435088955926098,0.0574863510803267
48,49,0.05136721415631746,0.00920861116932494,0.0504367797147067,0.0428113302120758,0.0564769823256905
49,50,0.05118245149966166,0.009137100783437149,0.0504367797147067,0.0428113302120758,0.0564769823256905
50,51,0.0509746685379489,0.008902462580364236,0.0504367797147067,0.0428113302120758,0.0563948817021476
51,52,0.05080364308764778,0.00876583643455542,0.050115343889532,0.0428113302120758,0.0563675148276333
52,53,0.05065001876814492,0.008662349559872082,0.050115343889532,0.0428113302120758,0.0563675148276333
53,54,0.05050623465871339,0.00858267478622134,0.050115343889532,0.0428113302120758,0.0558058026457863
54,55,0.05037486566045415,0.008423784359682688,0.050115343889532,0.0428113302120758,0.0558058026457863
55,56,0.05028342567249768,0.008309577331482217,0.050115343889532,0.0428113302120758,0.0558058026457863
56,57,0.050093579592930225,0.008139993050114706,0.0491848211945324,0.0428113302120758,0.055626919087784
57,58,0.049916492895767155,0.007968458747196547,0.0491848211945324,0.0428113302120758,0.055626919087784
58,59,0.04981639579293511,0.007925108301110035,0.0491848211945324,0.0428113302120758,0.055626919087784
59,60,0.04966854423263291,0.007822054842520994,0.0491848211945324,0.0428113302120758,0.0552490766190683
60,61,0.04950275959499278,0.007699788903031088,0.0491848211945324,0.0428113302120758,0.05496692934732883
61,62,0.049451713399052605,0.007656918375670008,0.0491848211945324,0.0428113302120758,0.05496692934732883
62,63,0.04937430310927337,0.0076289225449760485,0.0491848211945324,0.0428113302120758,0.054872880256749
63,64,0.049270973335779136,0.007574821073979988,0.0491848211945324,0.0428113302120758,0.054872880256749
64,65,0.04914195023252708,0.007428483028993364,0.0478382057500974,0.0428113302120758,0.0533527282395745
65,66,0.04894381613955799,0.00720026276859299,0.0478382057500974,0.0428113302120758,0.0533527282395745
66,67,0.04883746940452504,0.007149326404404983,0.0478382057500974,0.0428113302120758,0.053332394937319
67,68,0.04873037229849099,0.007111228236833596,0.0478382057500974,0.0421222830025491,0.053332394937319
68,69,0.048663081365973845,0.0070749179980742994,0.0478382057500974,0.0421222830025491,0.0532462446869483
69,70,0.04855514515820143,0.007025291804436736,0.0478382057500974,0.0421222830025491,0.0532462446869483
70,71,0.04846325358023214,0.006947052969025037,0.0478382057500974,0.0421222830025491,0.0532462446869483
71,72,0.04842224805996602,0.006935926154743823,0.0478382057500974,0.0421222830025491,0.0532462446869483
72,73,0.04835254779595282,0.006931543925848677,0.0452865264062025,0.0421222830025491,0.0523563930703668
73,74,0.048249922493958285,0.006868388171272094,0.0452865264062025,0.0421222830025491,0.0523563930703668
74,75,0.048164935621378364,0.006850842034043067,0.0452865264062025,0.0421222830025491,0.0523563930703668
75,76,0.0480993899583627,0.006801122894211777,0.0452865264062025,0.0421222830025491,0.0519678136759854
76,77,0.04804546524670259,0.006781879608855054,0.0452865264062025,0.0421222830025491,0.0519678136759854
77,78,0.047969256035960216,0.006706761158373471,0.0452865264062025,0.0421222830025491,0.0519678136759854
78,79,0.047908870480393,0.006658076209360381,0.0452865264062025,0.0421222830025491,0.0519678136759854
79,80,0.047802898032370394,0.006546011299520608,0.0452865264062025,0.0421222830025491,0.0519678136759854
80,81,0.04772615997876553,0.006466196818036558,0.0452865264062025,0.0421222830025491,0.0519678136759854
81,82,0.047634623403024934,0.006424421621360407,0.0441127443530626,0.0421222830025491,0.0518500815347009
82,83,0.04750513120993293,0.006312847108899216,0.0441127443530626,0.0421222830025491,0.0518500815347009
83,84,0.04746876051908886,0.006282397253465478,0.0441127443530626,0.0421222830025491,0.0518500815347009
84,85,0.04741397973544635,0.0062435641314370635,0.0441127443530626,0.0421222830025491,0.0518500815347009
85,86,0.04736644285822567,0.00622711647759339,0.0441127443530626,0.0421222830025491,0.05173393697433605
86,87,0.04728779884353284,0.0061517399660773586,0.0441127443530626,0.0421222830025491,0.0516952221208811
87,88,0.04722682337240526,0.006117077314874289,0.0441127443530626,0.0421222830025491,0.0516952221208811
88,89,0.047186738226546746,0.0060759462105846075,0.0441127443530626,0.0421222830025491,0.0516952221208811
89,90,0.047098709542102726,0.006031177878524508,0.0441127443530626,0.0421222830025491,0.0516952221208811
90,91,0.047023223929569355,0.006014332933928917,0.0441127443530626,0.0421222830025491,0.0516952221208811
91,92,0.04690624988819717,0.00596521946061024,0.0438108199728362,0.0421222830025491,0.0516952221208811
92,93,0.046849071509392576,0.005946987020517377,0.0435088955926098,0.0421222830025491,0.0507789341325348
93,94,0.046806274669801445,0.0059066304954638015,0.0435088955926098,0.042101333327047255,0.0507789341325348
94,95,0.04674420310789638,0.0058891360884453705,0.0435088955926098,0.0420384843005417,0.0507789341325348
95,96,0.04669854760900931,0.005871807927905682,0.0435088955926098,0.0420384843005417,0.0507789341325348
96,97,0.04653460442920951,0.005888759579053354,0.0435088955926098,0.0420384843005417,0.0507789341325348
97,98,0.04647571773487293,0.005870201409100248,0.0435088955926098,0.0420384843005417,0.0507789341325348
98,99,0.046425487542148994,0.005851024423741297,0.0435088955926098,0.0420384843005417,0.0507789341325348
99,100,0.04634455114552168,0.005788464550543707,0.0435088955926098,0.0420384843005417,0.05052231831916372
100,101,0.04627533902347572,0.005704642164550099,0.0435088955926098,0.0420384843005417,0.0504367797147067
101,102,0.046220392289006415,0.0056668548728478355,0.043298541121369605,0.0420384843005417,0.0504367797147067
102,103,0.04617546684268464,0.005651949956783085,0.0430881866501294,0.0420384843005417,0.0504367797147067
103,104,0.046078737677742634,0.005574852663424948,0.0430881866501294,0.0420384843005417,0.0504367797147067
104,105,0.046064211066840645,0.00556750321892321,0.0430881866501294,0.0420384843005417,0.0504367797147067
105,106,0.04599396008379135,0.005506086090931873,0.0430881866501294,0.0420384843005417,0.0504367797147067
106,107,0.04596434329568878,0.005496046971154967,0.0430881866501294,0.0420384843005417,0.0504367797147067
107,108,0.045872457508363426,0.005430218302661401,0.0430881866501294,0.0420384843005417,0.050115343889532
108,109,0.045834570341101964,0.005403976944012709,0.0430881866501294,0.0420384843005417,0.050115343889532
109,110,0.045786200115340875,0.005382957209553413,0.0430881866501294,0.0420384843005417,0.050115343889532
110,111,0.04576300599085727,0.005371685588145143,0.0430881866501294,0.0420384843005417,0.050115343889532
111,112,0.045735022233280125,0.005365986070785287,0.0430881866501294,0.0420384843005417,0.050115343889532
112,113,0.04570968168658579,0.005343742247439225,0.0430881866501294,0.0420384843005417,0.050115343889532
113,114,0.04566763240876895,0.005330148807677855,0.0430881866501294,0.0420384843005417,0.050115343889532
114,115,0.04561645948373545,0.005304922782003888,0.0430881866501294,0.0420384843005417,0.050115343889532
115,116,0.04556586123464118,0.005263275409131178,0.0430881866501294,0.0420384843005417,0.0491848211945324
116,117,0.04552659451599448,0.005249640013131287,0.0430881866501294,0.0420384843005417,0.0491848211945324
117,118,0.045478500152974576,0.005214407991592438,0.0430881866501294,0.0420384843005417,0.0491848211945324
118,119,0.04543329867647027,0.0051418975937893695,0.0430881866501294,0.0420384843005417,0.0491848211945324
119,120,0.045390018987704776,0.005097500793206979,0.0430881866501294,0.0420384843005417,0.0491848211945324
120,121,0.04535853235935211,0.005084224882574879,0.0430881866501294,0.0420384843005417,0.0491848211945324
121,122,0.04530517365018604,0.005023294706890959,0.0428113302120758,0.0420384843005417,0.0491848211945324
122,123,0.04523196658163806,0.004983758494278663,0.0428113302120758,0.0420384843005417,0.0491848211945324
123,124,0.04518478311512161,0.004961012578100418,0.0428113302120758,0.0420384843005417,0.0491848211945324
124,125,0.045133857670000575,0.004938646617152348,0.0428113302120758,0.0420384843005417,0.0478382057500974
125,126,0.04509383768409771,0.004911184898145929,0.0428113302120758,0.0420384843005417,0.0478382057500974
126,127,0.045060157265027066,0.004887646399490972,0.0428113302120758,0.0420384843005417,0.0478382057500974
127,128,0.04501797791519692,0.004867078699955784,0.0428113302120758,0.0413205859753089,0.0478382057500974
128,129,0.044945639268833784,0.004782368062798866,0.0428113302120758,0.0413205859753089,0.0478382057500974
129,130,0.044910835876867325,0.004763497783463663,0.0428113302120758,0.0413205859753089,0.0478382057500974
130,131,0.04487764138845561,0.0047293362522291315,0.0428113302120758,0.0413205859753089,0.0478382057500974
131,132,0.04484328280377877,0.00470546076838549,0.0428113302120758,0.0413205859753089,0.0478382057500974
132,133,0.04479142023818774,0.004670326913020737,0.0428113302120758,0.0413205859753089,0.04592444624217623
133,134,0.044765955034010256,0.00465617110314276,0.0428113302120758,0.0413205859753089,0.0452865264062025
134,135,0.04472734343164775,0.004625323894536459,0.0428113302120758,0.0413205859753089,0.0452865264062025
135,136,0.04471304689526813,0.004600324311944765,0.0428113302120758,0.0413205859753089,0.0452865264062025
136,137,0.04465962338406104,0.004556422675080349,0.0428113302120758,0.0413205859753089,0.0452865264062025
137,138,0.0446490818060831,0.004549402109183923,0.0428113302120758,0.0413205859753089,0.0452865264062025
138,139,0.04462503217756952,0.0045350897637648525,0.0428113302120758,0.0413205859753089,0.0452865264062025
139,140,0.04461935762312499,0.004537021514238547,0.0428113302120758,0.0413205859753089,0.0452865264062025
140,141,0.04461029560158559,0.004537294312551907,0.0428113302120758,0.0413205859753089,0.0452865264062025
141,142,0.044577885205441266,0.004494618927740115,0.0428113302120758,0.0413205859753089,0.0452865264062025
142,143,0.04453695692493575,0.004469123274235497,0.0428113302120758,0.0413205859753089,0.0452865264062025
143,144,0.04451524069089182,0.004466501813617925,0.0428113302120758,0.0413205859753089,0.0452865264062025
144,145,0.04454809027413746,0.004129967131381857,0.0428113302120758,0.0413205859753089,0.0452865264062025
145,146,0.04454276299813259,0.0041314544480395305,0.0428113302120758,0.0413205859753089,0.0452865264062025
146,147,0.04449073384529622,0.004083468820077969,0.0428113302120758,0.0413205859753089,0.0452865264062025
147,148,0.04445730886895284,0.0040611933022205015,0.0428113302120758,0.0413205859753089,0.0452865264062025
148,149,0.04444114116388066,0.004047285724484589,0.0428113302120758,0.0413205859753089,0.0452865264062025
149,150,0.04440879129215524,0.004028820433912263,0.0428113302120758,0.0413205859753089,0.0452865264062025
150,151,0.04436970184552203,0.004000634358957475,0.0428113302120758,0.0413205859753089,0.0452865264062025
151,152,0.044339153017079545,0.003967870172407149,0.0428113302120758,0.0413205859753089,0.0452865264062025
152,153,0.044312785386869585,0.003955028773987066,0.0428113302120758,0.0413205859753089,0.0452865264062025
153,154,0.04429733314741888,0.003947332669864836,0.0428113302120758,0.0413205859753089,0.0452865264062025
154,155,0.04429164268866262,0.003934819843914317,0.0428113302120758,0.0413205859753089,0.0452865264062025
155,156,0.04422365604949288,0.003866049259238931,0.0428113302120758,0.0413205859753089,0.0452865264062025
156,157,0.04418563448200653,0.0038417076597408407,0.0428113302120758,0.0413205859753089,0.0452865264062025
157,158,0.044165229514779115,0.0038405157939973185,0.0428113302120758,0.0413205859753089,0.0452865264062025
158,159,0.04414464888464131,0.0038201864388356776,0.0428113302120758,0.0413205859753089,0.0452865264062025
159,160,0.04412701275510274,0.003811761992189991,0.0428113302120758,0.0413205859753089,0.0452865264062025
160,161,0.044093388763677965,0.0037914339106021634,0.0428113302120758,0.0413205859753089,0.0441127443530626
161,162,0.044072562034476084,0.0037763111536297848,0.0428113302120758,0.0413205859753089,0.0441127443530626
162,163,0.04403187334975808,0.0037574386844592255,0.0428113302120758,0.0413205859753089,0.0441127443530626
163,164,0.043998178621406966,0.003742976260517554,0.0428113302120758,0.0413205859753089,0.0441127443530626
164,165,0.04399202664767106,0.0037421067891922496,0.0428113302120758,0.0413205859753089,0.0441127443530626
165,166,0.043972952010603084,0.003734358550645062,0.0428113302120758,0.0413205859753089,0.0441127443530626
166,167,0.04394716862964278,0.003716459938730477,0.0421222830025491,0.0413205859753089,0.0441127443530626
167,168,0.04393458225427729,0.0037033178963755127,0.0421222830025491,0.0413205859753089,0.0441127443530626
168,169,0.043911836792796415,0.003689632306887006,0.0421222830025491,0.0413205859753089,0.0441127443530626
