,xray_0+xray_1,xray_1,r_free_0,r_free_1,rmsd_avg_0,rmsd_avg_1,pdb
0,7.541412733555767,3.812883115708493,0.1097204845014034,0.123035474280702,0.1905877293345415,0.1470109911945547,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/125_2_cif_no_weights/1084266/output_120/pdbs/200.pdb
1,7.547307814619142,3.817030662424457,0.1089494180787559,0.1209108668922479,0.19327478888476,0.1497543625171973,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/125_2_cif_no_weights/1084266/output_120/pdbs/199.pdb
2,7.547443210517143,3.816369162591142,0.1106402522974897,0.122912922311022,0.1823802490226387,0.1383925498218994,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/125_2_cif_no_weights/1084266/output_120/pdbs/190.pdb
3,7.549433915041661,3.817367763565255,0.107697374896258,0.1228259196662441,0.1818888068655961,0.1386480939998955,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/125_2_cif_no_weights/1084266/output_120/pdbs/191.pdb
4,7.550766113305851,3.8204409168785527,0.1082483127219893,0.1208510696572387,0.188861232271626,0.145168309916266,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/125_2_cif_no_weights/1084266/output_120/pdbs/181.pdb
5,7.552395179297809,3.815693626817613,0.1080831699335444,0.1233469598737697,0.1941444986633585,0.1505515447310115,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/125_2_cif_no_weights/1084266/output_120/pdbs/166.pdb
6,7.555072206776721,3.823245965978249,0.1099938796283819,0.1249454598838998,0.1899875436656586,0.1461994078021361,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/125_2_cif_no_weights/1084266/output_120/pdbs/198.pdb
7,7.557604237481945,3.820769932924797,0.1092083940279771,0.1223578172752557,0.1978091722138285,0.153586984109191,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/125_2_cif_no_weights/1084266/output_120/pdbs/195.pdb
8,7.559190707056908,3.818350097329819,0.1091380874384008,0.1215776584975974,0.1845243861607579,0.1407842107625199,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/125_2_cif_no_weights/1084266/output_120/pdbs/192.pdb
9,7.559421877451882,3.825220083250173,0.108474643265179,0.1195299255089701,0.1846017912100493,0.14056432990831,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/125_2_cif_no_weights/1084266/output_120/pdbs/172.pdb
10,7.559860117850149,3.822935873506416,0.1092953361754456,0.1258497991519236,0.1978449535233362,0.1541822352051493,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/125_2_cif_no_weights/1084266/output_120/pdbs/187.pdb
11,7.56053785432504,3.8244551280939865,0.1099812526808468,0.1258223361222253,0.1969889407188061,0.1527893466696238,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/125_2_cif_no_weights/1084266/output_120/pdbs/185.pdb
12,7.560659109479792,3.822968468502072,0.1101636207780633,0.1216142761521562,0.1813828155046497,0.1372684192498492,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/125_2_cif_no_weights/1084266/output_120/pdbs/168.pdb
13,7.561590545601893,3.8233572821572057,0.1068389322632865,0.1220126412545336,0.1883566973636131,0.1445350067306257,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/125_2_cif_no_weights/1084266/output_120/pdbs/171.pdb
14,7.563231106373471,3.822481892487422,0.1085473895271985,0.1233307166089827,0.1822353918203655,0.1382096565606579,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/125_2_cif_no_weights/1084266/output_120/pdbs/174.pdb
15,7.563971601467891,3.8225224040261097,0.1095993612928097,0.122569008263908,0.1912891206595303,0.1470943925672783,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/125_2_cif_no_weights/1084266/output_120/pdbs/194.pdb
16,7.564227967267717,3.848266381301153,0.1022172491754963,0.129461335736805,0.1867706896127571,0.1409895572998129,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/125_2_cif_no_weights/1084266/output_145/pdbs/196.pdb
17,7.565391099497067,3.828038420484067,0.1074453577126537,0.1227819884100008,0.1856316836849053,0.1418770937146429,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/125_2_cif_no_weights/1084266/output_120/pdbs/193.pdb
18,7.56617414507002,3.828310465924373,0.1095628346571459,0.1223713460419045,0.1934560707036065,0.1497965898174357,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/125_2_cif_no_weights/1084266/output_120/pdbs/197.pdb
19,7.5684334148175125,3.8256735798379222,0.109189922853028,0.1240581363616353,0.1855919542431786,0.1422745134927323,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/125_2_cif_no_weights/1084266/output_120/pdbs/179.pdb
20,7.568731489348139,3.8275875201694634,0.1110146291083211,0.1245776347718768,0.1890279183289101,0.1447802930250933,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/125_2_cif_no_weights/1084266/output_120/pdbs/196.pdb
21,7.569025429263846,3.8529847408084095,0.1063060039416504,0.1303348679095961,0.1921377984183644,0.1472788390325413,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/125_2_cif_no_weights/1084266/output_145/pdbs/184.pdb
22,7.571881177684019,3.850484072084642,0.110053403790195,0.1311837273947184,0.1891911097529609,0.1436934121883445,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/125_2_cif_no_weights/1084266/output_145/pdbs/183.pdb
