,N,J,w_xray,r_free_native_0,r_work_native_0,xray_native_0,rmsd_native_0,r_free_native_1,r_work_native_1,xray_native_1,rmsd_native_1,ff,pdb,w_0_native_0,w_0_native_1,w_1_native_0,w_1_native_1,cif_0,cif_1
14,2.0,1.0,0.25,,,,,0.151250647341162,0.1391208953084549,3.9133889391245344,0.2380255361160833,6043.297289903031,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/14/output_8/pdbs/499.pdb,,0.5684992642875504,,0.4315007357124495,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,
15,2.0,1.0,0.125,,,,,0.1560219614898917,0.1460890610325489,3.9961245326774826,0.2357764474799502,6563.762729861881,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/15/output_1/pdbs/499.pdb,,0.4717097673123903,,0.5282902326876098,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,
16,2.0,1.0,0.0625,,,,,0.173997347592824,0.1624741850193526,4.126667930334652,0.2437999918643361,7882.075809284713,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/16/output_11/pdbs/499.pdb,,0.4130641728007967,,0.5869358271992032,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,
17,2.0,1.0,0.03125,,,,,0.2581580014251276,0.2396525904415691,4.335628389569155,1.3252321776663492,9887.65105206268,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/17/output_5/pdbs/499.pdb,,0.1456882699775806,,0.8543117300224194,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,
18,2.0,2.0,1.0,0.1682051986465573,0.1600014755334043,4.134714708255333,0.0778831854238612,0.1774995658966704,0.1727706573490518,4.223148187073459,0.0765564328671565,2172.2218039379527,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/18/output_4/pdbs/499.pdb,0.2613054112258882,0.7367010104117788,0.7386945887741118,0.2632989895882212,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif
19,2.0,2.0,0.5,0.1549221196076886,0.1508509882849701,4.073274300881644,0.0779223385281555,0.1540754667832224,0.15245346773783,4.103670963518435,0.0945084641040987,2198.267846108671,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/19/output_11/pdbs/499.pdb,0.7521546443753948,0.2586643973420818,0.2478453556246051,0.7413356026579182,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif
20,2.0,2.0,0.25,0.1421378616602542,0.1355706695743269,3.992043788762613,0.1567731187959197,0.1557130669691754,0.1401992094370985,4.037080606506363,0.0743110676696653,4503.148502745703,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/20/output_9/pdbs/499.pdb,0.7807945722461609,0.0089146598451708,0.2192054277538392,0.9910853401548292,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif
21,2.0,2.0,0.125,0.1748740521963018,0.1685371555037592,4.176742734286502,0.0484615157105052,0.1738762867134341,0.1713659996333399,4.177970524581181,0.057869872624279,3173.847804631117,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/21/output_14/pdbs/499.pdb,0.2201890530715395,0.8189916391451615,0.7798109469284604,0.1810083608548385,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif
22,2.0,2.0,0.0625,0.2643744021426383,0.2502409273848733,4.50004534017725,1.201640218235007,0.3402590919594975,0.3310499278351825,4.618175277976429,4.822532346810886,5380.516466785917,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/22/output_1/pdbs/499.pdb,0.0575588824725325,0.2309077054960299,0.9424411175274674,0.7690922945039701,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif
23,2.0,2.0,0.03125,0.577134910897475,0.5062057668637053,5.083277571513567,4.055974927922507,0.6223113200689191,0.5034565272575025,4.867329470739695,5.772213851919937,30616.567832936205,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/23/output_18/pdbs/499.pdb,0.1522973746873283,0.368088282162784,0.8477026253126717,0.631911717837216,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif
24,2.0,1.0,1.0,0.1621783863254285,0.1381885346334337,3.9181944988080457,0.1141568292658625,,,,,9765.50262173679,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/24/output_1/pdbs/499.pdb,0.4708476678464642,,0.5291523321535359,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,
25,2.0,1.0,0.5,0.1619964213243733,0.1469054158815652,3.977762958078297,0.1482228862054714,,,,,8549.851283218,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/25/output_1/pdbs/499.pdb,0.6277363805702901,,0.3722636194297098,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,
26,2.0,1.0,0.25,0.1400809818364493,0.1292131777334509,3.861989946418981,0.082536459697358,,,,,9307.63863580867,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/26/output_16/pdbs/499.pdb,0.4390875112422578,,0.5609124887577421,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,
27,2.0,1.0,0.125,0.1555379942218832,0.1454987786711504,4.001713205721702,0.0875921311911043,,,,,13909.389695053564,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/27/output_11/pdbs/499.pdb,0.4762176281590515,,0.5237823718409484,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,
28,2.0,1.0,0.0625,0.2216143602293851,0.2015781604487972,4.234123648507289,0.6144422958884337,,,,,26035.00761362269,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/28/output_7/pdbs/499.pdb,0.0220473239613763,,0.9779526760386236,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,
29,2.0,1.0,0.03125,0.3703742295877228,0.3381571756553475,4.8142675712094505,1.2626873889001562,,,,,37536.63506982983,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/29/output_9/pdbs/499.pdb,0.0404325791882985,,0.9595674208117014,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,
30,2.0,1.0,1.0,,,,,0.1534994670233554,0.1367185608155275,3.8887173579029777,0.2410440571726074,11790.362865182917,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/30/output_12/pdbs/499.pdb,,0.7085165321987527,,0.2914834678012474,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,
31,2.0,1.0,0.5,,,,,0.1545775900873436,0.13892844698399,3.920665325451529,0.2400866104189492,12601.964595075027,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/31/output_5/pdbs/499.pdb,,0.5732302993630667,,0.4267697006369332,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,
32,2.0,1.0,0.25,,,,,0.1289915012300204,0.1173419000981381,3.7155744961214623,0.2385341268621107,9312.662057377822,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/32/output_19/pdbs/499.pdb,,0.5084183099797147,,0.4915816900202853,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,
33,2.0,1.0,0.125,,,,,0.1630937274339407,0.1334296494406142,3.868446775206802,0.2408157908608426,18407.85038959601,/wynton/group/sali/mhancock/xray/sample_bench/out/265_no_w_ref/33/output_11/pdbs/499.pdb,,0.5481904511671952,,0.4518095488328048,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif,
