,xray_0,r_free_0
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_820/pdbs/950.pdb,2.047028032367557,0.6291595358073864
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_684/pdbs/1116.pdb,2.0880151321687364,0.6364598739871772
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_838/pdbs/379.pdb,2.267208644060649,0.1883917879776376
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_838/pdbs/378.pdb,2.30493758135641,0.1899407189250286
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_838/pdbs/375.pdb,2.434807369713683,0.1943772288396908
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_838/pdbs/380.pdb,2.454234459775886,0.1857246653435829
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_355/pdbs/2190.pdb,2.630950423417292,0.2459197973624525
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_838/pdbs/376.pdb,2.6333933989142264,0.1924278757610628
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_838/pdbs/374.pdb,2.7317561594557445,0.2006929621834239
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_0/pdbs/1282.pdb,2.732539459702689,0.6396269885393246
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_838/pdbs/389.pdb,2.7753519662102173,0.1796537608341568
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_355/pdbs/2189.pdb,2.779573550654774,0.246100478362253
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_409/pdbs/1340.pdb,2.782857920167264,0.1519476874799816
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_355/pdbs/2188.pdb,2.801049655675884,0.2461151265370874
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_843/pdbs/1037.pdb,2.808113823925615,0.6543485854401301
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_146/pdbs/589.pdb,2.818132577060246,0.1770100718713231
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/95_native_4x_w_xray/758062/output_542/pdbs/1586.pdb,2.846821334849155,0.1585503649834229
