,r_free_7mhf,ff,pdb,r_work_7mhf,xray_7mhf,w_0_7mhf,N,J,job_id,w_1_7mhf,w_2_7mhf,w_3_7mhf,w_4_7mhf,w_5_7mhf,w_6_7mhf,w_7_7mhf,w_8_7mhf,w_9_7mhf,w_10_7mhf,w_11_7mhf,w_12_7mhf,w_13_7mhf,w_14_7mhf,w_15_7mhf,r_free_7mhg,r_work_7mhg,xray_7mhg,w_0_7mhg,w_1_7mhg,w_2_7mhg,w_3_7mhg,w_4_7mhg,w_5_7mhg,w_6_7mhg,w_7_7mhg,w_8_7mhg,w_9_7mhg,w_10_7mhg,w_11_7mhg,w_12_7mhg,w_13_7mhg,w_14_7mhg,w_15_7mhg,r_free_7mhh,r_work_7mhh,xray_7mhh,w_0_7mhh,w_1_7mhh,w_2_7mhh,w_3_7mhh,w_4_7mhh,w_5_7mhh,w_6_7mhh,w_7_7mhh,w_8_7mhh,w_9_7mhh,w_10_7mhh,w_11_7mhh,w_12_7mhh,w_13_7mhh,w_14_7mhh,w_15_7mhh,r_free_7mhi,r_work_7mhi,xray_7mhi,w_0_7mhi,w_1_7mhi,w_2_7mhi,w_3_7mhi,w_4_7mhi,w_5_7mhi,w_6_7mhi,w_7_7mhi,w_8_7mhi,w_9_7mhi,w_10_7mhi,w_11_7mhi,w_12_7mhi,w_13_7mhi,w_14_7mhi,w_15_7mhi,r_free_7mhj,r_work_7mhj,xray_7mhj,w_0_7mhj,w_1_7mhj,w_2_7mhj,w_3_7mhj,w_4_7mhj,w_5_7mhj,w_6_7mhj,w_7_7mhj,w_8_7mhj,w_9_7mhj,w_10_7mhj,w_11_7mhj,w_12_7mhj,w_13_7mhj,w_14_7mhj,w_15_7mhj,r_free_7mhk,r_work_7mhk,xray_7mhk,w_0_7mhk,w_1_7mhk,w_2_7mhk,w_3_7mhk,w_4_7mhk,w_5_7mhk,w_6_7mhk,w_7_7mhk,w_8_7mhk,w_9_7mhk,w_10_7mhk,w_11_7mhk,w_12_7mhk,w_13_7mhk,w_14_7mhk,w_15_7mhk
10,,6745.536142495703,/wynton/group/sali/mhancock/xray/sample_bench/out/255_7mhf/10/output_5/pdbs/1.pdb,,,,1,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.259449013256472,0.1807008005265589,5.739642856650225,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,13946.980895620569,/wynton/group/sali/mhancock/xray/sample_bench/out/255_7mhf/11/output_3/pdbs/1.pdb,,,,2,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2577486153284888,0.1777873335431177,5.7250780134436425,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,28598.748085066876,/wynton/group/sali/mhancock/xray/sample_bench/out/255_7mhf/12/output_1/pdbs/1.pdb,,,,4,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2574772669194657,0.1765728743271758,5.727288869545586,0.25,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,58230.689929631735,/wynton/group/sali/mhancock/xray/sample_bench/out/255_7mhf/13/output_1/pdbs/1.pdb,,,,8,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2583770700555183,0.1770678232499965,5.7235464003235546,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,117366.60526227592,/wynton/group/sali/mhancock/xray/sample_bench/out/255_7mhf/14/output_1/pdbs/1.pdb,,,,16,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25739364208439,0.1763965003987453,5.720137702035846,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,6646.25699951482,/wynton/group/sali/mhancock/xray/sample_bench/out/255_7mhf/15/output_1/pdbs/283.pdb,,,,1,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2394245546280354,0.1829350051182005,5.221525481849838,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,13519.750751233714,/wynton/group/sali/mhancock/xray/sample_bench/out/255_7mhf/16/output_8/pdbs/357.pdb,,,,2,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2340672906206726,0.1548302490796637,5.092280103162435,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,26409.532108969,/wynton/group/sali/mhancock/xray/sample_bench/out/255_7mhf/17/output_2/pdbs/155.pdb,,,,4,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237773935177943,0.142663867714611,5.062800576737015,0.25,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,61494.54333663795,/wynton/group/sali/mhancock/xray/sample_bench/out/255_7mhf/18/output_0/pdbs/1.pdb,,,,8,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2426902371884052,0.1798603176080099,5.198604799859551,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,84907.306897641,/wynton/group/sali/mhancock/xray/sample_bench/out/255_7mhf/19/output_2/pdbs/4.pdb,,,,16,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2434889903252603,0.1774660431883552,5.156252091642097,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
