,avg_rmsd_mean,all_traj_rmsd_mean
0,4.220562430336358,5.823306755976618
1,0.6798871540170625,0.8684783191937558
2,0.27579659748606417,0.4965584273934071
3,0.34400214562284376,0.4496895185102373
4,0.2530105484703044,0.38308646079071856
5,0.17332989254259154,0.2843291575791241
6,0.1383007075565531,0.24936963738125562
7,0.1276041514071588,0.25553355527814436
8,0.12732648778302033,0.2190027894171688
9,0.10868588701185962,0.217826959199421
10,0.11013967013980831,0.1959541310780941
11,0.0994107630445807,0.23952352134595106
12,0.10741126941757552,0.2180253550334307
13,0.10949268539902628,0.2095118489498716
14,0.10148222790576363,0.2141462211850634
15,0.09509939242811175,0.21323852128360066
16,0.09965863320615544,0.19858639597025549
17,0.0978331381901441,0.19663602019840706
18,0.09475570685633475,0.19040573832546978
19,0.0912451475460727,0.19594710576207733
20,0.08310098337961197,0.18192502404597222
21,0.08560514332483807,0.1878085977275473
22,0.08791270403071046,0.1820086747073705
23,0.07909745294478844,0.17747263413431844
24,0.07571567207040576,0.15067275653902382
25,0.06961107902204931,0.1308572091722894
26,0.06686191469476595,0.1389259000077055
27,0.06898491514064882,0.12546778995282054
28,0.06556661403611769,0.15017373938390843
29,0.06094588328192998,0.1459357049452754
30,0.05708919903033962,0.12278716478229172
31,0.05665252690214422,0.14003179376079358
32,0.055391421338838044,0.14204700307012116
33,0.05903154125290457,0.14477454186907734
34,0.05515495367886744,0.1591146726294336
35,0.055023436299151296,0.1583497341685555
36,0.05212752715371524,0.15782885510043831
37,0.0562416824847986,0.17207316579413987
38,0.04882087715553341,0.15955610897924455
39,0.051822161458211384,0.139513453731538
40,0.05552950966383305,0.174941239842468
41,0.05085609229476495,0.1671708802482464
42,0.0485566349685607,0.17480819451907198
43,0.0525401824933824,0.15123347381248345
44,0.05315372592384469,0.15090613972339062
45,0.05300089507571914,0.12681995951442723
46,0.05121230822992583,0.137601803288947
47,0.05429671212035852,0.1117959142692383
48,0.056098879510427586,0.08940731742729169
49,0.05257191980198261,0.10557892498943475
50,7.174819966741816,9.091276976206997
51,0.6963753292948504,0.7610876593108652
52,0.46120999100857496,0.529787371448631
53,0.332932496204966,0.41883992636265255
54,0.23599814849231346,0.29979315512575055
55,0.1863170771892633,0.24081346629743655
56,0.16296947991779123,0.2132902669453434
57,0.15061659915493078,0.2341063233127026
58,0.14242339800687764,0.25171238014390956
59,0.1275603863541109,0.20152010029004808
60,0.06542937833675325,0.09798864001869916
61,42811.85217322722,6621902.39035546
62,6361623.794276462,6239567.711244273
63,12029912.791430889,34772260.64592811
64,14283328.253855204,21807991.654121973
65,12619599.608055603,31295272.946128387
66,9382370.57269117,24861108.28694527
67,10942766.752684725,28707979.549803995
68,9621636.745483974,17862388.07719383
69,12928437.526255865,33579054.68889672
70,9199893.139520207,31238614.027876094
71,16825401.351662204,31551480.679028627
72,11645840.733599326,31334559.25601655
73,13122548.559496397,27946314.572894588
74,13998314.824205631,30587653.390530545
75,9622831.805023765,33364190.167063456
76,11881350.270846995,33178232.00990236
77,13979505.55416654,15340019.771392493
78,6100588.595288139,30143186.765805468
79,14540658.141596064,33367252.386653192
80,11000632.827567682,30530607.459319916
