,avg_min_r_free,min_r_free,avg_r_free
0,0.5018310469936297,0.4735789204021318,0.5640476937866981
1,0.3867284111607157,0.3583761078051256,0.4426623947775366
2,0.3695263392026567,0.345845942501861,0.4033577408947868
3,0.34852074198974536,0.3304892989003405,0.3869590992392542
4,0.3536054665554296,0.325110626638638,0.3840432073782381
5,0.3350897183892912,0.3199720479966585,0.35837743919979
6,0.3330804455333782,0.3163405665249348,0.35384888880608356
7,0.33413621654849,0.3109956401224037,0.35439142784722616
8,0.3341217595262876,0.3127407991743762,0.3546587881764533
9,0.33447410243180675,0.3185625284024093,0.3529787526578274
10,0.33118621658565267,0.3121378050637812,0.35069385215632753
11,0.3306787308246896,0.3185527863199186,0.3476657402252731
12,0.32859659913136163,0.315182001389987,0.3464786552334233
13,0.32762957794900954,0.3150775474330122,0.3463064821627129
14,0.32987998027998044,0.3203151278998199,0.3472955567839643
15,0.330147976680046,0.3159568157767343,0.34590168057828347
16,0.3287124990744485,0.3181938703314277,0.34571455011603136
17,0.3302163925712598,0.3216655303283889,0.3466736153247875
18,0.3287812031263438,0.3171257306665828,0.34489386471984557
19,0.33028402137974444,0.321310556336438,0.34466993600543183
20,0.3290615038117533,0.3149178372701875,0.3435059214518961
21,0.3303763883356136,0.3146703528826892,0.34501615457912493
22,0.32848015782145934,0.318229083721403,0.3435029782727746
23,0.32999258177931956,0.3182467804889989,0.34334038094798197
24,0.3289951453901563,0.3104949506094495,0.3423636939493255
25,0.3292872364515082,0.3169945053320583,0.34130952734114517
26,0.3303096930124786,0.3193955445676567,0.34206949616838345
27,0.3278794429068953,0.3155257232767396,0.34033992376575767
28,0.32904631489279496,0.3155154000277202,0.3408252495315873
29,0.3286420253002787,0.3163587790465319,0.3388228920528864
30,0.32929326344269017,0.3164142765500676,0.3393214921812043
31,0.3287788430998747,0.3177816400767963,0.3382469032451636
32,0.32829810205024856,0.3141986296487999,0.33774137770345825
33,0.3274166143919148,0.3156573555136272,0.3379492992031502
34,0.32845917777894185,0.3155425059002382,0.3381421718288915
35,0.32681907433066704,0.3166703020803639,0.33605594372449865
36,0.32878553955780715,0.3159849723534018,0.3376093970975759
37,0.3282024323472432,0.3182356794976971,0.33768825581014805
38,0.3285088496982073,0.318691472730527,0.3370283500411444
39,0.32772509932408794,0.3184359720665853,0.3365516487100243
40,0.3293224797299155,0.3182007422227201,0.3383128785780277
41,0.3290678687526865,0.3183948772925613,0.3377319421755557
42,0.32919149868936687,0.3188142046017625,0.3379817051379881
43,0.3294542586738786,0.3190054494478754,0.3383800117848494
44,0.3295548768075911,0.3195535111652868,0.33865862006587016
45,0.33047370344980864,0.321969561396575,0.33962840887885665
46,0.32968835009963887,0.3210245227905128,0.33880741245930374
47,0.3307077289910382,0.3200849411376664,0.339931104777127
48,0.3315193787437525,0.3202079049463548,0.34081363148782867
49,0.331382619159999,0.3207972697074895,0.3405078231218048
50,0.49873020579491995,0.4709424984342938,0.5627112478118425
51,0.40108571832574297,0.3808645017365746,0.44681080020648783
52,0.37048920671070557,0.3490766844089341,0.4103419982935322
53,0.35239136792510484,0.3292989652493017,0.3851957091882717
54,0.3384565457829338,0.3269006063503766,0.3687061786394741
55,0.33636767333369405,0.3174835568316104,0.36374077446998304
56,0.3367790143709311,0.315101481245936,0.36030641135159897
57,0.3298471623522638,0.3179942327513549,0.3524901573465976
58,0.32937401401383376,0.3205805226037478,0.3503366118738301
59,0.33130094063836696,0.316461234445908,0.34975310627782685
60,0.3305143632327182,0.3217625435153939,0.3403007124784591
61,0.36005506201401566,0.3427209409040929,0.3724335680117389
62,0.41894752197685664,0.3409993982822391,0.4684122004184752
63,0.4900570763413262,0.4571438626254855,0.5573859129027282
64,0.48746519098456237,0.4242543713172233,0.5604511511685237
65,0.4888227023916859,0.453786130737431,0.561150616379488
66,0.49578388023072073,0.4674399668842685,0.5620116320033968
67,0.49165168896313816,0.4727767762534582,0.5625321438929363
68,0.49005275547369187,0.4779051340315622,0.5623680425470604
69,0.4930428588045452,0.4718771042922631,0.5622385078457789
70,0.4879533689846199,0.4538455815493872,0.5575662615961072
71,0.49091796435907176,0.4733340487905458,0.5626669147532103
72,0.4918723134604204,0.4677591840843575,0.5617209262346543
73,0.48734922523128915,0.4705649661568711,0.5621329833646578
74,0.48934812373977515,0.4767668423823342,0.5620980490588126
75,0.4909604856036027,0.4713969329984304,0.5626457162937617
76,0.4931059489810089,0.4737709798374517,0.5622585965630903
77,0.4895765751830081,0.4634531696730514,0.5615414642480396
78,0.48912578559609116,0.4694187020849366,0.5616581301159808
79,0.48878037758137816,0.4711393056177099,0.5625438725255117
80,0.49182003672384267,0.479612703519833,0.5614811167567034
