,log_file,tot_min,tot_min_id,tot_mean,rmsd_min,rmsd_min_id,rmsd_mean,tot_min_rmsd,tot_min_rmsd_align
0,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_1/log.csv,159411.37694795552,15835,159842.49210292185,0.2749761672766205,2215,0.3517757090024343,0.3808488609385224,0.3128550327005818
1,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_125/log.csv,159709.23331633455,14488,159833.44108518295,0.3428064620024939,6005,0.3998776048741051,0.4024520541913335,0.2808511690495939
2,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_2/log.csv,159693.9695864189,12931,159828.18560558604,0.3046592398787393,18244,0.36089382419929417,0.3330841111502377,0.2522940487875779
3,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_0/log.csv,159710.0390343219,2154,159853.4676580976,0.2620647769611046,7002,0.2795018971531797,0.2797625035832832,0.2763090891371228
4,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_173/log.csv,159438.10222979763,13213,159839.08257576358,0.2874557909686822,12902,0.3385577331341643,0.3949608012097239,0.3044727095281494
5,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_157/log.csv,159716.2844180325,13046,159866.32381873645,0.2799685708634598,4516,0.33014342156840926,0.3319973232799511,0.2512130300684812
6,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_158/log.csv,159719.7220635382,6013,159853.95145049566,0.2647698890811443,5157,0.27980563303936395,0.282032469355256,0.277086929039859
7,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_155/log.csv,159367.3741254845,11411,159848.78644507233,0.2819214352456874,7545,0.35095020049293013,0.3732185223270808,0.3061180524468838
8,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_32/log.csv,159710.26352295754,15321,159849.25260157583,0.3227062239641006,8384,0.370453296051637,0.3833802054359132,0.2454867115089165
9,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_120/log.csv,159714.26891473826,9871,159834.71398983392,0.2824784158126509,5052,0.3313568465568921,0.3406446638667274,0.2594132028357124
10,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_88/log.csv,159718.53640587738,11880,159856.2651981533,0.2608470263681057,2635,0.28123957833048613,0.2728864426157696,0.2694870608695548
11,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_121/log.csv,159739.66874523964,7077,159855.80935987722,0.2640153126967443,3042,0.27984056032272475,0.2767315209397823,0.2732915231441156
12,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_164/log.csv,159687.63289722084,15796,159832.85310756828,0.3308611280976964,9721,0.39827935800324155,0.4006479051290821,0.2821211982967
13,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_123/log.csv,159697.5388658721,11281,159845.97080004564,0.2861066738953345,5244,0.3278736950117044,0.3578177628134323,0.2963979433543025
14,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_182/log.csv,159710.32225217967,16538,159849.11329441663,0.3106845512929959,10920,0.37115437056920175,0.3704540564469913,0.2463403719375805
15,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_170/log.csv,159384.01411002807,10094,159833.9607694442,0.3276470615018217,1421,0.3957989202685348,0.4034298218717537,0.3118561158494676
16,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_175/log.csv,159381.34470193065,15358,159829.38623194376,0.3187576432673097,3901,0.35497021751225977,0.370833747024913,0.2862362601205849
17,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_127/log.csv,159733.44582993814,11336,159852.14844954995,0.2661544055573242,10554,0.27888695440341293,0.2803305885992713,0.2757927694560812
18,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_69/log.csv,159732.6912612096,17932,159853.4192766089,0.2634950552992717,16736,0.27914755635218447,0.2761434551512913,0.2713569935767168
19,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_15/log.csv,159313.11183115907,9533,159755.92019452972,0.3173218490092364,8703,0.38701455494258274,0.3587132251017692,0.3109036293789539
20,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_174/log.csv,159719.38927954185,3531,159866.8878387308,0.2797148222415147,9309,0.33209474654115845,0.3329200972553239,0.253097274533808
21,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_177/log.csv,159736.8296159204,5273,159867.1295378674,0.2660678022124016,5885,0.2822737237663008,0.2813407988490322,0.2763437771878435
22,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/single_md/22_300_exp_equil/2208079/output_140/log.csv,159750.06518356572,1257,159890.1761762865,0.2976310071321687,1029,0.38207855292415427,0.3767180326647045,0.2845635872626217
