,N,J,w_xray,r_free,w_0_7mhl,r_work_7mhl,ff,pdb,cif_0
22,1.0,1.0,0.03125,0.3067005504055109,1.0,0.3181094394740807,238.04864241721089,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/197_loop/22/output_0/pdbs/74.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
23,1.0,1.0,0.0625,0.3086685106319279,1.0,0.31828545022401,267.7966080085864,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/197_loop/23/output_7/pdbs/216.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
24,1.0,1.0,0.125,0.3059141263087958,1.0,0.3174456882674895,558.5960915650473,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/197_loop/24/output_3/pdbs/184.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
25,1.0,1.0,0.25,0.3047146224177796,1.0,0.3179349337907728,910.8087859655244,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/197_loop/25/output_6/pdbs/351.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
26,1.0,1.0,0.5,0.307142884926957,1.0,0.3173952240331116,941.6465996569808,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/197_loop/26/output_9/pdbs/470.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
27,1.0,1.0,1.0,0.3073805761818894,1.0,0.3173983444312487,481.6284891152072,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/197_loop/27/output_7/pdbs/449.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
28,1.0,1.0,2.0,0.3069028879145875,1.0,0.3162005276170075,483.96702604191046,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/197_loop/28/output_0/pdbs/522.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
29,1.0,1.0,4.0,0.3065188613650816,1.0,0.3162518672834006,360.2665444651577,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/197_loop/29/output_3/pdbs/315.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
30,1.0,1.0,8.0,0.3059173595491904,1.0,0.3157754156755972,146.69767081587315,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/197_loop/30/output_1/pdbs/31.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
31,1.0,1.0,16.0,0.3099273861008347,1.0,0.3143906309785234,181.49375637222147,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/197_loop/31/output_7/pdbs/30.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
