,xray_0_min_0,xray_0_min_0_rmsd_avg,xray_0_min_0_r_work_0,xray_0_min_0_r_free_0,xray_0_min_0_pdb,xray_0_min_0_occ_0,xray_0_min_0_occ_1,xray_0_min_0_occ_2,xray_0_min_0_occ_3
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_3/log.csv,5.136880948056693,0.283931088281551,0.2190366834163355,0.2868860863836384,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_3/pdbs/190.pdb,0.0,0.4559154377859459,0.5440845622140542,0.0
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_4/log.csv,5.117624444273211,0.2381604326276791,0.2110761036606515,0.3025997383037875,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_4/pdbs/139.pdb,0.0,0.1599206492355435,0.5970988823760179,0.2429804683884385
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_5/log.csv,5.100952522880455,0.2497269942996646,0.2041961314618341,0.2935701229306811,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_5/pdbs/132.pdb,0.3501982344141482,0.3984255145069225,0.0,0.2513762510789292
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_6/log.csv,5.112945906009233,0.2478231726756003,0.2008848120020918,0.3087783216692571,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_6/pdbs/149.pdb,0.2751068110926394,0.1870346582391684,0.2444785498939271,0.2933799807742649
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_7/log.csv,5.094858264016218,0.2597913779179289,0.1986759204304512,0.2992291607556465,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_7/pdbs/194.pdb,0.2263821051438835,0.1238328698563824,0.2889305325191659,0.360854492480568
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_8/log.csv,5.102241645282485,0.2678429917482743,0.205760977301864,0.2910572669469234,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_8/pdbs/377.pdb,0.0,0.1832361245059976,0.2825979713412507,0.5341659041527517
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_9/log.csv,5.107854738123855,0.2734386215765704,0.2052398189131571,0.2907347030233554,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_9/pdbs/166.pdb,0.0,0.1581959577579464,0.3844740623790263,0.4573299798630271
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_25/log.csv,5.120868853396346,0.2565958703826058,0.2078889884718438,0.2989889240494371,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_25/pdbs/200.pdb,0.1990833637089543,0.3024950762060115,0.4984215600850343,0.0
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_17/log.csv,5.132818218171713,0.3384424721807426,0.2151041170754467,0.2897319407020375,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_17/pdbs/183.pdb,0.0,0.0,0.5525294933622499,0.44747050663775
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_26/log.csv,5.116485935515095,0.269807786355671,0.2075735256643135,0.301721305654697,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_26/pdbs/176.pdb,0.0,0.2685321287572312,0.3889874766614729,0.3424803945812958
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_24/log.csv,5.10996556812364,0.2449576280185476,0.1991710390018221,0.303856007230054,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_24/pdbs/193.pdb,0.1988160940003592,0.128068308248702,0.2446630947473878,0.428452503003551
