,r_free_0_min_0,r_free_0_min_0_rmsd_avg,r_free_0_min_0_xray_0,r_free_0_min_0_r_work_0,r_free_0_min_0_pdb,r_free_0_min_0_occ_0,r_free_0_min_0_occ_1,r_free_0_min_0_occ_2,r_free_0_min_0_occ_3
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_313/log.csv,0.2816104239151683,0.1476265670062861,5.362890582624189,0.2449108047998622,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_313/pdbs/2.pdb,0.2139225933531932,0.0,0.3620014708320345,0.424075935814772
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_306/log.csv,0.2819942165502213,0.1379337824491643,5.364733009520513,0.2462951826238544,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_306/pdbs/2.pdb,0.1545132048740519,0.4316287232123179,0.0912465116334569,0.3226115602801732
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_283/log.csv,0.2846373681410675,0.1888314655555118,5.346092487680581,0.2402050874600756,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_283/pdbs/2.pdb,0.0,0.0201912473249823,0.3098798510045145,0.6699289016705031
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_281/log.csv,0.2824437152974948,0.1452061345460626,5.360518795256171,0.2460292204949508,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_281/pdbs/2.pdb,0.1609908894902088,0.2156404959854583,0.5284732525874947,0.0948953619368379
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_282/log.csv,0.2796372079397384,0.144428359836463,5.35880688210886,0.24469239489497,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_282/pdbs/2.pdb,0.4248117007018889,0.3354288763646388,0.0,0.2397594229334722
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_326/log.csv,0.2823185804097147,0.2155513433226915,5.133372689502032,0.2217930562247066,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_326/pdbs/9.pdb,0.2687482982785267,0.2436500105762246,0.3006172847450927,0.1869844064001558
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_323/log.csv,0.2826488621625043,0.1724683914194106,5.351214179119933,0.2415437962988467,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_323/pdbs/2.pdb,0.5869942949567585,0.0586790714955612,0.3543266335476803,0.0
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_332/log.csv,0.2845484658662002,0.1902120920888121,5.347354036648648,0.2393535429562514,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_332/pdbs/2.pdb,0.3224988200722768,0.6775011799277232,0.0,0.0
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_333/log.csv,0.2821269491901446,0.1800548318610687,5.348109757958008,0.2404318788103732,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_333/pdbs/2.pdb,0.0377194270609252,0.0,0.6329680210433926,0.3293125518956821
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_325/log.csv,0.2811806224308096,0.1540526869852552,5.357820633796683,0.2449368672728804,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_325/pdbs/2.pdb,0.3103467645485439,0.4831073538709086,0.2065458815805474,0.0
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_327/log.csv,0.2811358808707153,0.1455686794046684,5.363649574540534,0.2451007722788514,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_327/pdbs/2.pdb,0.4192598575337635,0.3027686610898889,0.0,0.2779714813763477
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_320/log.csv,0.2834457121920555,0.2420692464446588,5.266860489100021,0.2230160863382684,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_320/pdbs/10.pdb,0.5345848110971628,0.0,0.0062508829661913,0.4591643059366459
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_328/log.csv,0.2816603443663026,0.1594459517733534,5.353372212776386,0.2427155052116556,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/57_7mhf_4/986724/output_328/pdbs/2.pdb,0.2529955966486613,0.0,0.1823030472135689,0.56470135613777
