,n,r_free_mean,r_free_std
1,0,inf,
2,0,0.3207865675157612,0.005408654797320971
3,0,0.3193951249530282,0.005415952225656755
4,0,0.3181984565658865,0.0057151702060071535
5,0,0.3173579892897725,0.005874617098648252
6,0,0.3164763907551082,0.0061956207877939
7,0,0.31586522377925985,0.006400779123480723
8,0,0.31528329238216396,0.006597504804567975
9,0,0.31484311504715323,0.006686119524738659
10,0,0.3143938837777489,0.006811235972490179
11,0,0.31400126137172846,0.0069231081887371326
12,0,0.3135356734810181,0.007123963229850468
13,0,0.31306326919890026,0.007312061679215098
14,0,0.31278822091009645,0.007315381850857996
15,0,0.3123987915869109,0.0074090266403141385
16,0,0.31217000036173925,0.007417298687696378
17,0,0.3118937087139026,0.007458028756366033
18,0,0.31160758081534073,0.007524860384734566
19,0,0.31125593857593914,0.00754946986037934
20,0,0.3108823529164005,0.0076597941111666516
21,0,0.31061451946625107,0.0076706681604794226
22,0,0.3103052254738032,0.007706659955165407
23,0,0.3099383039075284,0.007746031978130549
24,0,0.30967548167556946,0.007763151473522217
25,0,0.3095108407847887,0.0077524287049270495
26,0,0.3092086348306719,0.007769957040675849
27,0,0.30894920967847533,0.007769555587645398
28,0,0.3086531333008774,0.007812099867426566
29,0,0.3084320590794035,0.007850914413462244
30,0,0.308204913710985,0.007872424212309645
31,0,0.30798538356338556,0.007926332341405076
32,0,0.30780796312376024,0.007889738876127095
33,0,0.30764872673701954,0.007857512463721383
34,0,0.3075204793593595,0.007833577047904688
35,0,0.30736308872632323,0.0077949445347483244
36,0,0.30724531108732606,0.007794576386788542
37,0,0.3070290628993151,0.007773296685333163
38,0,0.3068808122732528,0.007756926891102209
39,0,0.30672258403725006,0.0077699593628492315
40,0,0.3065303755895776,0.007784820002089389
41,0,0.3061992710948157,0.007753378695938486
42,0,0.30601902170102574,0.007746398622763091
43,0,0.3058661634983018,0.00777866537799997
44,0,0.30569313990448005,0.007745342107338551
45,0,0.3055455185544958,0.0077061689457284905
46,0,0.3054110763308922,0.007652983144174713
47,0,0.3052576395694907,0.007652660535350241
48,0,0.3051471390068515,0.007629552637976742
49,0,0.30504241016237393,0.007611708813594303
