,start_pdb_file,N,J,cif_0,ref_0,w_xray,xray_freq,weight_thermo,vel_thermo,sample_sched_str,init_weights
0,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_refine.pdb,1,1.0,,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m.pdb,,1,0,1,"s5000,t300,dA,p1,w0,r0",uni
1,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_refine.pdb,1,1.0,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m.pdb,1000,1,0,1,"s5000,t300,dA,p1,w0,r0",uni
2,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_refine.pdb,1,1.0,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m.pdb,10000,1,0,1,"s5000,t300,dA,p1,w0,r0",uni
3,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_refine.pdb,1,1.0,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m.pdb,20000,1,0,1,"s5000,t300,dA,p1,w0,r0",uni
4,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_refine.pdb,1,1.0,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m.pdb,30000,1,0,1,"s5000,t300,dA,p1,w0,r0",uni
5,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_refine.pdb,1,1.0,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m.pdb,40000,1,0,1,"s5000,t300,dA,p1,w0,r0",uni
6,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_refine.pdb,1,1.0,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m.pdb,50000,1,0,1,"s5000,t300,dA,p1,w0,r0",uni
7,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_refine.pdb,1,1.0,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m.pdb,60000,1,0,1,"s5000,t300,dA,p1,w0,r0",uni
8,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_refine.pdb,1,1.0,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m.pdb,70000,1,0,1,"s5000,t300,dA,p1,w0,r0",uni
9,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_refine.pdb,1,1.0,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m.pdb,80000,1,0,1,"s5000,t300,dA,p1,w0,r0",uni
10,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_refine.pdb,1,1.0,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m.pdb,90000,1,0,1,"s5000,t300,dA,p1,w0,r0",uni
11,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_refine.pdb,1,1.0,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m.pdb,100000,1,0,1,"s5000,t300,dA,p1,w0,r0",uni
12,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_refine.pdb,1,1.0,,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m.pdb,,1,0,1,"s5000,t300,dA,p1,w0,r0",uni
13,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_refine.pdb,1,1.0,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m.pdb,1000,1,0,1,"s5000,t300,dA,p1,w0,r0",uni
14,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_refine.pdb,1,1.0,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m.pdb,2000,1,0,1,"s5000,t300,dA,p1,w0,r0",uni
15,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_refine.pdb,1,1.0,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m.pdb,3000,1,0,1,"s5000,t300,dA,p1,w0,r0",uni
16,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_refine.pdb,1,1.0,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m.pdb,4000,1,0,1,"s5000,t300,dA,p1,w0,r0",uni
17,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_refine.pdb,1,1.0,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m.pdb,5000,1,0,1,"s5000,t300,dA,p1,w0,r0",uni
18,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_refine.pdb,1,1.0,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m.pdb,6000,1,0,1,"s5000,t300,dA,p1,w0,r0",uni
19,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_refine.pdb,1,1.0,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m.pdb,7000,1,0,1,"s5000,t300,dA,p1,w0,r0",uni
20,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_refine.pdb,1,1.0,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m.pdb,8000,1,0,1,"s5000,t300,dA,p1,w0,r0",uni
21,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_refine.pdb,1,1.0,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m.pdb,9000,1,0,1,"s5000,t300,dA,p1,w0,r0",uni
22,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_refine.pdb,1,1.0,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m.pdb,10000,1,0,1,"s5000,t300,dA,p1,w0,r0",uni
23,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_refine.pdb,1,1.0,,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m.pdb,,1,0,1,"s5000,t300,dA,p1,w0,r0",uni
24,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_refine.pdb,1,1.0,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m.pdb,11000,1,0,1,"s5000,t300,dA,p1,w0,r0",uni
25,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_refine.pdb,1,1.0,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m.pdb,12000,1,0,1,"s5000,t300,dA,p1,w0,r0",uni
26,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_refine.pdb,1,1.0,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m.pdb,13000,1,0,1,"s5000,t300,dA,p1,w0,r0",uni
27,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_refine.pdb,1,1.0,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m.pdb,14000,1,0,1,"s5000,t300,dA,p1,w0,r0",uni
28,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_refine.pdb,1,1.0,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m.pdb,15000,1,0,1,"s5000,t300,dA,p1,w0,r0",uni
29,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m_refine.pdb,1,1.0,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,/wynton/home/sali/mhancock/xray/data/pdbs/3k0m/3k0m.pdb,16000,1,0,1,"s5000,t300,dA,p1,w0,r0",uni
