,start_pdb_file,cif_0,ref_0,N,J,w_xray,xray_freq,weight_thermo,vel_thermo,refine,sample_sched_str,init_weights
10,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhh_no_dms.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhh.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhh_no_dms.pdb,1.0,1,,1,0,1,1,"s5000,t300,dA,p1,w0,r0",uni
11,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhh_no_dms.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhh.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhh_no_dms.pdb,2.0,1,,1,0,1,1,"s5000,t300,dA,p1,w0,r0",uni
12,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhh_no_dms.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhh.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhh_no_dms.pdb,4.0,1,,1,0,1,1,"s5000,t300,dA,p1,w0,r0",uni
13,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhh_no_dms.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhh.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhh_no_dms.pdb,8.0,1,,1,0,1,1,"s5000,t300,dA,p1,w0,r0",uni
14,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhh_no_dms.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhh.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhh_no_dms.pdb,16.0,1,,1,0,1,1,"s5000,t300,dA,p1,w0,r0",uni
15,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhi_no_dms.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhi.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhi_no_dms.pdb,1.0,1,,1,0,1,1,"s5000,t300,dA,p1,w0,r0",uni
16,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhi_no_dms.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhi.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhi_no_dms.pdb,2.0,1,,1,0,1,1,"s5000,t300,dA,p1,w0,r0",uni
17,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhi_no_dms.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhi.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhi_no_dms.pdb,4.0,1,,1,0,1,1,"s5000,t300,dA,p1,w0,r0",uni
18,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhi_no_dms.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhi.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhi_no_dms.pdb,8.0,1,,1,0,1,1,"s5000,t300,dA,p1,w0,r0",uni
19,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhi_no_dms.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhi.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhi_no_dms.pdb,16.0,1,,1,0,1,1,"s5000,t300,dA,p1,w0,r0",uni
