,init_pdbs,N,ref_N,J,ref_pdbs,ref_0_0,ref_1_0,w_xray,xray_freq,weight_thermo,vel_thermo,refine,sample_sched_str,init_w_0_0
0,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native_0.pdb,1,2,1,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native.pdb,0.9,0.1,1,1,0,1,0,"s1000,t100,dA,p1,w0,r0",1
1,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native_1.pdb,1,2,1,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native.pdb,0.9,0.1,1,1,0,1,0,"s1000,t100,dA,p1,w0,r0",1
