,cif_0,cif_1,init_pdbs,N,ref_N,J,ref_pdbs,ref_0_0,ref_0_1,w_xray,xray_freq,weight_thermo,vel_thermo,refine,sample_sched_str
17,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhh.cif,,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,2,1,1,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,1,,0.5,1,0,1,1,"s5000,t5000,dA,p1,w0,r0"
18,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhi.cif,,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,2,1,1,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,1,,0.5,1,0,1,1,"s5000,t5000,dA,p1,w0,r0"
19,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhj.cif,,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,2,1,1,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,1,,0.5,1,0,1,1,"s5000,t5000,dA,p1,w0,r0"
20,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhk.cif,,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,2,1,1,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,1,,0.5,1,0,1,1,"s5000,t5000,dA,p1,w0,r0"
21,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhf.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhg.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,2,1,2,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,1,1,1,1,0,1,1,"s5000,t5000,dA,p1,w0,r0"
22,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhf.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhh.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,2,1,2,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,1,1,1,1,0,1,1,"s5000,t5000,dA,p1,w0,r0"
23,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhf.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhi.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,2,1,2,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,1,1,1,1,0,1,1,"s5000,t5000,dA,p1,w0,r0"
24,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhf.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhj.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,2,1,2,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,1,1,1,1,0,1,1,"s5000,t5000,dA,p1,w0,r0"
25,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhf.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhk.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,2,1,2,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,1,1,1,1,0,1,1,"s5000,t5000,dA,p1,w0,r0"
26,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhg.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhh.cif,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,2,1,2,/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb,1,1,1,1,0,1,1,"s5000,t5000,dA,p1,w0,r0"
