,N,J,w_xray,r_free,w_0_3k0n,r_work_3k0n,ff,pdb,cif_0,w_1_3k0n,w_2_3k0n,w_3_3k0n,w_4_3k0n,w_5_3k0n,w_6_3k0n,w_7_3k0n
1,1.0,1.0,1000.0,0.2397713084983682,1.0,0.2293073134601185,937.3509163761742,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/1/output_8/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,,,,,,,
2,1.0,1.0,10000.0,0.1967800722930819,1.0,0.1779765037844716,1619.8905836269437,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/2/output_7/pdbs/295.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,,,,,,,
3,1.0,1.0,20000.0,0.1876007205157603,1.0,0.1630396434327806,1739.456116295083,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/3/output_5/pdbs/273.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,,,,,,,
4,1.0,1.0,30000.0,0.1841743178214409,1.0,0.1580924684346461,1769.6229363542084,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/4/output_7/pdbs/130.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,,,,,,,
5,1.0,1.0,40000.0,0.1833731255931823,1.0,0.1557095669146991,1856.1225236406383,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/5/output_6/pdbs/340.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,,,,,,,
6,1.0,1.0,50000.0,0.1834629928632894,1.0,0.1543505248983927,1908.877430354269,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/6/output_9/pdbs/397.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,,,,,,,
7,1.0,1.0,60000.0,0.1821532501833477,1.0,0.1527262911727788,2044.953611646223,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/7/output_2/pdbs/291.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,,,,,,,
8,1.0,1.0,70000.0,0.1824546930904077,1.0,0.1513488445446768,2177.4046565506824,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/8/output_7/pdbs/89.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,,,,,,,
9,1.0,1.0,80000.0,0.1821645218878753,1.0,0.1513856055584002,2172.357593322093,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/9/output_6/pdbs/468.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,,,,,,,
10,1.0,1.0,90000.0,0.18260104063903,1.0,0.1506849185525867,2331.0633448317526,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/10/output_0/pdbs/213.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,,,,,,,
11,1.0,1.0,100000.0,0.1830437923821634,1.0,0.1501758734424673,2340.811462101961,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/11/output_8/pdbs/201.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,,,,,,,
13,2.0,1.0,1000.0,0.2321102882600724,0.5,0.2204434935287697,1932.30057008768,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/13/output_2/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,0.5,,,,,,
14,2.0,1.0,10000.0,0.2053664519097783,0.5,0.194587902480686,3356.0025917106937,/wynton/group/sali/mhancock/xray/sample_bench/out/243_3k0n/14/output_7/pdbs/198.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0n.cif,0.5,,,,,,
