,n,xray_0_mean,xray_0_std,rmsd_mean,rmsd_std
813,,4.268738093059869,0.005201143518105674,0.27680612825920253,0.012080812193329755
814,,4.268692236538508,0.0051540261440233106,0.2767026156124246,0.011976332706673259
815,,4.268669447916727,0.00514003060306684,0.27665282340264036,0.011948258591255725
816,,4.268658053605837,0.005132980582770171,0.27662792729774827,0.011934118863439067
817,,4.268627231208284,0.005098450067970379,0.27652513733309236,0.011699898601757316
818,,4.268615836897394,0.005091247990190379,0.27650024122820027,0.011685186314433212
819,,4.268598605792158,0.005070380515049742,0.27646093295725727,0.011637496431711834
820,,4.268598605792158,0.005070380515049742,0.27646093295725727,0.011637496431711834
821,,4.268552749270795,0.005020762627628997,0.2763574203104794,0.011525900437267929
822,,4.268541354959905,0.005013279667475528,0.2763325242055873,0.011510603016360749
823,,4.2685299606490155,0.005005759585218784,0.2763076281006952,0.011495231319056425
824,,4.2685299606490155,0.005005759585218784,0.2763076281006952,0.011495231319056425
825,,4.2685299606490155,0.005005759585218784,0.2763076281006952,0.011495231319056425
826,,4.2685299606490155,0.005005759585218784,0.2763076281006952,0.011495231319056425
827,,4.268518566338125,0.0049982022133017575,0.2762827319958031,0.011479785046981527
828,,4.268494285597504,0.00495183056588866,0.27616098910613357,0.011050267383650334
829,,4.268471496975724,0.004936348144347787,0.2761111968963494,0.0110173867115346
830,,4.268460102664833,0.004928549181626595,0.2760863007914573,0.011000825007882324
831,,4.268448708353944,0.004920711473819329,0.2760614046865652,0.010984181905108888
832,,4.268448708353944,0.004920711473819329,0.2760614046865652,0.010984181905108888
833,,4.268416406919573,0.004877936506200081,0.27600446794155903,0.010935349855372718
834,,4.2684050126086825,0.004869915108661782,0.27597957183666694,0.010918420356967539
835,,4.2684050126086825,0.004869915108661782,0.27597957183666694,0.010918420356967539
836,,4.268382223986903,0.0048537523008239745,0.27592977962688275,0.010884311528952868
837,,4.268364992881667,0.004831026086686166,0.27589047135593986,0.010831026439632145
838,,4.268342204259887,0.0048145433110086885,0.2758406791461557,0.010796230596101923
839,,4.268319415638107,0.004797895673558302,0.27579088693637144,0.010761091854644383
840,,4.268319415638107,0.004797895673558302,0.27579088693637144,0.010761091854644383
841,,4.268319415638107,0.004797895673558302,0.27579088693637144,0.010761091854644383
842,,4.268308021327217,0.004789509495112518,0.27576599083147935,0.0107433928470442
843,,4.268296627016327,0.0047810814521983555,0.27574109472658725,0.010725606845100636
844,,4.268296627016327,0.0047810814521983555,0.27574109472658725,0.010725606845100636
845,,4.268279395911091,0.0047576981455560614,0.27570178645564436,0.010670834302809528
846,,4.268233539389729,0.004701671482607774,0.2755982738088665,0.010541565343077637
847,,4.268210750767949,0.004684094115822655,0.2755484815990822,0.010504425872338179
848,,4.268210750767949,0.004684094115822655,0.2755484815990822,0.010504425872338179
849,,4.268210750767949,0.004684094115822655,0.2755484815990822,0.010504425872338179
850,,4.2682070747497045,0.004670729806813229,0.2755557492299111,0.010525918530454108
851,,4.268189843644469,0.004646459141202621,0.2755164409589682,0.010469405532794173
852,,4.268178449333578,0.004637480791672622,0.2754915448540761,0.010450558784115169
