,N,W,r_work_0,r_free_0,ff,pdb
0,0,0,0.4136892586320111,0.4228070043828447,1997.7511996388816,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N0_W0/output_75/pdbs/2.pdb
1,0,1,0.3999797269095645,0.4345814347349486,1706.0013336175623,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N0_W1/output_94/pdbs/25.pdb
2,0,2,0.3420659836624029,0.3831071352173018,1673.687642445644,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N0_W2/output_1/pdbs/298.pdb
3,0,3,0.3238094153794241,0.3744681471262525,1748.5997447483662,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N0_W3/output_4/pdbs/295.pdb
4,0,4,0.3148829776554732,0.3661292548066783,2042.557310217783,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N0_W4/output_17/pdbs/287.pdb
5,0,5,0.309940793621382,0.3566063099518953,2390.160806746101,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N0_W5/output_56/pdbs/249.pdb
6,0,6,0.3063781971148376,0.3485544953558318,3042.8878103518355,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N0_W6/output_29/pdbs/269.pdb
7,0,7,0.3022989315545603,0.3557747665281591,3917.99936552709,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N0_W7/output_66/pdbs/197.pdb
8,0,8,0.2983696231093415,0.3662890331614969,5385.320991040962,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N0_W8/output_77/pdbs/277.pdb
9,0,9,0.2905776336479269,0.3619395165528454,8975.256331205594,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N0_W9/output_5/pdbs/142.pdb
10,0,10,0.2817911711283401,0.3673369611528055,16968.398613098732,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N0_W10/output_56/pdbs/219.pdb
11,1,0,0.4122085541266093,0.4297043664743269,7169.275369293589,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N1_W0/output_72/pdbs/2.pdb
12,1,1,0.3776775928891239,0.4038243786856199,7947.635426226215,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N1_W1/output_32/pdbs/20.pdb
13,1,2,0.3202231107372938,0.3562142612473505,7850.209038792805,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N1_W2/output_32/pdbs/190.pdb
14,1,3,0.2908904058599567,0.3465587461237349,7763.372759235421,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N1_W3/output_78/pdbs/260.pdb
15,1,4,0.2760369108458491,0.3311128658763283,7606.347106571504,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N1_W4/output_84/pdbs/267.pdb
16,1,5,0.2663518055040851,0.3245543762416482,8392.721746252895,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N1_W5/output_65/pdbs/258.pdb
17,1,6,0.2608111880671425,0.3339967601321237,9477.81766770834,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N1_W6/output_48/pdbs/298.pdb
18,1,7,0.2561335537550815,0.3288545752908994,11115.317367697617,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N1_W7/output_74/pdbs/234.pdb
