,N,W,r_free_0,r_work_0,ff,pdb
0,0,0,0.4176914458575365,0.4150808181796507,6282.8450416130345,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N0_W0/output_12/pdbs/1.pdb
1,0,1,0.411856303638594,0.4075112712350919,1756.8055431208834,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N0_W1/output_17/pdbs/92.pdb
2,0,2,0.3660295285302951,0.3535649765851121,1655.7995245035686,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N0_W2/output_70/pdbs/42.pdb
3,0,3,0.3528413396412429,0.3273151619178526,1805.6278043637133,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N0_W3/output_44/pdbs/104.pdb
4,0,4,0.3426903084980962,0.3199943060832726,1970.945632642865,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N0_W4/output_8/pdbs/212.pdb
5,0,5,0.3441939267778184,0.3139191206097764,2376.565377483209,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N0_W5/output_3/pdbs/132.pdb
6,0,6,0.3454385536331835,0.3086003799724846,2879.2269410505155,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N0_W6/output_81/pdbs/247.pdb
7,0,7,0.3503848579344151,0.3038756206264586,3825.206405317831,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N0_W7/output_90/pdbs/203.pdb
8,0,8,0.3569412529473491,0.2999248947042207,5440.364140638939,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N0_W8/output_95/pdbs/299.pdb
9,0,9,0.3548337842010714,0.2930170544386104,8863.111611876524,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N0_W9/output_76/pdbs/51.pdb
10,0,10,0.3612707531923523,0.2877292566958123,15646.091155153905,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N0_W10/output_32/pdbs/13.pdb
11,1,0,0.4179682226961786,0.4157018810982416,15462.154971836591,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N1_W0/output_73/pdbs/1.pdb
12,1,1,0.3879433408871873,0.3818520296955809,8240.048708400456,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N1_W1/output_94/pdbs/26.pdb
13,1,2,0.3496247472418788,0.3245509883058325,7747.648500616904,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N1_W2/output_19/pdbs/18.pdb
14,1,3,0.3300139298168076,0.2960812024725963,7761.353831276521,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N1_W3/output_48/pdbs/256.pdb
15,1,4,0.321025560144719,0.2809479575777017,7853.96326094387,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N1_W4/output_94/pdbs/247.pdb
16,1,5,0.3151408435276227,0.2677131944220275,8285.264260688858,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N1_W5/output_65/pdbs/180.pdb
17,1,6,0.3182987359031379,0.26553423885732,9491.327237788486,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N1_W6/output_5/pdbs/100.pdb
18,1,7,0.3186506425766512,0.2589338389969924,10985.774106261992,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N1_W7/output_50/pdbs/262.pdb
19,1,8,0.3208862934928075,0.2592266467161917,15725.939664053343,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/175_w_xray/N1_W8/output_41/pdbs/170.pdb
