,xray_0_min_0,xray_0_min_0_rmsd_avg,xray_0_min_0_r_work_0,xray_0_min_0_r_free_0,xray_0_min_0_pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_22/log.csv,5.120967985342814,0.3622636528544531,0.2160725048066523,0.2806672243000154,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_22/pdbs/396.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_21/log.csv,5.12777511928982,0.2627874685201779,0.2175855041591321,0.2883601805871162,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_21/pdbs/143.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_26/log.csv,5.117495271169903,0.2627891569085355,0.2143091759018931,0.2801412766034082,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_26/pdbs/169.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_25/log.csv,5.129195818616483,0.242699374469621,0.2164368851510328,0.2845891153585783,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_25/pdbs/148.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_6/log.csv,5.125175211160131,0.2747245641712148,0.2161505279225185,0.28278915371826,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_6/pdbs/199.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_7/log.csv,5.134079918328604,0.2372752455401314,0.2190654107918,0.2914681276552408,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_7/pdbs/186.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_37/log.csv,5.115830919025031,0.2896756623931318,0.214984162411066,0.2822980856319558,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_37/pdbs/178.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_40/log.csv,5.117193265381362,0.3386175036900191,0.2137713584402866,0.2825752961420598,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_40/pdbs/193.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_41/log.csv,5.114577777629155,0.3393261679309685,0.2147789941178069,0.2823271162470434,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_41/pdbs/152.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_39/log.csv,5.122556660243242,0.2584262359197147,0.2149932884033818,0.2843509607034657,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_39/pdbs/166.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_27/log.csv,5.125459463100721,0.2709739780887335,0.218216913810062,0.2852168197875858,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_27/pdbs/172.pdb
