,r_free,ff,pdb,w_0,cif_name,N,J,job_id,cifs,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15,exp_delta,ref_delta,ref_ff_delta,job_cif_str
8608,0.3062966713104255,1153.09705090716,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/8608.pdb,1.0,7mhg,1,5,59,"7mhf,7mhg,7mhi,7mhj,7mhk",,,,,,,,,,,,,,,,0.1012966713104255,0.012184165767390509,800.3827168212827,"7mhf,7mhg,7mhi,7mhj,7mhk"
9378,0.3156731887728138,1401.4943371947963,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/9378.pdb,1.0,7mhg,1,6,62,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk",,,,,,,,,,,,,,,,0.11067318877281382,0.021560683229778832,1048.780003108919,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk"
101,0.2989761361717373,460.5909134920237,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/101.pdb,1.0,7mhh,1,1,2,7mhh,,,,,,,,,,,,,,,,0.04597613617173729,0.0,0.0,7mhh
1414,0.2852308861520874,6368.316454462527,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/1414.pdb,1.0,7mhh,1,2,17,"7mhh,7mhk",,,,,,,,,,,,,,,,0.03223088615208741,-0.01374525001964988,5907.725540970503,"7mhh,7mhk"
4514,0.2666319373245068,8000.766068443737,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/4514.pdb,1.0,7mhh,1,3,39,"7mhh,7mhj,7mhk",,,,,,,,,,,,,,,,0.013631937324506793,-0.0323441988472305,7540.175154951713,"7mhh,7mhj,7mhk"
6490,0.2765947796045486,8098.668735654187,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/6490.pdb,1.0,7mhh,1,4,49,"7mhf,7mhh,7mhj,7mhk",,,,,,,,,,,,,,,,0.023594779604548588,-0.022381356567188704,7638.077822162163,"7mhf,7mhh,7mhj,7mhk"
7941,0.2711743631638894,3945.109008205949,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/7941.pdb,1.0,7mhh,1,5,56,"7mhf,7mhg,7mhh,7mhi,7mhj",,,,,,,,,,,,,,,,0.018174363163889373,-0.02780177300784792,3484.518094713925,"7mhf,7mhg,7mhh,7mhi,7mhj"
9401,0.2582522681359298,4779.698485250873,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/9401.pdb,1.0,7mhh,1,6,62,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk",,,,,,,,,,,,,,,,0.005252268135929772,-0.04072386803580752,4319.107571758849,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk"
152,0.2853722877042948,1097.8414288801428,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/152.pdb,1.0,7mhi,1,1,3,7mhi,,,,,,,,,,,,,,,,0.05737228770429478,0.0,0.0,7mhi
1255,0.267670803190969,3873.149037513177,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/1255.pdb,1.0,7mhi,1,2,15,"7mhh,7mhi",,,,,,,,,,,,,,,,0.03967080319096897,-0.017701484513325816,2775.3076086330343,"7mhh,7mhi"
