,r_free,ff,pdb,w_0,cif_name,N,J,job_id,cifs,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15,exp_delta,ref_delta,ref_ff_delta,job_cif_str
24407,0.3029880044723135,6200.270418137112,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/24407.pdb,0.481188832741845,7mhf,4,4,43,"7mhf,7mhg,7mhh,7mhk",0.1568572387887739,0.3151982077788017,0.0467557206905793,,,,,,,,,,,,,0.0789880044723135,-0.012525972818589304,5783.285585539474,"7mhf,7mhg,7mhh,7mhk"
27503,0.3107715442473852,8064.084454271989,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/27503.pdb,0.1315127438228515,7mhf,4,5,58,"7mhf,7mhg,7mhh,7mhj,7mhk",0.5295510240377483,0.2801300478889158,0.0588061842504843,,,,,,,,,,,,,0.08677154424738517,-0.004742433043517624,7647.099621674351,"7mhf,7mhg,7mhh,7mhj,7mhk"
28506,0.3184422879444795,7061.660388130629,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/28506.pdb,0.1972509768974913,7mhf,4,6,62,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk",0.2077141411414882,0.5455862322634097,0.0494486496976105,,,,,,,,,,,,,0.09444228794447948,0.0029283106535766823,6644.675555532991,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk"
19253,0.285794103953996,4330.025223559756,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/19253.pdb,0.2347058187509149,7mhg,4,1,1,7mhg,0.2992342367322269,0.2893166247835823,0.1767433197332757,,,,,,,,,,,,,0.08079410395399603,-0.00831840158903896,3977.310889473879,7mhg
19554,0.2824882079707196,4668.354563171914,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/19554.pdb,0.2149594671965765,7mhg,4,2,6,"7mhf,7mhg",0.4006780669836647,0.2623036181124843,0.1220588477072743,,,,,,,,,,,,,0.07748820797071962,-0.011624297572315367,4315.640229086037,"7mhf,7mhg"
21501,0.2786018818020987,5288.70557207001,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/21501.pdb,0.3238848011450473,7mhg,4,3,24,"7mhf,7mhg,7mhk",0.2030395378022909,0.3791711318266293,0.0939045292260325,,,,,,,,,,,,,0.07360188180209873,-0.015510623740936258,4935.991237984133,"7mhf,7mhg,7mhk"
24882,0.2849369912781954,6025.656912426417,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/24882.pdb,0.2984193037380291,7mhg,4,4,45,"7mhf,7mhg,7mhi,7mhk",0.4436092024839363,0.1839898401797264,0.073981653598308,,,,,,,,,,,,,0.0799369912781954,-0.00917551426483959,5672.9425783405395,"7mhf,7mhg,7mhi,7mhk"
27803,0.2881357273990179,7015.942907993743,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/27803.pdb,0.1627087366303946,7mhg,4,5,59,"7mhf,7mhg,7mhi,7mhj,7mhk",0.3414668393687446,0.3932564994451741,0.1025679245556865,,,,,,,,,,,,,0.0831357273990179,-0.005976778144017092,6663.228573907865,"7mhf,7mhg,7mhi,7mhj,7mhk"
28557,0.3211143519534949,6965.322958617772,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/28557.pdb,0.2110434730832257,7mhg,4,6,62,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk",0.2160501203009167,0.4528354975381639,0.1200709090776936,,,,,,,,,,,,,0.11611435195349493,0.02700184641045994,6612.608624531895,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk"
19317,0.3024284513486991,4738.254915461317,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/19317.pdb,0.2168008700558402,7mhh,4,1,2,7mhh,0.3317411492100378,0.3480230421555476,0.1034349385785745,,,,,,,,,,,,,0.04942845134869911,0.0034523151769618177,4277.664001969293,7mhh
20415,0.2810987659164501,9191.192930741712,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/20415.pdb,0.3690786173058111,7mhh,4,2,15,"7mhh,7mhi",0.3016648361647595,0.2358791843426983,0.093377362186731,,,,,,,,,,,,,0.028098765916450108,-0.017877370255287184,8730.602017249688,"7mhh,7mhi"
23411,0.2145702108937665,8034.4920971918045,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/23411.pdb,0.2808738781431767,7mhh,4,3,37,"7mhh,7mhi,7mhj",0.3102378689579673,0.32272641819877,0.0861618347000858,,,,,,,,,,,,,-0.038429789106233514,-0.0844059252779708,7573.901183699781,"7mhh,7mhi,7mhj"
26834,0.2256894530562155,8066.541342330937,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/26834.pdb,0.2577907354332842,7mhh,4,4,55,"7mhh,7mhi,7mhj,7mhk",0.3492985614803597,0.3072483536972558,0.0856623493891003,,,,,,,,,,,,,-0.027310546943784514,-0.0732866831155218,7605.9504288389135,"7mhh,7mhi,7mhj,7mhk"
28348,0.2306610845791374,8007.71100096382,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/28348.pdb,0.3404470355003284,7mhh,4,5,61,"7mhg,7mhh,7mhi,7mhj,7mhk",0.3046402423839106,0.2837498178963046,0.0711629042194564,,,,,,,,,,,,,-0.02233891542086261,-0.0683150515925999,7547.120087471796,"7mhg,7mhh,7mhi,7mhj,7mhk"
28615,0.2422323543702013,7504.243908792963,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/28615.pdb,0.2951734465897588,7mhh,4,6,62,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk",0.3698384593644781,0.2395812467512747,0.0954068472944883,,,,,,,,,,,,,-0.010767645629798706,-0.056743781801536,7043.652995300939,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk"
19353,0.2984597713873137,3092.7911371733817,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/19353.pdb,0.1479366662994335,7mhi,4,1,3,7mhi,0.3119576158867655,0.405075020678532,0.135030697135269,,,,,,,,,,,,,0.07045977138731371,0.01308748368301893,1994.949708293239,7mhi
20726,0.2502851718244382,8738.692844705456,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/20726.pdb,0.3476155238423634,7mhi,4,2,18,"7mhi,7mhj",0.2169291450986116,0.3358218939233627,0.0996334371356621,,,,,,,,,,,,,0.022285171824438205,-0.03508711587985658,7640.851415825313,"7mhi,7mhj"
23453,0.2087144758084733,7540.279019101899,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/23453.pdb,0.2679667272080829,7mhi,4,3,37,"7mhh,7mhi,7mhj",0.3058487798077748,0.3435013832938031,0.0826831096903392,,,,,,,,,,,,,-0.01928552419152671,-0.07665781189582149,6442.437590221756,"7mhh,7mhi,7mhj"
26893,0.2134697068034035,7421.367796850203,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/26893.pdb,0.2872183978247751,7mhi,4,4,55,"7mhh,7mhi,7mhj,7mhk",0.31367594698174,0.299643664102029,0.0994619910914559,,,,,,,,,,,,,-0.014530293196596517,-0.0719025809008913,6323.52636797006,"7mhh,7mhi,7mhj,7mhk"
28375,0.2192095534461772,7667.391287148779,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/28375.pdb,0.3179721012974733,7mhi,4,5,61,"7mhg,7mhh,7mhi,7mhj,7mhk",0.2969887059731247,0.2883248756286204,0.0967143171007816,,,,,,,,,,,,,-0.0087904465538228,-0.06616273425811758,6569.549858268636,"7mhg,7mhh,7mhi,7mhj,7mhk"
28666,0.2398364999782521,7544.19669641863,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/28666.pdb,0.3053771287709398,7mhi,4,6,62,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk",0.2749713459166199,0.34724519265968,0.0724063326527601,,,,,,,,,,,,,0.01183649997825209,-0.04553578772604269,6446.355267538487,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk"
19408,0.2979242132000687,4422.4715154056885,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/19408.pdb,0.3526074349514846,7mhj,4,1,4,7mhj,0.2708736073119042,0.2824474839651865,0.0940714737714245,,,,,,,,,,,,,0.057924213200068686,0.00018813755125657305,3511.641919527069,7mhj
20760,0.2802261112600875,9243.293419738602,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/20760.pdb,0.2819832094765984,7mhj,4,2,18,"7mhi,7mhj",0.2361534084039512,0.3712870330330021,0.1105763490864482,,,,,,,,,,,,,0.040226111260087516,-0.017509964388724597,8332.463823859982,"7mhi,7mhj"
23516,0.2131617401310929,7788.815637073841,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/23516.pdb,0.2625203296686709,7mhj,4,3,37,"7mhh,7mhi,7mhj",0.3274742917067543,0.3301472511282042,0.0798581274963706,,,,,,,,,,,,,-0.02683825986890709,-0.0845743355177192,6877.986041195221,"7mhh,7mhi,7mhj"
26919,0.2188168455073165,7943.811485218011,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/26919.pdb,0.2880692716689342,7mhj,4,4,55,"7mhh,7mhi,7mhj,7mhk",0.3067776480738107,0.3024448514372646,0.1027082288199904,,,,,,,,,,,,,-0.021183154492683487,-0.0789192301414956,7032.981889339391,"7mhh,7mhi,7mhj,7mhk"
28409,0.2303027521654176,8720.81944045353,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/28409.pdb,0.2798756891448133,7mhj,4,5,61,"7mhg,7mhh,7mhi,7mhj,7mhk",0.3464160902995924,0.2683144534826949,0.1053937670728993,,,,,,,,,,,,,-0.009697247834582395,-0.06743332348339451,7809.98984457491,"7mhg,7mhh,7mhi,7mhj,7mhk"
28707,0.2455555311179711,7637.802019526634,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/28707.pdb,0.3446601477959409,7mhj,4,6,62,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk",0.3280124715319373,0.2282036652959498,0.099123715376172,,,,,,,,,,,,,0.0055555311179711075,-0.052180544530841005,6726.972423648014,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk"
19450,0.3165319805315927,5129.397217833179,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/19450.pdb,0.2951843779580276,7mhk,4,1,5,7mhk,0.3404144733573533,0.256097685963976,0.1083034627206432,,,,,,,,,,,,,0.06953198053159271,0.005424769565158916,4656.541799111693,7mhk
20889,0.2990506304287143,9197.461173158026,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/20889.pdb,0.3011659736402054,7mhk,4,2,19,"7mhi,7mhk",0.2770416883536665,0.3096817619004738,0.1121105761056541,,,,,,,,,,,,,0.05205063042871433,-0.012056580537719463,8724.605754436541,"7mhi,7mhk"
23653,0.2440307751156404,7244.935980603176,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/23653.pdb,0.2959660310993437,7mhk,4,3,38,"7mhh,7mhi,7mhk",0.3299143504399561,0.272335148714515,0.1017844697461852,,,,,,,,,,,,,-0.002969224884359606,-0.0670764358507934,6772.08056188169,"7mhh,7mhi,7mhk"
26796,0.2518389549318994,6120.85976448075,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/26796.pdb,0.3011955369738463,7mhk,4,4,54,"7mhg,7mhi,7mhj,7mhk",0.2824415621779582,0.3269810703374798,0.0893818305107156,,,,,,,,,,,,,0.004838954931899397,-0.059268256034534395,5648.004345759264,"7mhg,7mhi,7mhj,7mhk"
28234,0.2606448817618375,8126.619939301514,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/28234.pdb,0.2957429779129621,7mhk,4,5,60,"7mhf,7mhh,7mhi,7mhj,7mhk",0.2894287064846544,0.316562006889647,0.0982663087127364,,,,,,,,,,,,,0.01364488176183748,-0.05046232920459631,7653.764520580028,"7mhf,7mhh,7mhi,7mhj,7mhk"
28792,0.2703954791069322,8048.699755698968,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/28792.pdb,0.3341476214463498,7mhk,4,6,62,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk",0.267259326526555,0.292530041207962,0.1060630108191331,,,,,,,,,,,,,0.023395479106932182,-0.04071173185950161,7575.844336977482,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk"
28802,0.3021740057063244,5936.871172252795,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/28802.pdb,0.1796246870803391,7mhf,8,1,0,7mhf,0.1969776181551333,0.1022519969714455,0.0455637526467746,0.1240706349030227,0.1489617764624883,0.0755299843548659,0.1270195494259302,,,,,,,,,0.0781740057063244,-0.013339971584578392,5519.886339655157,7mhf
29101,0.2910105252741578,6855.046949391657,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/29101.pdb,0.1677858504495948,7mhf,8,2,6,"7mhf,7mhg",0.1177312060427621,0.1610176788476868,0.0256835211521079,0.1160899006233751,0.1680455430905716,0.0751945290766938,0.1684517707172076,,,,,,,,,0.06701052527415782,-0.024503452016744975,6438.062116794019,"7mhf,7mhg"
30750,0.2970623667324684,6577.884442501567,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/30750.pdb,0.1594459369031948,7mhf,8,3,22,"7mhf,7mhg,7mhi",0.0467303551393981,0.2511924507711724,0.0522933914214262,0.1519738495759979,0.0963104510092151,0.0463816425197081,0.1956719226598871,,,,,,,,,0.07306236673246838,-0.018451610558434417,6160.899609903929,"7mhf,7mhg,7mhi"
34411,0.3025073380469179,7123.384462903236,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/34411.pdb,0.0270873051409274,7mhf,8,4,45,"7mhf,7mhg,7mhi,7mhk",0.1858507645815858,0.2105240649636584,0.0450191888421352,0.261586276631973,0.0952073700911443,0.062420039538803,0.1123049902097726,,,,,,,,,0.07850733804691787,-0.01300663924398493,6706.399630305598,"7mhf,7mhg,7mhi,7mhk"
37353,0.30408498372513,8064.339084679886,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/37353.pdb,0.1302021727233665,7mhf,8,5,59,"7mhf,7mhg,7mhi,7mhj,7mhk",0.2572656929194314,0.1240158580396641,0.0494599576918367,0.0737198101921537,0.0490229396333455,0.0550549379016802,0.2612586308985216,,,,,,,,,0.08008498372512998,-0.011428993565772816,7647.3542520822475,"7mhf,7mhg,7mhi,7mhj,7mhk"
38103,0.3210073624587842,8511.092024154541,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/38103.pdb,0.1909395117829306,7mhf,8,6,62,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk",0.1268548427923669,0.0757234591552412,0.0516079572377319,0.0548289416138347,0.2154341905573282,0.0843999517472453,0.2002111451133209,,,,,,,,,0.09700736245878419,0.005493385167881393,8094.107191556903,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk"
28853,0.2856010167869598,6449.158080590115,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/28853.pdb,0.1060756035207237,7mhg,8,1,1,7mhg,0.0932188681957909,0.1934850936946299,0.0142192016951063,0.1631784912868156,0.1722647814597825,0.0619515032166322,0.1956064569305187,,,,,,,,,0.08060101678695983,-0.008511488756075158,6096.443746504237,7mhg
29161,0.2819478193941004,7306.132365402622,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/29161.pdb,0.0869389831523849,7mhg,8,2,6,"7mhf,7mhg",0.1036115609190488,0.1563798385682752,0.1401809600352514,0.1142656485973317,0.1434917345610033,0.094019879127682,0.1611113950390224,,,,,,,,,0.07694781939410042,-0.012164686148934567,6953.418031316744,"7mhf,7mhg"
31115,0.2779066255912963,7063.51610385907,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/31115.pdb,0.1038220756609077,7mhg,8,3,24,"7mhf,7mhg,7mhk",0.1991495903888266,0.1517400775408658,0.0583130319762212,0.2065447351209303,0.1035361559348348,0.0423536300125657,0.1345407033648475,,,,,,,,,0.07290662559129632,-0.016205879951738666,6710.801769773193,"7mhf,7mhg,7mhk"
34083,0.2819047390477683,7269.854076192165,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/34083.pdb,0.1703562426957404,7mhg,8,4,43,"7mhf,7mhg,7mhh,7mhk",0.1081519564656736,0.1778144768837661,0.0507876478032191,0.1275896092466317,0.1962650599604469,0.0542407353848284,0.1147942715596935,,,,,,,,,0.07690473904776832,-0.01220776649526667,6917.1397421062875,"7mhf,7mhg,7mhh,7mhk"
37440,0.286377749954457,7872.013161509461,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/37440.pdb,0.0929048787682756,7mhg,8,5,59,"7mhf,7mhg,7mhi,7mhj,7mhk",0.0892714528369918,0.2961978386750884,0.0580932627487036,0.1262622632374334,0.1783762814980441,0.0653650342142585,0.0935289880212041,,,,,,,,,0.08137774995445698,-0.007734755588578002,7519.298827423583,"7mhf,7mhg,7mhi,7mhj,7mhk"
38192,0.2947528547374228,7714.901197327814,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/38192.pdb,0.0769537457511411,7mhg,8,6,62,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk",0.0796482641287804,0.1066820370294331,0.0686111561323092,0.2515816712576503,0.152257376243081,0.0654651400194306,0.198800609438174,,,,,,,,,0.08975285473742281,0.0006403491943878237,7362.186863241936,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk"
28903,0.310545983759156,4975.131321979494,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/28903.pdb,0.1234948672999585,7mhh,8,1,2,7mhh,0.1722082103485451,0.1826434743171531,0.1957749131467924,0.1194932947075713,0.0502728711733445,0.1040469568611309,0.0520654121455038,,,,,,,,,0.05754598375915598,0.011569847587418691,4514.54040848747,7mhh
30121,0.2609575517305624,9224.476893642784,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/30121.pdb,0.167264353609501,7mhh,8,2,16,"7mhh,7mhj",0.1756772914147455,0.1295131097064309,0.0779557982380013,0.1292171177841942,0.1516816241896389,0.072530033184544,0.0961606718729436,,,,,,,,,0.007957551730562396,-0.038018584441174896,8763.88598015076,"7mhh,7mhj"
33020,0.2088387219861944,11992.66340581532,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/33020.pdb,0.2720662732569655,7mhh,8,3,37,"7mhh,7mhi,7mhj",0.1057553955674975,0.0697734275908664,0.0706787038062773,0.1276403852419728,0.1570963707511065,0.0439352293171742,0.1530542144681397,,,,,,,,,-0.044161278013805594,-0.09013741418554289,11532.072492323296,"7mhh,7mhi,7mhj"
36427,0.2141510130810959,8469.745459522579,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/36427.pdb,0.0793674339725737,7mhh,8,4,55,"7mhh,7mhi,7mhj,7mhk",0.1085707898519329,0.17648465482598,0.0706395907937799,0.1712531063966329,0.1592169593787585,0.0633042374240741,0.1711632273562678,,,,,,,,,-0.038848986918904094,-0.08482512309064139,8009.154546030555,"7mhh,7mhi,7mhj,7mhk"
37678,0.2222276475716516,8504.662543064935,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/37678.pdb,0.1280947719450758,7mhh,8,5,60,"7mhf,7mhh,7mhi,7mhj,7mhk",0.1591583509765263,0.1008634830354409,0.0508452890189387,0.1222313544603765,0.2315042964457622,0.0432225064380361,0.1640799476798432,,,,,,,,,-0.030772352428348415,-0.07674848860008571,8044.071629572911,"7mhf,7mhh,7mhi,7mhj,7mhk"
38248,0.2341000737595063,8532.48535697725,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/38248.pdb,0.0633683981680311,7mhh,8,6,62,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk",0.2108564346311441,0.2027781152153785,0.0577163231295546,0.1210196466321431,0.1337010436322569,0.0584104678566227,0.1521495707348687,,,,,,,,,-0.018899926240493692,-0.06487606241223098,8071.894443485226,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk"
28961,0.2940908030486253,7171.362927862877,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/28961.pdb,0.0963442383602522,7mhi,8,1,3,7mhi,0.2401227497228607,0.0967189296432068,0.0779938059099336,0.0958259061115181,0.1439046655716873,0.1225873961234584,0.1265023085570826,,,,,,,,,0.06609080304862527,0.00871851534433049,6073.521498982735,7mhi
30343,0.2307066986334711,9144.425477356324,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/30343.pdb,0.1477400835710986,7mhi,8,2,18,"7mhi,7mhj",0.1756796883080737,0.1183192500768503,0.0611783137090387,0.1496145831636786,0.1766340537089516,0.0509233850631293,0.1199106423991789,,,,,,,,,0.0027066986334710885,-0.054665589070823695,8046.584048476181,"7mhi,7mhj"
33084,0.1946519998903472,8501.826740857925,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/33084.pdb,0.196234590227654,7mhi,8,3,37,"7mhh,7mhi,7mhj",0.0892420552527721,0.1733575818624864,0.0497697323888235,0.1413548631980223,0.1458359754175561,0.0672667682340073,0.136938433418678,,,,,,,,,-0.0333480001096528,-0.09072028781394759,7403.985311977782,"7mhh,7mhi,7mhj"
34910,0.2096442903409471,8258.226496659921,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/34910.pdb,0.1532817686443975,7mhi,8,4,47,"7mhf,7mhh,7mhi,7mhj",0.1355073474656332,0.1666491423694136,0.0755765150761656,0.1558644610129078,0.1710557449173794,0.0455987322381259,0.0964662882759768,,,,,,,,,-0.01835570965905292,-0.0757279973633477,7160.385067779778,"7mhf,7mhh,7mhi,7mhj"
37728,0.2181395312352954,8670.551577212718,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/37728.pdb,0.111104628091158,7mhi,8,5,60,"7mhf,7mhh,7mhi,7mhj,7mhk",0.1614911434110547,0.1245399354687466,0.063847780192906,0.140881518964485,0.2012922564123144,0.0932434913329099,0.103599246126425,,,,,,,,,-0.009860468764704616,-0.0672327564689994,7572.710148332575,"7mhf,7mhh,7mhi,7mhj,7mhk"
38274,0.2234350198161686,8615.68511187513,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/38274.pdb,0.1553335094728021,7mhi,8,6,62,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk",0.1112065419234917,0.1978014909472551,0.0905872519578051,0.1278851358427317,0.1213406548018682,0.0714151502814157,0.1244302647726301,,,,,,,,,-0.004564980183831419,-0.0619372678881262,7517.843682994986,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk"
29005,0.2996038163574805,4419.047752148281,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/29005.pdb,0.1915712134314396,7mhj,8,1,4,7mhj,0.2107285479248209,0.1274339669797,0.0867830394578355,0.166929631786056,0.0211931906205889,0.0489705420598739,0.146389867739685,,,,,,,,,0.05960381635748052,0.0018677407086684084,3508.2181562696614,7mhj
30382,0.2519868831028204,8928.407184799262,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/30382.pdb,0.1615083960213683,7mhj,8,2,18,"7mhi,7mhj",0.130857302705135,0.1216935068995456,0.0671042621742433,0.1540253282452122,0.118034017962464,0.0771762682393932,0.1696009177526383,,,,,,,,,0.011986883102820423,-0.04574919254599169,8017.5775889206425,"7mhi,7mhj"
33101,0.205487248510453,8611.79270535056,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/33101.pdb,0.1851596093542359,7mhj,8,3,37,"7mhh,7mhi,7mhj",0.1776940966793358,0.0954345158472428,0.062445960366882,0.1575758703792332,0.1002396681094987,0.0529572848832188,0.1684929943803526,,,,,,,,,-0.034512751489546994,-0.09224882713835911,7700.96310947194,"7mhh,7mhi,7mhj"
36547,0.2043866686105155,8478.408295046538,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/36547.pdb,0.1546177664969185,7mhj,8,4,55,"7mhh,7mhi,7mhj,7mhk",0.1333947666370193,0.2103878395798999,0.0559595756084297,0.1559077612299079,0.1464784440526449,0.0821243056369112,0.0611295407582683,,,,,,,,,-0.0356133313894845,-0.09334940703829661,7567.578699167919,"7mhh,7mhi,7mhj,7mhk"
37769,0.2161069851551279,8359.504312468249,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/37769.pdb,0.0654791197020493,7mhj,8,5,60,"7mhf,7mhh,7mhi,7mhj,7mhk",0.1423784365356169,0.1385035897966786,0.063624749299718,0.1642443040642116,0.2295621454229283,0.0858985782652792,0.1103090769135179,,,,,,,,,-0.02389301484487208,-0.08162909049368419,7448.6747165896295,"7mhf,7mhh,7mhi,7mhj,7mhk"
38331,0.242135747372722,8351.254250666814,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/38331.pdb,0.1381374481572589,7mhj,8,6,62,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk",0.1082728218945556,0.2240009303487571,0.0841507447163537,0.085625944239337,0.135398290917538,0.0736937255855306,0.1507200941406689,,,,,,,,,0.0021357473727220133,-0.0556003282760901,7440.424654788195,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk"
29064,0.3231523625098909,7062.433690445972,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/29064.pdb,0.1079162863740539,7mhk,8,1,5,7mhk,0.1772389050448869,0.1711849112500051,0.0446085883029579,0.1559611251165309,0.1499565802517583,0.0457110520160095,0.1474225516437972,,,,,,,,,0.07615236250989088,0.012045151543457089,6589.5782717244865,7mhk
30556,0.2666611875853183,7546.413431977571,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/30556.pdb,0.1590431511361237,7mhk,8,2,20,"7mhj,7mhk",0.0813415590510816,0.1728859064792714,0.0666953777906504,0.1641344404208421,0.1540641597877574,0.0676912921049098,0.1341441132293632,,,,,,,,,0.019661187585318318,-0.044446023381115474,7073.558013256085,"7mhj,7mhk"
33274,0.240384432025516,10188.271491475163,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/33274.pdb,0.1720687025007484,7mhk,8,3,38,"7mhh,7mhi,7mhk",0.117046364135911,0.1718756294451359,0.0810018171644217,0.0938670220315929,0.1941499156746731,0.0491759994748817,0.1208145495726351,,,,,,,,,-0.00661556797448401,-0.0707227789409178,9715.416072753678,"7mhh,7mhi,7mhk"
