,xray_0_min_0,xray_0_min_0_r_free_0,xray_0_min_0_r_work_0,xray_0_min_0_pdb,xray_0_min_0_occ_0,xray_0_min_0_occ_1,xray_0_min_0_occ_2,xray_0_min_0_occ_3,xray_0_min_0_occ_4,xray_0_min_0_occ_5,xray_0_min_0_occ_6,xray_0_min_0_occ_7
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/62_7mhj_8/1018130/output_5/log.csv,5.262219367553535,0.2959517365764402,0.181145597437136,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/62_7mhj_8/1018130/output_5/pdbs/890.pdb,0.1122705574895088,0.1598307306273462,0.1199940723223915,0.1284416395991099,0.0943762596021243,0.1232375096362808,0.0999710603401373,0.1618781703831009
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/62_7mhj_8/1018130/output_1/log.csv,5.288321646028301,0.2909566645995411,0.1813898798871517,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/62_7mhj_8/1018130/output_1/pdbs/956.pdb,0.1229716097687018,0.0833817250396209,0.1312180858158754,0.1349379951874559,0.1262507130636546,0.0925785795068715,0.1699251111954505,0.138736180422369
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/62_7mhj_8/1018130/output_3/log.csv,5.2996557564755165,0.2967766512653694,0.1861502278828364,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/62_7mhj_8/1018130/output_3/pdbs/772.pdb,0.1259052493836922,0.039864383699854,0.1107711669913726,0.1587797813301124,0.125772284368119,0.1425872685645108,0.1451945426043817,0.151125323057957
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/62_7mhj_8/1018130/output_0/log.csv,5.293808176714121,0.2936200129252232,0.185351151231642,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/62_7mhj_8/1018130/output_0/pdbs/756.pdb,0.1793862458068831,0.1655184027000429,0.1207532981509913,0.0,0.1187096077014019,0.1430060920577439,0.1285732440297946,0.1440531095531422
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/62_7mhj_8/1018130/output_2/log.csv,5.31676164813243,0.2891969130826344,0.1860789296326656,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/62_7mhj_8/1018130/output_2/pdbs/918.pdb,0.1296411874916965,0.2125304859342398,0.1376190365283353,0.1792890656783909,0.1732141798017102,0.0449080918234487,0.1227979527421781,0.0
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/62_7mhj_8/1018130/output_18/log.csv,5.293130534984018,0.2949540103413105,0.181384355338347,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/62_7mhj_8/1018130/output_18/pdbs/955.pdb,0.0922606008673897,0.161949909338071,0.1199702679764522,0.1208450920034441,0.1602067897057174,0.0774902820815683,0.1420734961680723,0.1252035618592847
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/62_7mhj_8/1018130/output_6/log.csv,5.289667409745751,0.2956651059565884,0.181058687391772,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/62_7mhj_8/1018130/output_6/pdbs/888.pdb,0.1734456380454654,0.1450501328521878,0.131288821313928,0.1065335407502369,0.1548662744069247,0.142020477772557,0.1467951148586999,0.0
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/62_7mhj_8/1018130/output_19/log.csv,5.308308183336389,0.2932333813051335,0.1839260993687634,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/62_7mhj_8/1018130/output_19/pdbs/719.pdb,0.1826800727282534,0.1359052356036993,0.0,0.1270965714683755,0.1732946665638059,0.1148940150598136,0.1516447746492305,0.1144846639268216
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/62_7mhj_8/1018130/output_15/log.csv,5.2902721937342765,0.2975934397861933,0.179424762087214,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/62_7mhj_8/1018130/output_15/pdbs/964.pdb,0.1371489491338383,0.1064043147732198,0.0957650081772546,0.13797969792342,0.1178655835188688,0.1274992587735963,0.136208272425129,0.141128915274673
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/62_7mhj_8/1018130/output_8/log.csv,5.287196215190122,0.2936942942169654,0.182051903384556,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/62_7mhj_8/1018130/output_8/pdbs/898.pdb,0.1529481565697627,0.1378067944010539,0.1311069871680941,0.0583162058855698,0.1014425812438583,0.150133249167603,0.1285590939698147,0.1396869315942431
