,r_free_7mhf,xray_7mhf,r_free_7mhg,xray_7mhg,r_free_7mhh,xray_7mhh,r_free_7mhi,xray_7mhi,r_free_7mhj,xray_7mhj,r_free_7mhk,xray_7mhk,pdb,ff,w_0_7mhf,w_1_7mhf,w_0_7mhg,w_1_7mhg,w_0_7mhh,w_1_7mhh,w_0_7mhi,w_1_7mhi,w_0_7mhj,w_1_7mhj,w_0_7mhk,w_1_7mhk
0,0.3117352113847358,5.463050712861739,,,,,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/0/output_222/pdbs/215.pdb,8418.523765786102,0.3665711017780127,0.6334288982219872,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.3010414148009183,5.464286456398746,0.2978082532204841,5.358420028005624,,,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/6/output_114/pdbs/228.pdb,10574.957606720036,0.3817477866885474,0.6182522133114525,0.3898575309110395,0.6101424690889606,,,,,,,,
7,0.3252440117929556,5.526375302743025,,,0.302731636787748,6.041691034364742,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/7/output_206/pdbs/300.pdb,11107.740658068918,0.2986136905290631,0.7013863094709368,,,0.4519567092797634,0.5480432907202366,,,,,,
8,0.3320560404794682,5.530698729280089,,,,,0.3202782811702067,5.5653057253826335,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/8/output_217/pdbs/210.pdb,10492.362964276144,0.3033603215984695,0.6966396784015305,,,,,0.4639363786050335,0.5360636213949664,,,,
9,0.3279822199767419,5.530437901525219,,,,,,,0.3166678226111794,5.669901835313764,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/9/output_293/pdbs/231.pdb,10750.289219759086,0.6975167121306637,0.3024832878693363,,,,,,,0.4996045125132866,0.5003954874867135,,
10,0.3287008367152996,5.520647223154019,,,,,,,,,0.3234630528448861,5.595509427399153,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/10/output_280/pdbs/245.pdb,11055.90668526765,0.3284324130212233,0.6715675869787767,,,,,,,,,0.4695750000454464,0.5304249999545536
11,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.3116277589455532,5.518877591847788,0.3069799865729294,5.404722828539338,0.3036544699073923,6.072019097058887,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/21/output_381/pdbs/230.pdb,19809.866486656385,0.622488314146335,0.3775116858536651,0.6299349520223279,0.3700650479776721,0.4432043319924977,0.5567956680075024,,,,,,
22,0.3128124403233679,5.520295664064348,0.3042545258892583,5.404159371057217,,,0.2960275982588253,5.5858073677349696,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/22/output_39/pdbs/261.pdb,19298.413125352177,0.3698321543978235,0.6301678456021764,0.404203190805972,0.595796809194028,,,0.580695170269619,0.419304829730381,,,,
23,0.3131272085290731,5.507823136894318,0.2940847990037096,5.382361625417544,,,,,0.3187793677044868,5.730081199981337,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/23/output_375/pdbs/242.pdb,13415.6901466909,0.6634493536796452,0.3365506463203549,0.6641832150874758,0.3358167849125241,,,,,0.5163709268634642,0.4836290731365357,,
24,0.3094420873007529,5.514274844856599,0.2893448607388882,5.372501489981996,,,,,,,0.2988757631119498,5.611915713300052,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/24/output_268/pdbs/192.pdb,18543.29792820499,0.6171764443481816,0.3828235556518183,0.6219683596557312,0.3780316403442689,,,,,,,0.5037042076087447,0.4962957923912554
25,0.3448187286878305,5.581467507494298,,,0.2800939349086053,6.005582228895367,0.2514552313199694,5.533017460315524,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/25/output_318/pdbs/20.pdb,26811.51211682837,0.5962458034846777,0.4037541965153224,,,0.1937912857628177,0.8062087142371823,0.2738092310844267,0.7261907689155733,,,,
26,0.3479802165157459,5.603116931503774,,,0.2713063364347866,5.98801264810925,,,0.2775750345732249,5.675970197935,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/26/output_142/pdbs/14.pdb,25687.03790066638,0.3518554224673495,0.6481445775326505,,,0.7252962381744973,0.2747037618255028,,,0.7892777072878386,0.2107222927121613,,
27,0.3423185798838847,5.57333246286775,,,0.2671905086241522,5.922116854094685,,,,,0.277532260505313,5.505927351598225,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/27/output_139/pdbs/255.pdb,17291.683398008474,0.3387328922529156,0.6612671077470844,,,0.48474854208349,0.5152514579165101,,,,,0.4754669546975114,0.5245330453024887
28,0.3478310407620744,5.611049865548683,,,,,0.3081018718626768,5.741197204659264,0.2770437424893351,5.688636855513032,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/28/output_223/pdbs/10.pdb,28654.201702177503,0.377072208181808,0.6229277918181919,,,,,0.7970892459478545,0.2029107540521456,0.8513411290786908,0.1486588709213092,,
29,0.341088808635576,5.592992637614794,,,,,0.2932871878975454,5.572981485395659,,,0.2644360526271572,5.561110301557822,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/29/output_96/pdbs/17.pdb,26750.20641432093,0.2509225301887037,0.7490774698112963,,,,,0.7796334771967682,0.2203665228032317,,,0.6250006434219809,0.3749993565780191
30,0.3419389944149779,5.56893845682582,,,,,,,0.2849919977620836,5.605185596746508,0.2694912994699569,5.498630001845789,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/30/output_414/pdbs/261.pdb,14632.313728073384,0.7001225838827799,0.29987741611722,,,,,,,0.5185235988013827,0.4814764011986173,0.5674293128809064,0.4325706871190937
31,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,
