,joint,r_free_7mhf,xray_7mhf,r_free_7mhg,xray_7mhg,r_free_7mhh,xray_7mhh,r_free_7mhi,xray_7mhi,r_free_7mhj,xray_7mhj,r_free_7mhk,xray_7mhk,pdb,ff,w_0_7mhf,w_1_7mhf,w_0_7mhg,w_1_7mhg,w_0_7mhh,w_1_7mhh,w_0_7mhi,w_1_7mhi,w_0_7mhj,w_1_7mhj,w_0_7mhk,w_1_7mhk
0,5.450443281572487,0.324382552713105,5.450443281572487,,,,,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/0/output_62/pdbs/298.pdb,8449.322626813373,0.619595954379494,0.380404045620506,,,,,,,,,,
1,5.360290527360535,,,0.3003667002596744,5.360290527360535,,,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/1/output_442/pdbs/281.pdb,8179.978437290225,,,0.6449451813733527,0.3550548186266473,,,,,,,,
2,5.902646415686069,,,,,0.3086863520935622,5.902646415686069,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/2/output_387/pdbs/263.pdb,10265.290120810325,,,,,0.4355426128957316,0.5644573871042683,,,,,,
3,5.43722410232032,,,,,,,0.2847255562994476,5.43722410232032,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/3/output_324/pdbs/126.pdb,9429.648521831235,,,,,,,0.4960597624775153,0.5039402375224847,,,,
4,5.551974677651517,,,,,,,,,0.3056562187906156,5.551974677651517,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/4/output_297/pdbs/273.pdb,9943.39832246154,,,,,,,,,0.4854364619376635,0.5145635380623365,,
5,5.47428953395954,,,,,,,,,,,0.3120347468544037,5.47428953395954,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/5/output_117/pdbs/261.pdb,9936.432421832998,,,,,,,,,,,0.4995475567128941,0.5004524432871058
6,10.808217388608426,0.3109133577083657,5.45741278704735,0.2956802449500623,5.350804601561076,,,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/6/output_207/pdbs/249.pdb,10119.834537235663,0.6239904689230706,0.3760095310769293,0.6357181596345816,0.3642818403654185,,,,,,,,
7,11.500511112870829,0.333045287622958,5.5098531353917295,,,0.3016691055775789,5.990657977479098,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/7/output_468/pdbs/293.pdb,11189.941002546151,0.6927208547242834,0.3072791452757167,,,0.5315259411835611,0.4684740588164388,,,,,,
8,11.063352144741248,0.3459404466109324,5.530258834595059,,,,,0.2952830247242494,5.533093310146189,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/8/output_67/pdbs/279.pdb,10697.56285335998,0.3091456543165248,0.6908543456834753,,,,,0.4774608899649502,0.5225391100350499,,,,
9,11.175313523830567,0.3378146572728777,5.525018333735793,,,,,,,0.2953490612589419,5.650295190094775,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/9/output_442/pdbs/234.pdb,11169.731193179488,0.2919071521201085,0.7080928478798915,,,,,,,0.5277306670363563,0.4722693329636437,,
10,11.05968572726179,0.3336863351851891,5.51107791780408,,,,,,,,,0.2970354995358555,5.54860780945771,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/10/output_105/pdbs/296.pdb,11168.56835313382,0.6707288390303371,0.3292711609696628,,,,,,,,,0.5327397679810482,0.4672602320189518
11,11.371739460680734,,,0.3154925085148764,5.41677776286341,0.2867023153132434,5.954961697817324,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/11/output_122/pdbs/274.pdb,10970.241768060689,,,0.2738014029855058,0.7261985970144942,0.4475031225349669,0.5524968774650332,,,,,,
12,10.920659762253107,,,0.3050905713247647,5.411636081576757,,,0.2825034033248081,5.509023680676351,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/12/output_63/pdbs/262.pdb,10829.155757483157,,,0.2929995430105039,0.7070004569894961,,,0.4609639587662154,0.5390360412337846,,,,
13,11.045857323733408,,,0.3192512318127563,5.422227916887716,,,,,0.295833629583062,5.6236294068456925,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/13/output_361/pdbs/265.pdb,10458.467083128016,,,0.2824749755991529,0.7175250244008471,,,,,0.5110732372155323,0.4889267627844677,,
14,10.920128288056254,,,0.3084369675989419,5.394158612251715,,,,,,,0.291987293908802,5.52596967580454,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/14/output_387/pdbs/284.pdb,11127.68284505062,,,0.3121384363543358,0.6878615636456642,,,,,,,0.4334179892044444,0.5665820107955556
15,11.094123475799957,,,,,0.2320291017895326,5.754162813730119,0.226074033438857,5.339960662069838,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/15/output_477/pdbs/293.pdb,15025.97756935699,,,,,0.5127321567261871,0.4872678432738128,0.5215174323772043,0.4784825676227957,,,,
16,11.228175943882732,,,,,0.2369766460617091,5.776237058853392,,,0.2376361290430353,5.451938885029341,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2/16/output_149/pdbs/261.pdb,13353.988230291754,,,,,0.4732446565864336,0.5267553434135663,,,0.4857178800028838,0.5142821199971161,,
