,r_free_7mhf,xray_7mhf,r_free_7mhg,xray_7mhg,r_free_7mhh,xray_7mhh,r_free_7mhi,xray_7mhi,r_free_7mhj,xray_7mhj,r_free_7mhk,xray_7mhk,pdb,ff,w_0_7mhf,w_1_7mhf,w_2_7mhf,w_3_7mhf,w_0_7mhg,w_1_7mhg,w_2_7mhg,w_3_7mhg,w_0_7mhh,w_1_7mhh,w_2_7mhh,w_3_7mhh,w_0_7mhi,w_1_7mhi,w_2_7mhi,w_3_7mhi,w_0_7mhj,w_1_7mhj,w_2_7mhj,w_3_7mhj,w_0_7mhk,w_1_7mhk,w_2_7mhk,w_3_7mhk
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,0.3017879319772582,5.84477736515627,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4/4/output_485/pdbs/2.pdb,29689.059100117163,,,,,,,,,,,,,,,,,0.595537267065778,0.2517292438456465,0.0377878815899767,0.1149456074985987,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.3572334128032361,5.34985602244039,,,,,,,0.2944314743637268,5.523911353945194,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4/9/output_265/pdbs/56.pdb,48391.18131910505,0.2117552950466313,0.25201458649539,0.425867003733078,0.1103631147249005,,,,,,,,,,,,,0.4399375457458916,0.2422960915318163,0.2060539216356534,0.1117124410866384,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,0.3186245100611092,5.293936185821063,,,,,0.2885847804135606,5.498047981243492,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/168_N4/13/output_312/pdbs/149.pdb,48862.37770615151,,,,,0.2816829090233097,0.1359135445220069,0.4544155417879004,0.127988004666783,,,,,,,,,0.3222000178299,0.3406560645221136,0.2106049421218344,0.1265389755261519,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
