,index,N,J,job,xray_0,xray_1,xray_0+xray_1,r_free_0,r_free_1,rmsd_0,rmsd_1,rmsd_0+rmsd_1,w_0_0,w_0_1,w_1_0,w_1_1,w_2_0,w_2_1,w_3_0,w_3_1,pdb,ff
0,0,1,1,0,6.032463557010499,,,0.3355405505727091,,0.3653147948668531,,,1.0,,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/125_natives_1_state/0/output_38/pdbs/1169.pdb,3243.2696424590345
1,0,1,1,1,5.536206688482957,,,0.1855983319888132,,0.2290012191621677,,,1.0,,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/125_natives_1_state/1/output_616/pdbs/939.pdb,4131.423452270498
4,0,1,1,2,5.970447126318978,,,0.3094770372238944,,0.3378334416438904,,,1.0,,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/125_natives_1_state/2/output_575/pdbs/1052.pdb,3291.151413909567
2,0,1,1,3,5.93978333400184,,,0.2901957062121902,,0.3716152255655056,,,1.0,,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/125_natives_1_state/3/output_924/pdbs/713.pdb,3473.5005237056894
3,0,1,1,4,5.839508271484001,,,0.2562713419756028,,0.3045471541919275,,,1.0,,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/125_natives_1_state/4/output_196/pdbs/906.pdb,3500.707815935886
5,0,1,1,5,5.504429176497168,,,0.18319894333863,,0.2432399512102084,,,1.0,,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/125_natives_1_state/5/output_846/pdbs/984.pdb,4075.337816510456
6,0,1,1,6,6.010464151361226,,,0.3234923797910737,,0.3640408784567606,,,1.0,,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/125_natives_1_state/6/output_64/pdbs/1126.pdb,3143.62247503907
7,0,1,1,7,5.8425000854380285,,,0.2663277210183913,,0.3177730617063461,,,1.0,,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/125_natives_1_state/7/output_293/pdbs/661.pdb,3524.540018287425
8,0,1,1,8,5.912833798110844,,,0.2770223276147941,,0.3254360720406259,,,1.0,,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/125_natives_1_state/8/output_122/pdbs/873.pdb,3267.6844829444653
9,0,1,1,9,5.535418739945512,,,0.1989428695193713,,0.2483273683574751,,,1.0,,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/125_natives_1_state/9/output_352/pdbs/1173.pdb,3927.634399984943
10,0,1,2,0,5.912488218431483,5.8982611410713615,11.810749359502845,0.2751633514189998,0.2672787354273989,0.3853643008970372,0.3712596993998862,0.37831200014846167,1.0,1.0,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/145_native_1_state_2_cond/0/output_191/pdbs/543.pdb,6993.501496965849
11,0,1,2,1,5.333487835139964,5.616870682155967,10.950358517295932,0.1464706927200841,0.1911121815164549,0.1908264331462053,0.2760917397392498,0.23345908644272753,1.0,1.0,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/145_native_1_state_2_cond/1/output_787/pdbs/690.pdb,7860.771840506708
12,0,1,2,2,5.860387097279942,5.865827921565602,11.726215018845544,0.2601193654504392,0.2613661457614057,0.3402031881700259,0.3417917946735348,0.3409974914217804,1.0,1.0,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/145_native_1_state_2_cond/2/output_645/pdbs/400.pdb,7202.531063334671
13,0,1,2,3,5.807599548419957,5.703099296715834,11.510698845135792,0.2406890624465289,0.2161914197513498,0.3513117029070776,0.2923545501932049,0.32183312655014124,1.0,1.0,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/145_native_1_state_2_cond/3/output_202/pdbs/497.pdb,7002.559663624649
14,0,1,2,4,5.734363152992206,5.792457071466937,11.526820224459144,0.2194249710797045,0.2335677191607534,0.2911391513773461,0.3204426265157525,0.30579088894654927,1.0,1.0,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/145_native_1_state_2_cond/4/output_549/pdbs/494.pdb,7259.030927276475
15,0,1,2,5,5.223823436595528,5.281707768589742,10.505531205185271,0.1371074443623076,0.1445690794197615,0.2088465682909714,0.2348085490602646,0.221827558675618,1.0,1.0,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/145_native_1_state_2_cond/5/output_586/pdbs/172.pdb,8710.394237992436
16,0,1,2,6,5.886876771426275,5.881650114038742,11.768526885465016,0.273061676068116,0.2782075687585052,0.3540032235386281,0.3538751422852271,0.3539391829119276,1.0,1.0,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/145_native_1_state_2_cond/6/output_555/pdbs/593.pdb,6980.878066623882
17,0,1,2,7,5.729728852544163,5.824486634746364,11.554215487290527,0.2300946592248024,0.241694226199656,0.3004367389067981,0.356151879290645,0.3282943090987216,1.0,1.0,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/145_native_1_state_2_cond/7/output_197/pdbs/641.pdb,7263.085294316682
18,0,1,2,8,5.771502808847741,5.748831250711453,11.520334059559193,0.2331198577735269,0.2228561385306751,0.3218719656179264,0.3109785867391403,0.31642527617853333,1.0,1.0,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/145_native_1_state_2_cond/8/output_252/pdbs/177.pdb,7274.03890756444
