,index,N,J,job,xray_0,xray_1,xray_0+xray_1,r_free_0,r_free_1,rmsd_0,rmsd_1,rmsd_0+rmsd_1,w_0_0,w_0_1,w_1_0,w_1_1,w_2_0,w_2_1,w_3_0,w_3_1,pdb,ff
16,0,1,2,6,5.977918222653689,5.970696732381814,11.948614955035502,0.3020606624694533,0.3037064060344925,0.3264557755307356,0.3263851618088205,0.32642046866977803,1.0,1.0,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/145_native_1_state_2_cond/6/output_79/pdbs/21.pdb,6135.107499239781
17,0,1,2,7,5.863291941945789,5.904827775856033,11.768119717801822,0.2647384545430423,0.2666390440017799,0.2827751068668492,0.3171135720326326,0.29994433944974086,1.0,1.0,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/145_native_1_state_2_cond/7/output_708/pdbs/24.pdb,6428.497541115528
18,0,1,2,8,5.923419857693472,5.917802884584953,11.841222742278426,0.2665510203605602,0.2639617353923922,0.2850490339317233,0.2794388250536922,0.28224392949270777,1.0,1.0,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/145_native_1_state_2_cond/8/output_981/pdbs/19.pdb,6100.0635202301855
19,0,1,2,9,5.291958649380165,5.315650365078289,10.607609014458454,0.1555451205941436,0.1558354691283388,0.1954963754743018,0.205865932506346,0.20068115399032388,1.0,1.0,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/145_native_1_state_2_cond/9/output_851/pdbs/405.pdb,7948.487395293312
20,0,2,1,0,5.460765824800234,,,0.2347141564838762,,0.2002865144928311,,,0.5050817292381031,,0.4949182707618968,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/123_natives_2_state/0/output_39/pdbs/639.pdb,12319.051992004135
23,0,2,1,1,6.05243663312476,,,0.3226325860130452,,0.1730805740854794,,,0.944920533291409,,0.0550794667085909,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/123_natives_2_state/1/output_757/pdbs/220.pdb,15011.932946889076
22,0,2,1,2,5.449672574878568,,,0.2278423972147871,,0.2055645005026918,,,0.4883663664146916,,0.5116336335853083,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/123_natives_2_state/2/output_644/pdbs/604.pdb,12268.94182311144
21,0,2,1,3,5.470788725055871,,,0.2319603494083557,,0.2058741241589406,,,0.3657831729102889,,0.6342168270897109,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/123_natives_2_state/3/output_652/pdbs/664.pdb,12116.379931718498
24,0,2,1,4,5.359866221862674,,,0.1903195048812984,,0.1895087641856467,,,0.2663882265918493,,0.7336117734081506,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/123_natives_2_state/4/output_695/pdbs/629.pdb,12690.533960751623
25,0,2,1,5,5.177507660505624,,,0.1403682607764886,,0.1767409478836142,,,0.0598168391670621,,0.940183160832938,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/123_natives_2_state/5/output_70/pdbs/252.pdb,15045.888006460247
26,0,2,1,6,5.534613473291648,,,0.2500536045968097,,0.216705975624964,,,0.4928081305665704,,0.5071918694334296,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/123_natives_2_state/6/output_102/pdbs/750.pdb,12227.758045870589
