,pdb_file,native,total,rmsd,ml,ff
634,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/601.pdb,0,179732.9518393417,0.44400341697324763,5.954947016105304,1084.5413561825726
635,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/591.pdb,0,181248.7351513584,0.2765083642107693,6.006008553980921,1068.4785319307764
636,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/641.pdb,0,180943.52916982936,0.4073299412196774,5.992148915959805,1179.0616910352012
637,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/621.pdb,0,181186.05367890134,0.37688694338251694,5.998193935474042,1240.2356146800614
638,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/589.pdb,0,180657.4673454821,0.39061759061272056,5.984454908078086,1123.8201031394924
639,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/615.pdb,0,180901.33114025998,0.27475867931668846,5.994801538489895,1057.2849855631334
640,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/667.pdb,0,181026.45678943978,0.7283872752857076,5.99661248903445,1128.0821184062875
641,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/686.pdb,0,180983.72052051147,0.7513241258798902,5.996964435540087,1074.7874543088433
642,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/647.pdb,0,181187.8705848243,0.36872392791952047,6.0026740216708045,1107.6499347001711
643,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/664.pdb,0,180213.21257332445,0.3406645415979686,5.969779672888392,1119.822386672695
644,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/660.pdb,0,180716.38474080813,2.473719307663048,5.988429739860962,1063.4925449793013
645,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/670.pdb,0,181181.45989986885,0.37942618253672666,6.00228738060641,1112.8384816765229
646,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/642.pdb,0,179949.6105623819,0.36993084760508166,5.960164082251538,1144.6880948357652
647,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/688.pdb,0,181332.2115419681,0.27783034897315134,6.008639771920622,1073.0183843494397
648,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/680.pdb,0,180211.08304365052,0.38783644094955305,5.971473926283936,1066.8652551324215
649,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/668.pdb,0,180334.75908033896,0.3356308094322272,5.973449210697995,1131.2827593991128
650,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/685.pdb,0,180584.53912617115,0.27667370304967404,5.982812547330418,1100.1627062585937
651,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/644.pdb,0,180972.36931408112,0.3176860569308953,5.992786682818299,1188.7688295321323
652,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/675.pdb,0,180958.10260436524,0.33235457901752125,5.996787483013023,1054.4781139745492
653,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/659.pdb,0,181317.39989981637,0.2882216812585669,6.007557631580511,1090.6709524010282
654,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/650.pdb,0,181141.93757929382,0.35147348598471984,6.001960973849116,1083.108363820331
655,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/671.pdb,0,181132.20977142142,0.27670242577664844,6.000217717667133,1125.6782414074419
656,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/661.pdb,0,181955.36903561332,0.2723646011162998,6.029336559400008,1075.2722536130777
657,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/691.pdb,0,180584.61696643336,0.3905833700972238,5.976125897445575,1300.8400430661045
658,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/690.pdb,0,181485.4958869937,0.3835632613670387,6.009666389637208,1195.504197877488
659,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/694.pdb,0,181143.38611793358,0.33639787177493613,6.001292523992388,1104.6103981619258
660,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/684.pdb,0,181541.93380546756,0.2802720546088866,6.0158029112238145,1067.846468753125
661,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/673.pdb,0,180580.87628231558,0.3619574428430411,5.9817881510602415,1127.2317505083395
662,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/657.pdb,0,181502.78158416454,0.36669945079899735,6.008679845106731,1242.3862309626122
663,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/693.pdb,0,179969.86787187788,0.42727350321112356,5.9618766327698705,1113.5688887817678
664,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/697.pdb,0,181352.43656132408,0.25867966500230555,6.00957867930097,1065.076182294974
665,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/689.pdb,0,182032.33180742434,0.3657474220368202,6.024989610170349,1282.6435023138743
666,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/669.pdb,0,181050.1429682945,0.2804362568510407,5.9996917599822455,1059.390168827129
667,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/682.pdb,0,180581.41882360537,0.40728213380893846,5.982068277416154,1119.370501120737
668,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/674.pdb,0,180056.09057744758,0.27908508601944226,5.964491738112662,1121.3384340677067
669,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/683.pdb,0,181569.89126936946,0.3770624344084959,6.009906709867119,1272.6899733558957
670,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/696.pdb,0,180913.8518100446,0.3798983430531958,5.994089037023322,1091.180699344965
671,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/692.pdb,0,181709.6023591059,0.5809135333470904,6.018938088347429,1141.459708683029
672,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/681.pdb,0,180836.06173325985,0.37649112130471024,5.991822150601332,1081.3972152198921
673,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/648.pdb,0,180545.2208649424,0.3109414287483543,5.980847459586887,1119.7970773358306
674,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/643.pdb,0,180771.55502981576,0.3786777810982268,5.989098885424664,1098.5884670758287
675,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/676.pdb,0,180581.75837724927,0.2764774323448734,5.9834146981644265,1079.3174323164649
676,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/645.pdb,0,179872.7866166835,0.42553928911753336,5.958692984564195,1111.9970797576507
677,/wynton/home/sali/mhancock/xray/sample_bench/data/analysis/22_300_exp_equil/best_score/pdbs/658.pdb,0,181434.44371117753,0.3767006426805209,6.009362865672599,1153.5577409995628
