,N,J,w_xray,xray_native_2_0+xray_native_2_1,rmsd,r_free_native_2_0,r_work_native_2_0,xray_native_2_0,r_free_native_2_1,r_work_native_2_1,xray_native_2_1,ff,pdb,w_0_native_2_0,w_0_native_2_1,w_1_native_2_0,w_1_native_2_1,cif_0,cif_1
0,2.0,2.0,1.0,8.336480765936326,0.1381842909394816,0.2135613862487278,0.164972472763255,4.170301511276694,0.1888978558379293,0.1666091987344041,4.166179254659633,56405.186975099525,/wynton/group/sali/mhancock/xray/sample_bench/out/272_correct_w_wxray/0/output_69/pdbs/422.pdb,0.75,0.25,0.25,0.75,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_1.cif
1,2.0,2.0,0.5,8.327978714945257,0.1064334505583461,0.201838055228513,0.1637559967043077,4.16996934755445,0.1728252378890507,0.1638397661401562,4.158009367390806,55927.76738379255,/wynton/group/sali/mhancock/xray/sample_bench/out/272_correct_w_wxray/1/output_22/pdbs/263.pdb,0.75,0.25,0.25,0.75,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_1.cif
2,2.0,2.0,0.25,8.364199097799936,0.1229525404751084,0.1956637829836475,0.1647969475082955,4.178892469460832,0.1817807416994309,0.1661709198892701,4.185306628339104,50543.69898828231,/wynton/group/sali/mhancock/xray/sample_bench/out/272_correct_w_wxray/2/output_91/pdbs/245.pdb,0.75,0.25,0.25,0.75,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_1.cif
3,2.0,2.0,0.125,8.315338880810334,0.1232854054100633,0.2091248453806788,0.1651582644030126,4.171358690736244,0.18460811496984,0.1613709569026754,4.143980190074091,51891.84421333195,/wynton/group/sali/mhancock/xray/sample_bench/out/272_correct_w_wxray/3/output_15/pdbs/410.pdb,0.75,0.25,0.25,0.75,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_1.cif
4,2.0,2.0,0.0625,8.358077451731019,0.092325009735583,0.2135156592998844,0.1678827556634464,4.2023100078771405,0.1786768024763694,0.1630527313877557,4.155767443853878,51630.89331354614,/wynton/group/sali/mhancock/xray/sample_bench/out/272_correct_w_wxray/4/output_59/pdbs/289.pdb,0.75,0.25,0.25,0.75,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_1.cif
5,2.0,2.0,0.03125,8.354371052288167,0.1006340828875847,0.1975137505022676,0.1647998350448027,4.178176665636955,0.1864459232578098,0.1671133710928114,4.176194386651212,52310.87608343176,/wynton/group/sali/mhancock/xray/sample_bench/out/272_correct_w_wxray/5/output_35/pdbs/241.pdb,0.75,0.25,0.25,0.75,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_1.cif
6,2.0,1.0,1.0,,0.087786630875156,0.2162782277736243,0.1599517631453638,4.117121473180682,,,,58448.92060966123,/wynton/group/sali/mhancock/xray/sample_bench/out/272_correct_w_wxray/6/output_97/pdbs/155.pdb,0.75,,0.25,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_0.cif,
7,2.0,1.0,0.5,,0.143643942396653,0.2270576696274336,0.1565806239774556,4.1218788986824455,,,,54460.82162091325,/wynton/group/sali/mhancock/xray/sample_bench/out/272_correct_w_wxray/7/output_56/pdbs/399.pdb,0.75,,0.25,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_0.cif,
8,2.0,1.0,0.25,,0.116494853196567,0.2034658769905335,0.1617707594671637,4.152412156046095,,,,55464.76799939727,/wynton/group/sali/mhancock/xray/sample_bench/out/272_correct_w_wxray/8/output_12/pdbs/418.pdb,0.75,,0.25,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_0.cif,
9,2.0,1.0,0.125,,0.1246605206665845,0.2006580467733578,0.1561518885268075,4.140392380410431,,,,55092.43154886812,/wynton/group/sali/mhancock/xray/sample_bench/out/272_correct_w_wxray/9/output_73/pdbs/483.pdb,0.75,,0.25,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_2_0.cif,
