,N,J,w_xray,r_free_native_4_0+r_free_native_4_1,rmsd,r_free_native_4_0,r_work_native_4_0,xray_native_4_0,r_free_native_4_1,r_work_native_4_1,xray_native_4_1,ff,pdb,w_0_native_4_0,w_0_native_4_1,w_1_native_4_0,w_1_native_4_1,cif_0,cif_1
0,2.0,2.0,1.0,0.2957933948460095,,0.1423797902451557,0.1280114231133633,3.861502908063535,0.1534136046008538,0.1380404404881239,3.948090620069266,9814.10846239018,/wynton/group/sali/mhancock/xray/sample_bench/out/276_native_4_ref/0/output_733/pdbs/234.pdb,0.4019073037631159,0.7035597970784881,0.5980926962368841,0.2964402029215119,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_4_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_4_1.cif
1,2.0,2.0,0.5,0.2693106267736135,,0.1324134220141232,0.121792846434884,3.812697665435079,0.1368972047594903,0.1216828946791123,3.8299092812191033,10115.98416564848,/wynton/group/sali/mhancock/xray/sample_bench/out/276_native_4_ref/1/output_492/pdbs/447.pdb,0.3551476505788805,0.5538117537073057,0.6448523494211195,0.4461882462926942,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_4_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_4_1.cif
2,2.0,2.0,0.25,0.2697549104966882,,0.1412512268974014,0.1310201379270069,3.900797833310103,0.1285036835992868,0.1211133489162664,3.810666570985814,17168.79627324303,/wynton/group/sali/mhancock/xray/sample_bench/out/276_native_4_ref/2/output_73/pdbs/460.pdb,0.2804044577726425,0.6354807967943549,0.7195955422273574,0.3645192032056451,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_4_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_4_1.cif
3,2.0,1.0,1.0,,,0.1396623411672775,0.1195926311174831,3.7955690266373874,,,,12101.566636339365,/wynton/group/sali/mhancock/xray/sample_bench/out/276_native_4_ref/3/output_564/pdbs/214.pdb,0.4710716516644332,,0.5289283483355669,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_4_0.cif,
4,2.0,1.0,0.5,,,0.122824682449585,0.1093369322789268,3.717855910242248,,,,11654.93710649892,/wynton/group/sali/mhancock/xray/sample_bench/out/276_native_4_ref/4/output_518/pdbs/369.pdb,0.4907433802710091,,0.509256619728991,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_4_0.cif,
5,2.0,1.0,0.25,,,0.1228144856588872,0.1087521052164109,3.7057509473650168,,,,18550.1976641533,/wynton/group/sali/mhancock/xray/sample_bench/out/276_native_4_ref/5/output_370/pdbs/465.pdb,0.4860334602140289,,0.5139665397859712,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_4_0.cif,
6,2.0,1.0,1.0,,,,,,0.1406182349784026,0.1220181211051092,3.8081274599606543,13149.069749148292,/wynton/group/sali/mhancock/xray/sample_bench/out/276_native_4_ref/6/output_497/pdbs/371.pdb,,0.481690404206557,,0.518309595793443,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_4_1.cif,
7,2.0,1.0,0.5,,,,,,0.1326308155913467,0.1160256663792303,3.788453391565196,16676.28727952388,/wynton/group/sali/mhancock/xray/sample_bench/out/276_native_4_ref/7/output_53/pdbs/495.pdb,,0.6052305973558174,,0.3947694026441826,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_4_1.cif,
8,2.0,1.0,0.25,,,,,,0.1326332044667778,0.111816151466584,3.746848485769528,16295.636615663016,/wynton/group/sali/mhancock/xray/sample_bench/out/276_native_4_ref/8/output_79/pdbs/370.pdb,,0.5043560894489757,,0.4956439105510243,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_4_1.cif,
