,N,J,w_xray,r_free,w_0_3k0m,w_1_3k0m,r_work_3k0m,ff,pdb,cif_0,w_2_3k0m,w_3_3k0m,w_4_3k0m,w_5_3k0m,w_6_3k0m,w_7_3k0m,w_8_3k0m,w_9_3k0m,w_10_3k0m,w_11_3k0m,w_12_3k0m,w_13_3k0m,w_14_3k0m,w_15_3k0m
1,2.0,1.0,1000.0,0.2419919077909966,0.5,0.5,0.2389006145680434,1804.7933398572573,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/1/output_9/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,,,,,,,,,,,,,,
2,2.0,1.0,10000.0,0.2093633390592265,0.5,0.5,0.1981686751498488,2502.720766719264,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/2/output_4/pdbs/2.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,,,,,,,,,,,,,,
3,2.0,1.0,20000.0,0.1716882416301864,0.5,0.5,0.1598245271782664,3456.102923550501,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/3/output_4/pdbs/473.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,,,,,,,,,,,,,,
4,2.0,1.0,30000.0,0.164906047727788,0.5,0.5,0.1524287125347212,3811.0451852026176,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/4/output_7/pdbs/480.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,,,,,,,,,,,,,,
5,2.0,1.0,40000.0,0.1602676363040398,0.5,0.5,0.1457695698611082,3749.985822973524,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/5/output_2/pdbs/142.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,,,,,,,,,,,,,,
6,2.0,1.0,50000.0,0.1596246557326246,0.5,0.5,0.1448367191825013,4089.562691809913,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/6/output_9/pdbs/318.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,,,,,,,,,,,,,,
7,2.0,1.0,60000.0,0.1576298774473527,0.5,0.5,0.1402149327847803,4060.4959438123487,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/7/output_3/pdbs/200.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,,,,,,,,,,,,,,
8,2.0,1.0,70000.0,0.1577372751745149,0.5,0.5,0.1390968183287814,4226.327221042704,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/8/output_0/pdbs/461.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,,,,,,,,,,,,,,
9,2.0,1.0,80000.0,0.1566793168552122,0.5,0.5,0.1373848034472048,4410.089487090425,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/9/output_5/pdbs/419.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,,,,,,,,,,,,,,
10,2.0,1.0,90000.0,0.1577315045307762,0.5,0.5,0.1376316549740518,4412.332352192548,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/10/output_1/pdbs/458.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,,,,,,,,,,,,,,
11,2.0,1.0,100000.0,0.1562235947362892,0.5,0.5,0.1361305331767878,4722.613402950258,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/11/output_1/pdbs/408.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,,,,,,,,,,,,,,
13,4.0,1.0,1000.0,0.2356219281401405,0.25,0.25,0.2314100732932044,3576.646124218953,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/13/output_1/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,0.25,0.25,,,,,,,,,,,,
14,4.0,1.0,10000.0,0.2019183519173334,0.25,0.25,0.1952783270506938,4781.557047124953,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/14/output_5/pdbs/2.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,0.25,0.25,,,,,,,,,,,,
15,4.0,1.0,20000.0,0.1931777301475917,0.25,0.25,0.1838976032224651,6403.098457270536,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/15/output_0/pdbs/142.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,0.25,0.25,,,,,,,,,,,,
