,N,J,w_xray,r_free,w_0_3k0m,w_1_3k0m,r_work_3k0m,ff,pdb,cif_0,w_2_3k0m,w_3_3k0m,w_4_3k0m,w_5_3k0m,w_6_3k0m,w_7_3k0m,w_8_3k0m,w_9_3k0m,w_10_3k0m,w_11_3k0m,w_12_3k0m,w_13_3k0m,w_14_3k0m,w_15_3k0m
16,4.0,1.0,30000.0,0.1793881121459836,0.25,0.25,0.1641593035602328,7214.000344131692,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/16/output_8/pdbs/454.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,0.25,0.25,,,,,,,,,,,,
17,4.0,1.0,40000.0,0.166703029006476,0.25,0.25,0.1497315803736858,7405.313282886229,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/17/output_8/pdbs/222.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,0.25,0.25,,,,,,,,,,,,
18,4.0,1.0,50000.0,0.1661450013078542,0.25,0.25,0.1491934684167434,6534.894694898769,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/18/output_6/pdbs/18.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,0.25,0.25,,,,,,,,,,,,
19,4.0,1.0,60000.0,0.1634393599277989,0.25,0.25,0.1466571507044328,7193.128523291167,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/19/output_6/pdbs/35.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,0.25,0.25,,,,,,,,,,,,
20,4.0,1.0,70000.0,0.1724479603364271,0.25,0.25,0.1516750359204036,6509.863291549576,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/20/output_2/pdbs/8.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,0.25,0.25,,,,,,,,,,,,
21,4.0,1.0,80000.0,0.1687339383286688,0.25,0.25,0.1462612541977989,6752.117245130357,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/21/output_8/pdbs/9.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,0.25,0.25,,,,,,,,,,,,
22,4.0,1.0,90000.0,0.1606443108260511,0.25,0.25,0.1355231536979244,8487.185710207608,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/22/output_7/pdbs/338.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,0.25,0.25,,,,,,,,,,,,
23,4.0,1.0,100000.0,0.1587785856126518,0.25,0.25,0.134469674907977,8884.837856079736,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/23/output_5/pdbs/468.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,0.25,0.25,,,,,,,,,,,,
25,8.0,1.0,1000.0,0.237497180469505,0.125,0.125,0.2318071787191201,7168.638532285047,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/25/output_2/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,0.125,0.125,0.125,0.125,0.125,0.125,,,,,,,,
26,8.0,1.0,10000.0,0.2118172054750596,0.125,0.125,0.2036676642750129,9240.632185529008,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/26/output_2/pdbs/2.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,0.125,0.125,0.125,0.125,0.125,0.125,,,,,,,,
27,8.0,1.0,20000.0,0.1971272356673897,0.125,0.125,0.1857498711514496,9945.535425996746,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/27/output_2/pdbs/2.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,0.125,0.125,0.125,0.125,0.125,0.125,,,,,,,,
28,8.0,1.0,30000.0,0.1955438639730727,0.125,0.125,0.1791364643680045,10569.550680774406,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/28/output_6/pdbs/2.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,0.125,0.125,0.125,0.125,0.125,0.125,,,,,,,,
29,8.0,1.0,40000.0,0.1860970578389036,0.125,0.125,0.1705139495988779,12744.537715653629,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/29/output_0/pdbs/95.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,0.125,0.125,0.125,0.125,0.125,0.125,,,,,,,,
30,8.0,1.0,50000.0,0.1766590952407325,0.125,0.125,0.1591758849127015,13058.746214394712,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/30/output_1/pdbs/82.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,0.125,0.125,0.125,0.125,0.125,0.125,,,,,,,,
31,8.0,1.0,60000.0,0.1701900213890467,0.125,0.125,0.1480722851745442,15343.508283485962,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/31/output_6/pdbs/400.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,0.125,0.125,0.125,0.125,0.125,0.125,,,,,,,,
32,8.0,1.0,70000.0,0.1697686788099744,0.125,0.125,0.1474299530260661,14222.345690256316,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/32/output_2/pdbs/89.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,0.125,0.125,0.125,0.125,0.125,0.125,,,,,,,,
33,8.0,1.0,80000.0,0.1648317328440453,0.125,0.125,0.1396625394055083,15980.823383512305,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/33/output_7/pdbs/348.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,0.125,0.125,0.125,0.125,0.125,0.125,,,,,,,,
34,8.0,1.0,90000.0,0.1706796399258949,0.125,0.125,0.1462288763961658,13721.494711155798,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/34/output_9/pdbs/17.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,0.125,0.125,0.125,0.125,0.125,0.125,,,,,,,,
35,8.0,1.0,100000.0,0.1722225362415561,0.125,0.125,0.1559252834059408,11944.097597014092,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/35/output_6/pdbs/6.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,0.125,0.125,0.125,0.125,0.125,0.125,,,,,,,,
37,16.0,1.0,1000.0,0.2343423755620215,0.0625,0.0625,0.2287809727808523,14462.914444060145,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/37/output_3/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
38,16.0,1.0,10000.0,0.2223263252150643,0.0625,0.0625,0.215859580741097,18200.871625353564,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/38/output_7/pdbs/2.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
39,16.0,1.0,20000.0,0.2043581187492895,0.0625,0.0625,0.1956969305362129,18715.15844509542,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/39/output_1/pdbs/2.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
40,16.0,1.0,30000.0,0.197995482362761,0.0625,0.0625,0.1862157924205303,19428.885160766356,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/40/output_9/pdbs/2.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
41,16.0,1.0,40000.0,0.1938551523874473,0.0625,0.0625,0.1794973172853731,20121.53577829323,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/41/output_4/pdbs/2.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
42,16.0,1.0,50000.0,0.1933342109668991,0.0625,0.0625,0.1780198248377317,20565.92914353739,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/42/output_7/pdbs/2.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
43,16.0,1.0,60000.0,0.1935594347362759,0.0625,0.0625,0.1741103380201048,22407.546107940576,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/43/output_0/pdbs/20.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
44,16.0,1.0,70000.0,0.1878356679681697,0.0625,0.0625,0.1686366254511488,22381.03006397556,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/44/output_2/pdbs/15.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
45,16.0,1.0,80000.0,0.1842092563165706,0.0625,0.0625,0.1585447735612952,24862.161932070383,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/45/output_8/pdbs/29.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
46,16.0,1.0,90000.0,0.1775788719680868,0.0625,0.0625,0.1535612324966797,25947.350661894656,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/46/output_3/pdbs/28.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
47,16.0,1.0,100000.0,0.1727466087947013,0.0625,0.0625,0.147066633917941,27776.24172482562,/wynton/group/sali/mhancock/xray/sample_bench/out/242_multi_wxray/47/output_2/pdbs/105.pdb,/wynton/home/sali/mhancock/xray/data/cifs/3k0m/3k0m.cif,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
