,r_free_0,pdb,ff,w_0_0,w_0_1,w_0_2
0,0.2422961027583615,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/162_J3_ijk/0/output_235/pdbs/191.pdb,5711.7773067072185,1.0,1.0,1.0
1,0.2423092559801807,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/162_J3_ijk/0/output_1702/pdbs/24.pdb,5319.46343703454,1.0,1.0,1.0
2,0.2423672182150549,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/162_J3_ijk/0/output_235/pdbs/66.pdb,5738.7878854424525,1.0,1.0,1.0
3,0.2425389885488706,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/162_J3_ijk/0/output_1549/pdbs/22.pdb,5713.925448497179,1.0,1.0,1.0
4,0.2432173507017206,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/162_J3_ijk/0/output_830/pdbs/43.pdb,5704.236254132447,1.0,1.0,1.0
5,0.2432449318457455,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/162_J3_ijk/0/output_1111/pdbs/322.pdb,5431.236208554023,1.0,1.0,1.0
6,0.2433000604097323,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/162_J3_ijk/0/output_235/pdbs/17.pdb,5551.743421042755,1.0,1.0,1.0
7,0.2434010690702212,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/162_J3_ijk/0/output_482/pdbs/28.pdb,5737.560507950786,1.0,1.0,1.0
8,0.2434569441756977,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/162_J3_ijk/0/output_482/pdbs/34.pdb,5529.5600707264975,1.0,1.0,1.0
9,0.2435120795898409,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/162_J3_ijk/0/output_482/pdbs/67.pdb,5595.66759200198,1.0,1.0,1.0
10,0.2435463512235751,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/162_J3_ijk/0/output_235/pdbs/71.pdb,5787.290112667086,1.0,1.0,1.0
11,0.2438313498243034,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/162_J3_ijk/0/output_830/pdbs/40.pdb,5657.403960104409,1.0,1.0,1.0
12,0.2438508364437162,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/162_J3_ijk/0/output_830/pdbs/10.pdb,4963.878031853675,1.0,1.0,1.0
13,0.2438510993075671,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/162_J3_ijk/0/output_332/pdbs/9.pdb,4974.2183713621735,1.0,1.0,1.0
14,0.2438864815305416,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/162_J3_ijk/0/output_482/pdbs/55.pdb,5757.132391364866,1.0,1.0,1.0
15,0.243915061718787,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/162_J3_ijk/0/output_482/pdbs/62.pdb,5736.11087016528,1.0,1.0,1.0
16,0.2439342546178735,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/162_J3_ijk/0/output_235/pdbs/61.pdb,5870.048324146655,1.0,1.0,1.0
