,xray_0+xray_1+xray_2,pdb,ff,xray_0,r_free_0,rmsd_0,xray_1,r_free_1,rmsd_1,xray_2,r_free_2,rmsd_2,w_0_0,w_0_1,w_0_2
0,17.058042858635773,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/162_J3_ijk/0/output_332/pdbs/220.pdb,5827.900189871721,5.613936457028872,0.2509946790492103,0.2566789692061743,5.736485057145538,0.2595197616167941,0.2963513839452497,5.707621344461362,0.2701835185016535,0.2982372574032406,1.0,1.0,1.0
1,17.058707782408305,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/162_J3_ijk/0/output_235/pdbs/403.pdb,6021.963710662648,5.613350195567018,0.2472769397277571,0.2667111449318904,5.7369948263718,0.2664273584525694,0.3017827052110785,5.708362760469488,0.2737366371758328,0.3059311450701852,1.0,1.0,1.0
2,17.0592826979268,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/162_J3_ijk/0/output_830/pdbs/209.pdb,6014.55668074097,5.6137262287109015,0.2540200976887885,0.2543939684396249,5.733002485686778,0.2632264877028056,0.2986089488103093,5.712553983529121,0.2760555692035501,0.3049176202677802,1.0,1.0,1.0
3,17.059352138031553,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/162_J3_ijk/0/output_830/pdbs/423.pdb,6017.573633308144,5.613823372378011,0.2553761973599986,0.2473304028476244,5.73565991852423,0.2608681713839058,0.2948826228848922,5.709868847129312,0.2702883841641741,0.2986755063102319,1.0,1.0,1.0
4,17.059445652861825,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/162_J3_ijk/0/output_235/pdbs/308.pdb,5913.825222175177,5.613467044759624,0.249484195888069,0.2594935101517356,5.736479064219138,0.2645541574788657,0.2970484609212565,5.709499543883062,0.2743277447329237,0.3036285334893897,1.0,1.0,1.0
5,17.059518767400064,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/162_J3_ijk/0/output_830/pdbs/427.pdb,5885.830299749531,5.612734940818424,0.254218420533464,0.2517448002891967,5.73667859789003,0.2623007224983225,0.2960304230537857,5.710105228691611,0.2725741196581515,0.3011480461169394,1.0,1.0,1.0
6,17.0595545813377,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/162_J3_ijk/0/output_830/pdbs/296.pdb,5895.387168637866,5.613501849641617,0.2519087361312634,0.2558253318435368,5.735530613699687,0.263064011767508,0.3005321236233143,5.710522117996398,0.2728653089874504,0.3040757472293079,1.0,1.0,1.0
7,17.059754237807304,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/162_J3_ijk/0/output_1641/pdbs/352.pdb,5817.868979272565,5.610083575849104,0.2508023998444779,0.2534219310204646,5.739827909898208,0.2660638681474672,0.296662670420091,5.709842752059991,0.2723659249516704,0.3091610695126822,1.0,1.0,1.0
8,17.059935422833796,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/162_J3_ijk/0/output_235/pdbs/295.pdb,5863.059099873635,5.614292390607345,0.2495264820824521,0.2570318153404269,5.739366618657945,0.265993479871312,0.2969903216421788,5.706276413568505,0.2722834089288073,0.3012698616681224,1.0,1.0,1.0
9,17.059992345397145,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/162_J3_ijk/0/output_235/pdbs/300.pdb,5928.2305216397535,5.615980659412678,0.2522842038109933,0.2622215712164087,5.736652030339909,0.2651743465097758,0.300274549371035,5.707359655644559,0.2729818364013573,0.3047964827599073,1.0,1.0,1.0
10,17.0600093605315,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/162_J3_ijk/0/output_830/pdbs/267.pdb,5793.07236452389,5.615812428350429,0.2568600992408569,0.2540506454063046,5.733477716638459,0.2617502601195902,0.2980398750040438,5.7107192155426105,0.2710590022143232,0.3036701259634716,1.0,1.0,1.0
11,17.06003384606477,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/162_J3_ijk/0/output_830/pdbs/366.pdb,5739.509642256305,5.615023240637902,0.2552670020397944,0.2520285140669781,5.734360022454615,0.2590545707818203,0.2992249303842929,5.710650582972253,0.2703387661321549,0.3022042431345648,1.0,1.0,1.0
12,17.060158561225567,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/162_J3_ijk/0/output_235/pdbs/390.pdb,5927.46605254832,5.618019182746664,0.2543674286293479,0.2629293410875323,5.734388876002583,0.2630121132342301,0.3000582104081101,5.707750502476318,0.2716242955586839,0.3042572666895443,1.0,1.0,1.0
13,17.060201804903635,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/162_J3_ijk/0/output_30/pdbs/482.pdb,6103.705851741253,5.706331746919736,0.2731040222630113,0.2872297843785599,5.735970919260586,0.2660201027742364,0.3433478699177758,5.617899138723313,0.2433883523198926,0.2838243282766406,1.0,1.0,1.0
14,17.060244081727486,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/162_J3_ijk/0/output_332/pdbs/215.pdb,5871.703855636888,5.618143162175655,0.2535337496715951,0.2518180735259236,5.73659106310216,0.2598786401277574,0.2927371297708123,5.705509856449671,0.2704243262119284,0.2910050925406278,1.0,1.0,1.0
15,17.060544357561238,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/162_J3_ijk/0/output_235/pdbs/391.pdb,5945.077892143498,5.616684030201982,0.251435055714767,0.2607406380027299,5.735391087798355,0.2672645079297996,0.2988766115556766,5.708469239560901,0.2731660226026745,0.3018620014686939,1.0,1.0,1.0
