,r_free_7mhf,xray_7mhf,r_free_7mhg,xray_7mhg,r_free_7mhh,xray_7mhh,r_free_7mhi,xray_7mhi,r_free_7mhj,xray_7mhj,r_free_7mhk,xray_7mhk,pdb,ff,w_0_7mhf,w_1_7mhf,w_2_7mhf,w_3_7mhf,w_4_7mhf,w_5_7mhf,w_6_7mhf,w_7_7mhf,w_0_7mhg,w_1_7mhg,w_2_7mhg,w_3_7mhg,w_4_7mhg,w_5_7mhg,w_6_7mhg,w_7_7mhg,w_0_7mhh,w_1_7mhh,w_2_7mhh,w_3_7mhh,w_4_7mhh,w_5_7mhh,w_6_7mhh,w_7_7mhh,w_0_7mhi,w_1_7mhi,w_2_7mhi,w_3_7mhi,w_4_7mhi,w_5_7mhi,w_6_7mhi,w_7_7mhi,w_0_7mhj,w_1_7mhj,w_2_7mhj,w_3_7mhj,w_4_7mhj,w_5_7mhj,w_6_7mhj,w_7_7mhj,w_0_7mhk,w_1_7mhk,w_2_7mhk,w_3_7mhk,w_4_7mhk,w_5_7mhk,w_6_7mhk,w_7_7mhk
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,0.3031096176812587,5.167072368667758,,,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/1/output_335/pdbs/147.pdb,151328.4999599114,,,,,,,,,0.1077392053985378,0.1213682647495613,0.1565524418106066,0.0209789292705239,0.1812714024032938,0.1762868453963275,0.0519384324711028,0.1838644785000459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.3087402389188112,5.198839788043872,0.273890538258109,5.054738956041147,,,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/6/output_148/pdbs/211.pdb,175142.5206363693,0.0761874691135667,0.0975296153580194,0.1061850077958432,0.0559272488204808,0.2460329971368282,0.1821730859100313,0.0564629066398877,0.1795016692253425,0.087887398288003,0.084493042062823,0.1210470649005644,0.0583112775349019,0.138403652523167,0.1858387794859306,0.0502406552666156,0.2737781299379941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,0.3016702348434558,5.15245724359539,0.3205431622337986,5.708099710756635,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/11/output_7/pdbs/147.pdb,206625.52811083107,,,,,,,,,0.1402904149284542,0.0595085728070484,0.1158880464100113,0.0565629436452133,0.1850633873801183,0.3284588513523847,0.0621526378603177,0.0520751456164519,0.0497622832330238,0.1933655454014144,0.1708889364077989,0.0917701440591303,0.2262827522383595,0.0728202468266209,0.0859854690519639,0.109124622781688,,,,,,,,,,,,,,,,,,,,,,,,
12,,,0.2939031977667218,5.136167878869385,,,0.3022261599413032,5.239961706774476,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/12/output_44/pdbs/274.pdb,189813.39937135816,,,,,,,,,0.1223590702831371,0.056545999602955,0.2323507017622519,0.0627992119543652,0.1891076986519779,0.0990122911950071,0.0542109879528038,0.1836140385975018,,,,,,,,,0.1159614300070035,0.2038297266636527,0.1363128962978274,0.0776155790083616,0.0915852568585262,0.1909065043973728,0.1045911721504068,0.0791974346168488,,,,,,,,,,,,,,,,
13,,,0.2985961404847275,5.136424601037482,,,,,0.3282369286885812,5.36966108831883,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/13/output_488/pdbs/241.pdb,202270.35657778443,,,,,,,,,0.2821611276662216,0.1386636765191171,0.2487769750836971,0.0776282930888579,0.0956193756483597,0.0705533362182674,0.0466805596601016,0.0399166561153775,,,,,,,,,,,,,,,,,0.1614810271422995,0.0667222590345305,0.0799612466694655,0.1145915706967449,0.1527170036413075,0.112475286449461,0.0796115366617141,0.2324400697044767,,,,,,,,
14,,,0.2925035308354524,5.127363020765476,,,,,,,0.3175307508733954,5.205848041007522,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/14/output_338/pdbs/211.pdb,201094.76229899665,,,,,,,,,0.0687773352593129,0.2088906664218216,0.2588340950223979,0.0756387771677362,0.1370540428277084,0.1147680943732698,0.0596923116750876,0.0763446772526652,,,,,,,,,,,,,,,,,,,,,,,,,0.1317496506399848,0.1024145940277947,0.065785270730307,0.0932257457164011,0.1772751699085209,0.2102869352987646,0.0872684354918592,0.1319941981863675
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.3014284498566238,5.2374869773386274,0.2741127700762373,5.064522099357066,0.3237787738552023,5.750809776920965,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/21/output_287/pdbs/217.pdb,231803.78015369523,0.1633390910778633,0.097556373677769,0.2100795917446552,0.0605786566143778,0.1164930150824696,0.2251250349149269,0.0602254989732599,0.0666027379146781,0.0873235617795387,0.0725620818477688,0.1940924293863982,0.0537293376928272,0.1823810021582906,0.2129646806610697,0.0506994817313309,0.1462474247427758,0.1169798313215801,0.2447359599830093,0.2123210749368956,0.0755686922249184,0.085175600593957,0.0774995110956661,0.0958293077998869,0.0918900220440862,,,,,,,,,,,,,,,,,,,,,,,,
22,0.3068387484782967,5.221332062241005,0.2718115207698103,5.070282684522122,,,0.3180749980748071,5.262496714612514,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/22/output_372/pdbs/267.pdb,224743.54946678545,0.1608520249895648,0.0473417870948219,0.3369029638630112,0.0733601543552269,0.102078550079553,0.104028519622435,0.0478020340719478,0.1276339659234391,0.1215156823138143,0.182271540936454,0.2164809604418282,0.0663110304732686,0.1451544709822154,0.1193780816012298,0.0646441341411194,0.08424409911007,,,,,,,,,0.1669450226140657,0.1205788057162447,0.0476782313926962,0.0767617899789057,0.2465228868635492,0.0550193868885551,0.1018443027634327,0.1846495737825504,,,,,,,,,,,,,,,,
23,0.3025295021358801,5.221503785165408,0.2756109979192564,5.0737679750251,,,,,0.3205016434605823,5.387779230851179,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/23/output_378/pdbs/256.pdb,237076.68925333268,0.0741438613437055,0.1745560570271655,0.1639729569092051,0.0528184037118748,0.1841167059462139,0.2299042697629417,0.0495926827230567,0.0708950625758364,0.0654967648870693,0.2950917326931543,0.1104626335450259,0.0711456227021562,0.1933218696443519,0.1357464480226552,0.0681963581929946,0.0605385703125923,,,,,,,,,,,,,,,,,0.2396558315643398,0.1038433126740123,0.1748129632953494,0.1034585582852436,0.0637976289919551,0.0652761220211736,0.0720701907106666,0.1770853924572594,,,,,,,,
