,r_free_7mhf,xray_7mhf,r_free_7mhg,xray_7mhg,r_free_7mhh,xray_7mhh,r_free_7mhi,xray_7mhi,r_free_7mhj,xray_7mhj,r_free_7mhk,xray_7mhk,pdb,ff,w_0_7mhf,w_1_7mhf,w_2_7mhf,w_3_7mhf,w_4_7mhf,w_5_7mhf,w_6_7mhf,w_7_7mhf,w_0_7mhg,w_1_7mhg,w_2_7mhg,w_3_7mhg,w_4_7mhg,w_5_7mhg,w_6_7mhg,w_7_7mhg,w_0_7mhh,w_1_7mhh,w_2_7mhh,w_3_7mhh,w_4_7mhh,w_5_7mhh,w_6_7mhh,w_7_7mhh,w_0_7mhi,w_1_7mhi,w_2_7mhi,w_3_7mhi,w_4_7mhi,w_5_7mhi,w_6_7mhi,w_7_7mhi,w_0_7mhj,w_1_7mhj,w_2_7mhj,w_3_7mhj,w_4_7mhj,w_5_7mhj,w_6_7mhj,w_7_7mhj,w_0_7mhk,w_1_7mhk,w_2_7mhk,w_3_7mhk,w_4_7mhk,w_5_7mhk,w_6_7mhk,w_7_7mhk
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,0.3313851225317612,5.208423388086783,,,,,0.292399361565303,5.35066582963567,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/13/output_398/pdbs/169.pdb,187405.7582709661,,,,,,,,,0.0561935128607378,0.111697219738585,0.2020168785706861,0.0717627232646862,0.0874737901734195,0.2005859054584323,0.104035254822117,0.1662347151113358,,,,,,,,,,,,,,,,,0.1672085442631713,0.1308133148539974,0.0955930856370599,0.0654186771849561,0.1696005384596532,0.2076036788484322,0.0603687970009683,0.1033933637517613,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,0.2200274704535464,5.452804303374624,,,0.2069704610695833,5.108294404254173,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/16/output_295/pdbs/155.pdb,207233.04985780825,,,,,,,,,,,,,,,,,0.1295551048468092,0.1246993390644951,0.1571664325628328,0.0992704929178256,0.1730617405801994,0.1276840194796592,0.0457687990166553,0.142794071531523,,,,,,,,,0.1570966093200833,0.1118122506111983,0.1431415201839596,0.0785999037858555,0.1778605316986583,0.1301216005978355,0.0490431181724628,0.1523244656299465,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,0.2214084321187004,5.014404089605226,0.2076537442519522,5.069351414584756,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/18/output_27/pdbs/236.pdb,192461.0088386193,,,,,,,,,,,,,,,,,,,,,,,,,0.1059536648757218,0.0889280386364174,0.1785008633514367,0.0585950825526555,0.141444779947742,0.1876087163298321,0.076559212300219,0.1624096420059753,0.103198958612907,0.1115676892875091,0.1949907066484029,0.0615767939862527,0.1378385481581495,0.1713810223045596,0.0493096182384493,0.1701366627637695,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,0.2502567049819658,5.208402836998384,0.2772074093263494,5.118217678249559,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/20/output_1/pdbs/293.pdb,211372.82543954905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1482788827616717,0.1670860891566702,0.084161482005972,0.0909239673519834,0.1006965517864354,0.1499143194500881,0.0721988768303162,0.1867398306568628,0.1473086889312283,0.1611871667299597,0.086564016886156,0.1148323377039373,0.1289376334005093,0.1509248888253243,0.0755247519226415,0.1347205156002434
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.3283682206603122,5.261286674195038,0.3052687799656645,5.224341809091545,,,,,0.2903254668086494,5.495788311755269,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/23/output_204/pdbs/28.pdb,226849.05717716884,0.101308310606209,0.2149458100191049,0.1991915263634346,0.01806370606359,0.1984065587204311,0.0233673128782635,0.0909726623807784,0.1537441129681881,0.1367356627924746,0.1004348115920623,0.1747931671303647,0.0969724599690165,0.1067951211339802,0.1274876786286581,0.0733380807561758,0.1834430179972675,,,,,,,,,,,,,,,,,0.1583820339931507,0.2045423067206761,0.0418783443605818,0.0713812209922133,0.108233034783287,0.1732124126221487,0.1030672321870825,0.1393034143408597,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.3650705808431728,5.221085680044777,,,0.2155371183059644,5.378884836889158,,,0.213231590048134,5.0952989856386015,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/26/output_215/pdbs/287.pdb,236154.8431769641,0.0908325435740705,0.077692169124399,0.1179313366522553,0.1150752398360556,0.1310412032679266,0.1649431391063982,0.0633548416529196,0.239129526785975,,,,,,,,,0.1088518378710185,0.1976280622196418,0.1861611227241672,0.0717773533850606,0.185375231031168,0.1466211899833416,0.048055370196069,0.055529832589533,,,,,,,,,0.1053613907361949,0.2007422716585596,0.1709350722975693,0.0727603185211894,0.2033947498050823,0.1223766435148249,0.0543925048340031,0.0700370486325762,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.3430103626749343,5.307201205818346,,,,,0.2271770879871426,5.06114123856288,0.2137586684282089,5.114965464484983,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/28/output_61/pdbs/248.pdb,231587.1633563736,0.094124853304946,0.0749699345546706,0.1091125260642011,0.0665826579104496,0.1078240289898254,0.2549233695250633,0.0726021457996506,0.219860483851193,,,,,,,,,,,,,,,,,0.1213514060826302,0.1927887601210015,0.1714914788756628,0.1006329109359962,0.171648061902889,0.0614111341866565,0.0602354643130278,0.1204407835821356,0.10015527567241,0.1850251929904652,0.2120210401507837,0.0596895744312815,0.1854901807233263,0.0815478997097277,0.0773674269563698,0.0987034093656355,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.3786252935635211,5.282617717849649,,,,,,,0.2501509027832479,5.245808630611355,0.2597786220160609,5.128367996876111,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/30/output_138/pdbs/221.pdb,247902.8925720608,0.0918234443911595,0.1158077187788184,0.0650296651739714,0.1390276429757177,0.1432926131791491,0.0930157545090152,0.1325640320035681,0.2194391289886005,,,,,,,,,,,,,,,,,,,,,,,,,0.157417439969571,0.1653000295744547,0.1649965101539893,0.086563036885273,0.1261427180546907,0.152820485571848,0.0788847979109172,0.0678749818792558,0.1402389026745213,0.1403373433152763,0.1811040874921652,0.0720384399045353,0.1683239363551167,0.1292424478221891,0.0849362999651178,0.0837785424710781
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,0.3351231203097722,5.15790801343577,0.2185492018868196,5.421697080758226,,,0.2165320648167351,5.113676626993388,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/32/output_272/pdbs/246.pdb,238657.71740140076,,,,,,,,,0.1802644001463321,0.0862511719475873,0.2012621254045853,0.0769733897458862,0.0458655255087033,0.0620427870324073,0.0997036920220516,0.2476369081924465,0.1997140431396818,0.1513498067049721,0.0707932646894906,0.0833793868945658,0.1580704856080736,0.1062524401076399,0.0658335385511832,0.1646070343043925,,,,,,,,,0.191079258467341,0.1279437530824799,0.0811238967333911,0.072527468817266,0.1966555348043214,0.1101806579112987,0.0542006763769727,0.1662887538069289,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,0.3334459251884442,5.194847940595959,,,0.2150065936423032,5.041247507677997,0.212468920025051,5.106735641232697,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/34/output_360/pdbs/268.pdb,214419.41744346125,,,,,,,,,0.0968680317990938,0.1272189331809431,0.1127025359130408,0.0612883506900541,0.0645881763421721,0.369896678825384,0.0825553141047324,0.0848819791445795,,,,,,,,,0.1463108306724082,0.128733981143323,0.1446107037254446,0.0716159319063023,0.1423396063354043,0.1708758801917688,0.0527997259371162,0.1427133400882322,0.1201369718803123,0.1559741242651056,0.1530437030143636,0.0609286201728681,0.1668435820693727,0.1301905291179422,0.0516335298128924,0.161248939667143,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,0.3261842138661875,5.170492408838449,,,,,0.2490396705662906,5.234429564911965,0.2606117771434422,5.109239259935664,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/36/output_193/pdbs/289.pdb,237741.1265044261,,,,,,,,,0.2099995124202962,0.0783504004647853,0.1326679178111054,0.0935210286348671,0.1104754759448214,0.2052149143051689,0.0740973691541652,0.0956733812647901,,,,,,,,,,,,,,,,,0.1315220231212307,0.1486214064443447,0.1221063306937709,0.0974967275418759,0.1315472089997436,0.1319602779489541,0.0537437460776295,0.1830022791724503,0.1889340115644371,0.1236601233917274,0.0892273268520787,0.0936019288052913,0.13548844922254,0.1455446609577566,0.0815367901227537,0.1420067090834149
37,,,,,0.1873424255904358,5.211709076917512,0.1907690858636031,4.897846401042505,0.1687878819860629,4.916597521432124,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/37/output_144/pdbs/292.pdb,239842.9238732443,,,,,,,,,,,,,,,,,0.1699005753018846,0.1772490221309156,0.1638117060856724,0.065109261833572,0.1868162244926267,0.1237204081691189,0.0524015976742367,0.0609912043119728,0.184108455032526,0.1692969131155801,0.1042577894858795,0.0743030427621111,0.1714017571369157,0.1103604906289776,0.1031214157906222,0.0831501360473876,0.1753709966733525,0.1878017683752039,0.1514819666238391,0.0617552923335997,0.1493939158575749,0.1158484419127792,0.0688636322911466,0.0894839859325038,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,0.2090395367129756,5.279837111219828,,,0.2005430295838456,5.063721405486915,0.2509183117516927,5.048540891643374,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/39/output_417/pdbs/299.pdb,259076.05052846583,,,,,,,,,,,,,,,,,0.1358568097895784,0.2109689218751487,0.1256017890407918,0.095320194216386,0.1295386387029288,0.1335206566330794,0.0530296648370382,0.1161633249050485,,,,,,,,,0.1400852916549419,0.1364961307822317,0.1588729493957214,0.0603183349623165,0.1480282294170519,0.153101840289365,0.07174414801899,0.1313530754793813,0.1463058590722891,0.145121500964677,0.0382069150818946,0.0989971973821313,0.1613181581491171,0.1726837863892939,0.0735766038606815,0.1637899790999152
40,,,,,,,0.208998944588828,4.961742789607494,0.1984791251049571,5.058672444480622,0.2603266212804601,5.0798005877990535,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/40/output_278/pdbs/289.pdb,230759.2916074369,,,,,,,,,,,,,,,,,,,,,,,,,0.1626080676431495,0.1620809284358033,0.1620100190491502,0.0575731890313526,0.1371993235297811,0.1265998153648291,0.093457654541335,0.0984710024045989,0.1671397086879987,0.1429942395039338,0.1404235205209044,0.0615391196019505,0.1327998160766645,0.1385408781969011,0.0727894262671295,0.1437732911445172,0.142170112130273,0.1554564746144817,0.1199812747324761,0.0534955503830496,0.1143768165106175,0.1090167153205201,0.1002539247917756,0.2052491315168059
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.3018244565758772,5.232864399030633,0.2969815046045439,5.093296477895481,0.2265469308443786,5.4536131063991,,,0.2197929977618213,5.170473152938199,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/42/output_166/pdbs/224.pdb,285167.84212055727,0.146848484530897,0.0844499276218361,0.0739635709616059,0.0549431681442492,0.1724692114807348,0.2763227338388625,0.0661802179488886,0.1248226854729256,0.1191729105301145,0.1872033301103471,0.0942320335803398,0.0601576658207303,0.1277613793393159,0.2601299098486715,0.0696915374012848,0.081651233369196,0.1475019904260047,0.2088497973005384,0.1856365325784393,0.0438739894144457,0.0718771746148527,0.0933575375865635,0.0673286029245416,0.1815743751546138,,,,,,,,,0.1447394930325686,0.1939887846610626,0.2178519677694506,0.0841681168178245,0.0557391688919763,0.0921573834222069,0.0803250277991635,0.1310300576057468,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.3159592382391646,5.238569473197432,0.3049669680867282,5.1102991636960455,,,0.2325093580187459,5.073091195299375,0.2225948216707008,5.157874684351067,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/44/output_483/pdbs/268.pdb,285858.3762938684,0.219311773933056,0.2481512236974583,0.099070307475788,0.084282763895985,0.0773291470247816,0.0635872820113373,0.0468316887232668,0.1614358132383267,0.1971142965479168,0.1601460051622825,0.1098923935867129,0.0796588275275096,0.1242939449014388,0.0462850849963542,0.110962770116494,0.1716466771612909,,,,,,,,,0.0913310224540735,0.0621576793441893,0.1638248919270404,0.0766932785446669,0.127358656592162,0.2058693381491065,0.0830970246221458,0.1896681083666155,0.0620108032362083,0.0809696070175034,0.167489824171231,0.0622116035517037,0.1069863075740255,0.2120918189499622,0.0948532208333759,0.2133868146659897,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.357360323585997,5.261838935880825,0.2871708561579527,5.101768089957264,,,,,0.2572429285969879,5.2653786310692,0.2695068541310134,5.150978683436947,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/46/output_384/pdbs/258.pdb,292301.35885356663,0.0812487780293745,0.0836177804575617,0.2317419674955345,0.0954418314318849,0.105514840265643,0.0656777958345244,0.1786357855162884,0.1581212209691885,0.1416334369759618,0.0529205894819179,0.2104235329903659,0.0586758179003321,0.0861946920918151,0.1392675885166087,0.071782217523401,0.2391021245195972,,,,,,,,,,,,,,,,,0.215369410114438,0.1364755229804667,0.1200885900071004,0.0547496615168576,0.1731909218491065,0.1337857380628262,0.0792508163983333,0.087089339070871,0.2070640762403425,0.1127077845150151,0.0550144294533124,0.0796530103323339,0.1336666921357301,0.1735629487768402,0.082572559214853,0.1557584993315725
47,0.3952131826609542,5.290616923493203,,,0.1883607273724649,5.33658819235453,0.1771773514109069,4.876711882737967,0.1684879951184635,4.948151320905146,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/47/output_98/pdbs/255.pdb,272939.26799388736,0.1251491404461822,0.1185362250497259,0.0770752564428831,0.1261642428866723,0.101651808778076,0.2250020258705782,0.1215608168608306,0.1048604836650515,,,,,,,,,0.0843562062889357,0.2495404172317289,0.135225908207581,0.0587232077027012,0.1685619391892494,0.0978621643169039,0.0487477053941521,0.1569824516687474,0.1229747049121409,0.2198401518082858,0.1719198037192357,0.0553333755104562,0.1582700937546574,0.0994405350204421,0.0533699473001956,0.1188513879745861,0.1350192664158773,0.1966307681609387,0.150759238955103,0.0521103935188965,0.170027538905914,0.0925113957876385,0.0556383742821492,0.1473030239734824,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0.3716349217578696,5.262715309761319,,,0.2141590277280716,5.414553402950896,,,0.2038730408566482,5.09328149001369,0.2468044660209966,5.073395659738236,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/49/output_425/pdbs/273.pdb,278297.7592932189,0.0759355022249957,0.1461929952028065,0.0879531163159771,0.1287583269814071,0.1309156405651079,0.1253226686567334,0.1127841840553789,0.1921375659975931,,,,,,,,,0.1364374224485941,0.1653474399929991,0.1670329906557984,0.0528566705877407,0.163620513115675,0.1653788610528063,0.0638596907972389,0.085466411349147,,,,,,,,,0.1699343082918717,0.1538736243681008,0.1716678881608662,0.0810893824316863,0.1196265918157995,0.1717350034480441,0.0530808490563344,0.0789923524272967,0.1592189607263155,0.1956053500333829,0.1250783452503042,0.0810528832634254,0.1127954782490877,0.2100830218080279,0.0513041793563613,0.0648617813130947
50,0.3804601187208742,5.284911780887756,,,,,0.196014435160516,4.985375472005162,0.1973253126082635,5.12167350783991,0.241352444720185,5.098126369866238,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/50/output_294/pdbs/217.pdb,291544.8528451838,0.1385102010749141,0.1214876936925321,0.0466838182426552,0.1335372194657542,0.0622693625586001,0.0893048596046739,0.1301848886295277,0.2780219567313422,,,,,,,,,,,,,,,,,0.1048856001336879,0.1169617294464101,0.2228376501697058,0.07272271524611,0.193839350414487,0.1291936920026242,0.0714449003921239,0.088114362194851,0.1202051508806026,0.1271019465990856,0.2216217405328286,0.0436724310162814,0.1745696160270303,0.1593517742665376,0.0671827222565928,0.0862946184210408,0.1129997576235201,0.1423774404807874,0.1634713131322661,0.0680358605724107,0.1834670205813358,0.1240557367315522,0.1005432109271631,0.1050496599509643
51,,,0.316289517470103,5.147200058036245,0.2027245363814877,5.382558326724809,0.1942516931684238,4.964699709729975,0.1788933712400052,4.998008172386405,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/51/output_40/pdbs/244.pdb,288383.9759042551,,,,,,,,,0.0647943530364308,0.0966518848193465,0.2154129502743087,0.0663797177322998,0.2924809771692298,0.119117851291371,0.092894230281721,0.0522680353952922,0.1502341747643652,0.1150638147686279,0.1965284509646744,0.0510167739418542,0.0696858261627072,0.1278069414031687,0.0581078134667107,0.2315562045278914,0.0923169898156707,0.189201528613289,0.1944722254799352,0.0806159495153501,0.129228634172192,0.0814711776798246,0.0662760409480644,0.1664174537756738,0.1408329537310002,0.1423184839739034,0.1850392128772035,0.052021093680264,0.0830500851695105,0.0986155520111835,0.0799604851706615,0.2181621333862731,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,0.3270804015163275,5.154242768702831,0.2147266033410123,5.409366824831296,,,0.201733711145377,5.091002227608307,0.242721204978973,5.076789858488933,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/53/output_215/pdbs/226.pdb,286834.5773436777,,,,,,,,,0.0948125417123982,0.0729719091590944,0.2141136106621768,0.0993140624868924,0.2864310858417933,0.0806477057164102,0.0790750064552731,0.0726340779659612,0.1251914390807195,0.147028430313601,0.1062571372858294,0.0550717197185508,0.1013115466835949,0.1452750514081005,0.0569765136304916,0.2628881618791121,,,,,,,,,0.1201549360055397,0.1800516425806102,0.1098360478492301,0.0572666082976162,0.0825909505564335,0.1134745748232397,0.0892551228080441,0.2473701170792863,0.1108072427495303,0.1050485481680377,0.1481850871779215,0.0699312445425268,0.1589545208636915,0.1422087257870237,0.0729726452837547,0.1918919854275135
54,,,0.3108420900936315,5.147556765710202,,,0.1983502187090243,4.9670944999426725,0.2019651869578887,5.100278894903868,0.2271217671301603,5.06643382547449,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/54/output_124/pdbs/272.pdb,278479.3474860027,,,,,,,,,0.0630464178186866,0.0939478568641875,0.0751965637991239,0.1067269664639517,0.1798549937975334,0.3137242118728787,0.0688008247463916,0.0987021646372464,,,,,,,,,0.1573371691430911,0.1429584237695286,0.2003943616493179,0.0614523209276418,0.0999275411246718,0.0515111148237242,0.0607977514724734,0.2256213170895506,0.2016265632597689,0.1123134725913604,0.2075716891335716,0.0567321202536552,0.0939647132386648,0.066136381843846,0.0655882253244168,0.196066834354716,0.1657022320222086,0.1348903640659831,0.1312856311119737,0.0618336544980735,0.1325760736994305,0.1454969149319137,0.0720784998440892,0.1561366298263274
55,,,,,0.1837428243671627,5.229964360567693,0.1616673419041942,4.852044655178405,0.1683153300804082,4.951526957185556,0.2357809498290648,5.017775425374827,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/55/output_296/pdbs/212.pdb,271046.122065535,,,,,,,,,,,,,,,,,0.1186658377262638,0.1094223796334692,0.1639334906131267,0.0827373417639508,0.1381022584593549,0.1702059875943377,0.0632709935717325,0.1536617106377641,0.1472423629555122,0.0996239612234448,0.1735308059808194,0.0475695096116143,0.1363320001450659,0.1597449326601666,0.0777903701946767,0.1581660572286999,0.154488747343288,0.0965831991532469,0.1689422845366236,0.066931079389135,0.1339914287046631,0.1634555227166992,0.0723395049661914,0.1432682331901525,0.1817021784972361,0.1170561405181119,0.1197872629235205,0.0947008940264007,0.1257146508315574,0.1260510079272696,0.0558463116542718,0.1791415536216317
