,joint,r_free_7mhf,xray_7mhf,r_free_7mhg,xray_7mhg,r_free_7mhh,xray_7mhh,r_free_7mhi,xray_7mhi,r_free_7mhj,xray_7mhj,r_free_7mhk,xray_7mhk,pdb,ff,w_0_7mhf,w_1_7mhf,w_2_7mhf,w_3_7mhf,w_4_7mhf,w_5_7mhf,w_6_7mhf,w_7_7mhf,w_0_7mhg,w_1_7mhg,w_2_7mhg,w_3_7mhg,w_4_7mhg,w_5_7mhg,w_6_7mhg,w_7_7mhg,w_0_7mhh,w_1_7mhh,w_2_7mhh,w_3_7mhh,w_4_7mhh,w_5_7mhh,w_6_7mhh,w_7_7mhh,w_0_7mhi,w_1_7mhi,w_2_7mhi,w_3_7mhi,w_4_7mhi,w_5_7mhi,w_6_7mhi,w_7_7mhi,w_0_7mhj,w_1_7mhj,w_2_7mhj,w_3_7mhj,w_4_7mhj,w_5_7mhj,w_6_7mhj,w_7_7mhj,w_0_7mhk,w_1_7mhk,w_2_7mhk,w_3_7mhk,w_4_7mhk,w_5_7mhk,w_6_7mhk,w_7_7mhk
0,5.172527786254753,0.3704463240103852,5.172527786254753,,,,,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/0/output_71/pdbs/285.pdb,165699.3210652184,0.0657228432213136,0.1932913021398436,0.1504315514051523,0.0735143447139147,0.1043887101135879,0.2306773667122303,0.0676802118704464,0.1142936698235107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5.10355336561118,,,0.326272987444928,5.10355336561118,,,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/1/output_10/pdbs/286.pdb,164760.39632450035,,,,,,,,,0.2141889442022227,0.1241272309125548,0.2189731685382845,0.0475052430920731,0.2121480833656493,0.0633669437123813,0.0667597689037782,0.0529306172730559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5.6263381304289135,,,,,0.3695565836661497,5.6263381304289135,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/2/output_102/pdbs/294.pdb,191132.5374554401,,,,,,,,,,,,,,,,,0.213341676730644,0.1041409100972254,0.1088468103548118,0.1040414590823658,0.1586826029130701,0.1046014979604764,0.0836776118810409,0.1226674309803655,,,,,,,,,,,,,,,,,,,,,,,,
3,5.167385972650409,,,,,,,0.3235067427587831,5.167385972650409,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/3/output_496/pdbs/299.pdb,175045.34929017434,,,,,,,,,,,,,,,,,,,,,,,,,0.1056151104067261,0.1637464376527211,0.0933185377351061,0.0948417348151198,0.1929034973411535,0.1122945836831373,0.0392787090083921,0.1980013893576437,,,,,,,,,,,,,,,,
4,5.283790781475141,,,,,,,,,0.3221758349231943,5.283790781475141,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/4/output_309/pdbs/286.pdb,176791.60154884504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1666305866430976,0.0901387490341597,0.1986016306125526,0.0615246510702918,0.219653184772968,0.1199349403265975,0.0878365859214262,0.0556796716189063,,,,,,,,
5,5.20633788504673,,,,,,,,,,,0.3463914361557259,5.20633788504673,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/5/output_259/pdbs/206.pdb,185191.38982390927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1191959010661622,0.1587750316569253,0.1148813991882682,0.0865751911371969,0.1356409961346671,0.2394675312130617,0.0740779099347074,0.0713860396690109
6,10.234405158051791,0.3085919207315269,5.178830345290112,0.2839656509525378,5.055574812761679,,,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/6/output_336/pdbs/281.pdb,172237.70646948964,0.2029272900812879,0.0550280866439659,0.1990130024391491,0.0133646600909378,0.0981976599118632,0.2100135717679078,0.0458655745786836,0.1755901544862044,0.2673306500079327,0.0904725217293319,0.1011181333811083,0.0511413378089718,0.1634338873554303,0.1451163684734004,0.0568900484831721,0.1244970527606522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10.76407113708306,0.3664392687129062,5.225380370188685,,,0.3242517597552559,5.538690766894376,,,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/7/output_174/pdbs/282.pdb,205347.6796868828,0.0758073174320519,0.1473516614490161,0.0842655974988561,0.0801594856874615,0.1024679847009499,0.1934294119313027,0.1189626643224347,0.1975558769779268,,,,,,,,,0.18667221042072,0.1497318697618213,0.1186134624745165,0.0915696485695361,0.118063979898627,0.122800246565983,0.1024535837062769,0.1100949986025188,,,,,,,,,,,,,,,,,,,,,,,,
8,10.444877026736053,0.3329035264846438,5.26105577146959,,,,,0.2975661044324716,5.183821255266463,,,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/8/output_45/pdbs/297.pdb,195837.234612484,0.0751732668238824,0.1008528232774837,0.0601828011499018,0.0485278168944946,0.227163153548688,0.1729445162069945,0.0510845649543669,0.2640710571441877,,,,,,,,,,,,,,,,,0.2119621608268145,0.1439137970311932,0.0961719080319916,0.0779887383100035,0.1639840644044705,0.1478080484105126,0.0988277729071311,0.0593435100778826,,,,,,,,,,,,,,,,
9,10.556849438598684,0.3535885111318558,5.224194003487758,,,,,,,0.3310730735667663,5.332655435110926,,,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/169_N8/9/output_282/pdbs/283.pdb,212065.93633569367,0.0567144602242838,0.1666191189390323,0.1106928024774277,0.1132175490253731,0.0472016772503205,0.2170433283411021,0.1132576696918218,0.1752533940506385,,,,,,,,,,,,,,,,,,,,,,,,,0.1736412284427216,0.1599956285913539,0.1027194685641226,0.1063173644025467,0.1847499170551457,0.0541783552552392,0.0916881170136047,0.1267099206752653,,,,,,,,
