,n,r_free_mean,r_free_std
1,0,inf,
2,0,0.31418035093274455,0.004077242811679725
3,0,0.3128018383874157,0.0037954043015533756
4,0,0.3117645904114891,0.0035872845916615007
5,0,0.3110212408859351,0.0035211322304058833
6,0,0.3104317258227883,0.0034530784084193912
7,0,0.3100170440653188,0.003390336231987248
8,0,0.30968754066887066,0.003298453651410941
9,0,0.30938021003401606,0.0032617083737466993
10,0,0.30908410593361724,0.003218957380191127
11,0,0.3088831826716039,0.0031595898645505843
12,0,0.30866922384004114,0.003118833606379733
13,0,0.30847284277184833,0.0030743733136114793
14,0,0.308259954218795,0.003044464180923682
15,0,0.3080477385156267,0.003026806998665067
16,0,0.3078627575386687,0.0029469356611182863
17,0,0.30773316054020017,0.0029078962774550902
18,0,0.30754803680529175,0.0028776585410320806
19,0,0.30742148736606917,0.0028505655532469584
20,0,0.3073360534093238,0.002809215878687141
21,0,0.3071550427388677,0.00280422901636029
22,0,0.3070403049230279,0.0027635261351073165
23,0,0.30695968129354056,0.0027236723225690083
24,0,0.3068604679643315,0.002706654658439238
25,0,0.3067243218573742,0.002714026660809217
26,0,0.3066210392823771,0.0027345693107571297
27,0,0.3065728559966494,0.0027126635959029348
28,0,0.3064770359460981,0.002707208575447837
29,0,0.30640512612881926,0.0027005283679871505
30,0,0.30628670242370926,0.0026634526882609384
31,0,0.30621132051526895,0.0026238947662844347
32,0,0.30613391305303744,0.002596236472317267
33,0,0.3060924106876933,0.0025873838843169642
34,0,0.3060443556922157,0.0025863208319438966
35,0,0.3059834062120552,0.0025761311815387946
36,0,0.30591809495532035,0.0025450136188759887
37,0,0.30588086696913175,0.00253137293387984
38,0,0.3057983052098659,0.0024952468717111846
39,0,0.305731251370584,0.002484898437289626
40,0,0.3056601237998657,0.002487392295297074
41,0,0.30561804593869873,0.0024854424556175875
42,0,0.30555757274190964,0.0025010104495741987
43,0,0.30550130534771186,0.0024948312194327028
44,0,0.3054549497478715,0.0024916084748146383
45,0,0.3053904083652114,0.0025088045473291203
46,0,0.30534308560395357,0.0025014937992097297
47,0,0.30530114643022593,0.002491435166794726
