,xray_0_min_0,xray_0_min_0_pdb,xray_0_min_0_rmsd,xray_0_min_0_rmsd_avg,xray_0_min_0_r_free_0
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_24/log.csv,4.103554318315716,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_24/pdbs/477.pdb,0.2218410898093132,0.0986887442311077,0.1020784237361962
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_3/log.csv,3.670390007890017,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_3/pdbs/351.pdb,0.2129079526908493,0.0723414869016636,0.0673424410706143
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_31/log.csv,3.75797776349545,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_31/pdbs/451.pdb,0.1818255240128935,0.0804073961336659,0.0717289062876481
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_49/log.csv,4.004046454617338,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_49/pdbs/390.pdb,0.2218989399037083,0.0818405906776585,0.091755342867854
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_56/log.csv,3.8571468170230343,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_56/pdbs/259.pdb,0.2360965028452465,0.1097265289562679,0.0800712984552203
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_20/log.csv,3.524404391933916,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_20/pdbs/403.pdb,0.2609190627814982,0.0361476463952883,0.057153816152338
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_34/log.csv,3.956594364331904,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_34/pdbs/407.pdb,0.2746108344236225,0.1305508442012002,0.0895558789422289
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_1/log.csv,3.703897182559401,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_1/pdbs/249.pdb,0.1996943834512468,0.0690168688787588,0.0693385291418471
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_27/log.csv,3.4430350655609576,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_27/pdbs/418.pdb,0.1938110516563025,0.0391184306336979,0.0520599601684311
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_44/log.csv,3.5480900541335947,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/61_sb_4/134571/output_44/pdbs/383.pdb,0.2411655955067311,0.0493114851120132,0.0573587262247363
