,xray_0+xray_1,xray_0,xray_1,r_free_0,r_free_1,rmsd_avg_0,rmsd_avg_1,pdb
0,7.714384152225161,3.845442646041064,3.8689415061840977,0.1238426223330659,0.1316068474911414,0.1858738626217589,0.1418219394370229,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/128_short_2_cif/2110979/output_6048/pdbs/174.pdb
1,7.715962751776044,3.8506867761002743,3.86527597567577,0.1225151934801381,0.1275544571531508,0.179190178023971,0.1351342141743494,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/128_short_2_cif/2110979/output_6048/pdbs/178.pdb
2,7.7183093490487575,3.8525790005747615,3.865730348473996,0.1239528912085282,0.127762009726215,0.1834044745440899,0.1393226362748967,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/128_short_2_cif/2110979/output_6048/pdbs/179.pdb
3,7.731612635071132,3.857068468410633,3.8745441666604985,0.1232676197085295,0.1306331647183228,0.1820918851981554,0.1381117293407779,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/128_short_2_cif/2110979/output_6048/pdbs/180.pdb
4,7.735583638653267,3.8533924427666806,3.882191195886587,0.1236718593730519,0.1297080799956466,0.183026861418958,0.1386221115754651,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/128_short_2_cif/2110979/output_6048/pdbs/175.pdb
5,7.7356972801516655,3.860141284455904,3.875555995695761,0.1253839046457794,0.1337956548336171,0.1831148025868108,0.1392203233864866,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/128_short_2_cif/2110979/output_6048/pdbs/173.pdb
6,7.735698151107799,3.858617074365616,3.877081076742183,0.1233746339352526,0.1289558924828039,0.1775245233905898,0.1333460911978535,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/128_short_2_cif/2110979/output_6048/pdbs/177.pdb
7,7.745336869627922,3.860684586772439,3.884652282855482,0.1230511711120622,0.1296028008157507,0.1776603309429792,0.1334478725590673,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/128_short_2_cif/2110979/output_6048/pdbs/162.pdb
8,7.74542698392411,3.859606956935456,3.885820026988654,0.1239700158890506,0.1320030598325934,0.178962287675487,0.1363724763307529,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/128_short_2_cif/2110979/output_6048/pdbs/172.pdb
9,7.747223940082856,3.861137448681165,3.886086491401691,0.1276087650442393,0.1308375824832876,0.1800636034207249,0.1354659992237754,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/128_short_2_cif/2110979/output_6048/pdbs/169.pdb
10,7.748385031714403,3.863757336540274,3.8846276951741294,0.1248122376463785,0.1307559242243084,0.1808394437362521,0.1366848632454509,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/128_short_2_cif/2110979/output_6048/pdbs/165.pdb
11,7.74919452752236,3.8611330420526753,3.888061485469685,0.1216720862287984,0.1301548541113376,0.1796124046088152,0.1347606291048157,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/128_short_2_cif/2110979/output_6048/pdbs/161.pdb
12,7.749480816713085,3.8614379293120025,3.888042887401082,0.1246272826928703,0.1307963532996137,0.185421990674361,0.1409302366343816,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/128_short_2_cif/2110979/output_6048/pdbs/176.pdb
13,7.750840018230028,3.861029516796332,3.889810501433696,0.1253832938901138,0.1309020013934196,0.1836554522380777,0.1398957286801385,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/128_short_2_cif/2110979/output_6048/pdbs/167.pdb
14,7.751562845902763,3.862303767878015,3.889259078024748,0.1231186637638497,0.1292851482231242,0.1798021644108812,0.1356408705124985,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/128_short_2_cif/2110979/output_6048/pdbs/170.pdb
15,7.752802626420664,3.86301162870211,3.889790997718554,0.1237669287376198,0.1335898275485774,0.180837842704302,0.1371916568351176,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/128_short_2_cif/2110979/output_6048/pdbs/166.pdb
16,7.753430704994308,3.862920670016594,3.8905100349777135,0.1230026459632501,0.1300451841100627,0.182577390386011,0.1377758617905399,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/128_short_2_cif/2110979/output_6048/pdbs/163.pdb
17,7.754347347029162,3.8914696422789072,3.862877704750255,0.1251228011087423,0.1268920195255952,0.1801108268628334,0.1356243581463587,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/128_short_2_cif/2110979/output_5850/pdbs/179.pdb
18,7.755715043626033,3.8666420207670336,3.889073022859,0.1233747215157679,0.1333319947975365,0.1825062899250926,0.1379875638258867,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/128_short_2_cif/2110979/output_6048/pdbs/152.pdb
19,7.756608500702896,3.8961312408379536,3.8604772598649424,0.1277724951302226,0.1240801131393227,0.1848455939825943,0.1405346317459553,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/128_short_2_cif/2110979/output_5850/pdbs/180.pdb
20,7.7577701299912905,3.863728827883069,3.8940413021082216,0.1251303552562319,0.1323443063061619,0.1784863634834972,0.1349644984301357,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/128_short_2_cif/2110979/output_6048/pdbs/171.pdb
21,7.7593390059957095,3.866619896665157,3.892719109330553,0.1235978631242766,0.1297696538705909,0.1828318370886383,0.1384770133403129,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/128_short_2_cif/2110979/output_6048/pdbs/168.pdb
