,r_free_0+r_free_1,r_free_0,r_free_1
0,0.15874875656547532,0.0673200471946672,0.0914287093708081
1,0.15938913143937172,0.0674207414551647,0.091968389984207
2,0.1594570558469904,0.0669644707487909,0.0924925850981995
3,0.15967042208962562,0.0677812525421303,0.0918891695474953
4,0.1600790324129942,0.0685031768369445,0.0915758555760497
5,0.1603304853744243,0.0670315704385956,0.0932989149358287
6,0.1605085675997105,0.0677489638436974,0.0927596037560131
7,0.16052647076914928,0.0674920883528727,0.0930343824162766
8,0.1605333818099406,0.0672012141635084,0.0933321676464322
9,0.16100273796801878,0.0664316459572082,0.0945710920108106
10,0.1610807190205932,0.0669742214852964,0.0941064975352968
11,0.16147526550515,0.0665960161398046,0.0948792493653454
12,0.16165518625576958,0.0679671665913581,0.0936880196644115
13,0.1618758694630837,0.0661226910368489,0.0957531784262348
14,0.16193657483771118,0.0682420081093121,0.0936945667283991
15,0.16197209899809611,0.067374660811429,0.0945974381866671
16,0.1624199347645522,0.0672244922139817,0.0951954425505705
17,0.16271154853704461,0.0694810599730981,0.0932304885639465
18,0.1627548617423466,0.0678200805272278,0.0949347812151188
19,0.16286987328527858,0.0676068338911723,0.0952630393941063
20,0.16306463052049158,0.0670748096886116,0.09598982083188
21,0.1631305776325559,0.069448525514836,0.0936820521177199
22,0.1632055234800999,0.0679514669906466,0.0952540564894533
23,0.1633265092348484,0.0694798738243838,0.0938466354104646
24,0.16363651245077682,0.0674959369057312,0.0961405755450456
25,0.1639122217778431,0.0681386079554541,0.095773613822389
26,0.1639541753476699,0.0674186875214262,0.0965354878262437
27,0.1642503094850108,0.0683776666912755,0.0958726427937353
28,0.164278870799166,0.0691010090526956,0.0951778617464704
29,0.1643033103276348,0.0699684168708126,0.0943348934568222
30,0.1647265257783204,0.0683536892509796,0.0963728365273408
31,0.1651561417271052,0.0699793856056337,0.0951767561214715
32,0.1653486682876545,0.0698241795863993,0.0955244887012552
33,0.16562129524809188,0.06930710233692,0.0963141929111719
34,0.1660488301417656,0.0702476815295049,0.0958011486122607
35,0.1662185887874551,0.0703186876802819,0.0958999011071732
36,0.1662780156972839,0.0691622018113344,0.0971158138859495
37,0.166285312878029,0.0702600963767318,0.0960252165012972
38,0.1665000005182797,0.0702770708147825,0.0962229297034972
39,0.1666868882948107,0.0706450449510997,0.096041843343711
40,0.1667905372988231,0.0700632436120948,0.0967272936867283
41,0.1669210252499066,0.0707299064973966,0.09619111875251
42,0.166991215508015,0.0696197375827689,0.0973714779252461
43,0.167069688423775,0.0699623712791605,0.0971073171446145
44,0.1676429587350304,0.0702804226271457,0.0973625361078847
45,0.16778047690605008,0.0702256355332561,0.097554841372794
46,0.167803358901136,0.0695885821562465,0.0982147767448895
47,0.1679622818292149,0.0706911813573244,0.0972711004718905
48,0.16806928066254,0.0710661834515882,0.0970030972109518
49,0.1692467978981087,0.0715717316131638,0.0976750662849449
50,0.1692799927428736,0.0710558907198589,0.0982241020230147
51,0.1693793322443646,0.0709262260773856,0.098453106166979
52,0.169382046330809,0.0708780848336704,0.0985039614971386
53,0.1699472367208139,0.0697459292597797,0.1002013074610342
54,0.17040664186697252,0.0710541182265231,0.0993525236404494
55,0.17051947322308,0.0703788438605101,0.1001406293625699
56,0.1705900916313167,0.0709301840471301,0.0996599075841866
57,0.1706753069429576,0.070354982880111,0.1003203240628466
58,0.1707888694505147,0.0706241593594153,0.1001647100910994
59,0.1708803198005748,0.0721477404103944,0.0987325793901804
60,0.1711904895100981,0.0705116359092495,0.1006788536008486
61,0.1731543283088281,0.0738538467877234,0.0993004815211047
62,0.17318476649358638,0.0747645296351887,0.0984202368583977
63,0.1733859775310923,0.0716385304782502,0.1017474470528421
64,0.1733877998563504,0.0717474331288415,0.1016403667275089
65,0.1734711999212975,0.0734582254975708,0.1000129744237267
