,cif_name,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_xray_id,r_free_0,pdb,r_free,ff
0,7mhh,0.1628769301244909,0.0253853156916653,0.0462971157295233,0.170574006614483,0.2106426836493284,0.1355222717781484,0.0701253921276425,0.178576284284718,0.0,0.2980499407903618,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/176_w_xray_7mhh_ref_15/0.pdb,0.29714887226117337,590.5146762922675
1,7mhh,0.0929427805420861,0.0718111689602028,0.0554663489617344,0.2676912404748218,0.0219315131395061,0.1933349838632117,0.0907851567933362,0.2060368072651008,0.0,0.2986290125901262,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/176_w_xray_7mhh_ref_15/1.pdb,0.29808692246019514,-6.502187808666633
2,7mhh,0.1628769301244909,0.0253853156916653,0.0462971157295233,0.170574006614483,0.2106426836493284,0.1355222717781484,0.0701253921276425,0.178576284284718,0.0,0.2987368643459135,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/176_w_xray_7mhh_ref_15/2.pdb,0.2996318221791628,1304.9896099671623
3,7mhh,0.2341411720278313,0.0433502543227333,0.1925887290930115,0.0972711007443024,0.0661897293453656,0.1699390535506849,0.0836912752224257,0.1128286856936449,0.0,0.2988169928720999,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/176_w_xray_7mhh_ref_15/3.pdb,0.2972824668062157,1811.7118273382641
4,7mhh,0.2282939130242786,0.0605647789882056,0.1147241322837113,0.1779069998082448,0.2228136391532253,0.0441092392679402,0.0769665403640326,0.0746207571103613,0.0,0.298839301919808,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/176_w_xray_7mhh_ref_15/4.pdb,0.29778706790547005,1312.0888041606593
5,7mhh,0.1608902240192869,0.0852498686131675,0.1421840301053842,0.1615880461660394,0.1413957358003174,0.0989100902819574,0.1685774548432227,0.0412045501706242,0.0,0.2993271832335606,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/176_w_xray_7mhh_ref_15/5.pdb,0.3008390000102919,1257.407774571591
6,7mhh,0.2282939130242786,0.0605647789882056,0.1147241322837113,0.1779069998082448,0.2228136391532253,0.0441092392679402,0.0769665403640326,0.0746207571103613,0.0,0.2994777396449757,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/176_w_xray_7mhh_ref_15/6.pdb,0.2982063730094122,1832.7952156507708
7,7mhh,0.171338924402248,0.1455029531364407,0.1568453069705467,0.0590065789424424,0.0970306312890848,0.0861919122790325,0.1201405578013375,0.1639431351788671,0.0,0.2995502950827825,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/176_w_xray_7mhh_ref_15/7.pdb,0.3036019478494623,582.044208266447
8,7mhh,0.1841582237906708,0.0536623642858786,0.1229495348306854,0.2273255573635271,0.1137182662999965,0.1569594621614469,0.0405630455994081,0.1006635456683864,0.0,0.299702903295227,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/176_w_xray_7mhh_ref_15/8.pdb,0.29920514997748987,1274.9347212311827
9,7mhh,0.1608902240192869,0.0852498686131675,0.1421840301053842,0.1615880461660394,0.1413957358003174,0.0989100902819574,0.1685774548432227,0.0412045501706242,0.0,0.2997577831253073,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/176_w_xray_7mhh_ref_15/9.pdb,0.3013319499910957,1846.506639404177
10,7mhh,0.1108588119361874,0.0240455909812762,0.2593327315150864,0.1248333559341107,0.0594548582416189,0.1467188033920843,0.0160181269542763,0.2587377210453594,0.0,0.2998849584228282,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/176_w_xray_7mhh_ref_15/10.pdb,0.29798400958239596,590.9241105010109
11,7mhh,0.1108588119361874,0.0240455909812762,0.2593327315150864,0.1248333559341107,0.0594548582416189,0.1467188033920843,0.0160181269542763,0.2587377210453594,0.0,0.3000703648314453,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/176_w_xray_7mhh_ref_15/11.pdb,0.29471409284970224,1219.9118664733815
12,7mhh,0.1628769301244909,0.0253853156916653,0.0462971157295233,0.170574006614483,0.2106426836493284,0.1355222717781484,0.0701253921276425,0.178576284284718,0.0,0.3000996978510492,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/176_w_xray_7mhh_ref_15/12.pdb,0.29704643259353414,1791.7786810109988
13,7mhh,0.1841582237906708,0.0536623642858786,0.1229495348306854,0.2273255573635271,0.1137182662999965,0.1569594621614469,0.0405630455994081,0.1006635456683864,0.0,0.3002566301160989,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/176_w_xray_7mhh_ref_15/13.pdb,0.2965036155194312,1997.246055594375
14,7mhh,0.0929427805420861,0.0718111689602028,0.0554663489617344,0.2676912404748218,0.0219315131395061,0.1933349838632117,0.0907851567933362,0.2060368072651008,0.0,0.3003591953846385,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/176_w_xray_7mhh_ref_15/14.pdb,0.29751305896715335,519.6242259927417
15,7mhh,0.0948654763940431,0.2149818388674941,0.1773265701217048,0.1105144712497914,0.0427494263814578,0.1949752081198889,0.0309410398147493,0.1336459690508703,0.0,0.3007409850261158,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/176_w_xray_7mhh_ref_15/15.pdb,0.30209912072725253,1287.0980317254512
16,7mhh,0.0361013690053197,0.0459259659407801,0.1022787446347724,0.204928131495202,0.2643103485957609,0.2023313198888724,0.0407536469158923,0.1033704735233999,0.0,0.3007616798329841,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/176_w_xray_7mhh_ref_15/16.pdb,0.3003598333056059,16.1880524624801
17,7mhh,0.2044812469459926,0.1344369945564512,0.1075392076688055,0.1228450247472656,0.1088440216021828,0.0510811766167728,0.1634829001142167,0.1072894277483124,0.0,0.3007978364185031,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/176_w_xray_7mhh_ref_15/17.pdb,0.2984143125635832,1263.964190337298
