,cif_name,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_xray_id,r_free_0,pdb
0,7mhh,0.1628769301244909,0.0253853156916653,0.0462971157295233,0.170574006614483,0.2106426836493284,0.1355222717781484,0.0701253921276425,0.178576284284718,0.0,0.2980499407903618,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/176_w_xray_7mhh/N3_W0/output_42/pdbs/2.pdb
1,7mhh,0.0929427805420861,0.0718111689602028,0.0554663489617344,0.2676912404748218,0.0219315131395061,0.1933349838632117,0.0907851567933362,0.2060368072651008,0.0,0.2986290125901262,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/176_w_xray_7mhh/N3_W0/output_9/pdbs/1.pdb
2,7mhh,0.1628769301244909,0.0253853156916653,0.0462971157295233,0.170574006614483,0.2106426836493284,0.1355222717781484,0.0701253921276425,0.178576284284718,0.0,0.2987368643459135,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/176_w_xray_7mhh/N3_W0/output_42/pdbs/3.pdb
3,7mhh,0.2341411720278313,0.0433502543227333,0.1925887290930115,0.0972711007443024,0.0661897293453656,0.1699390535506849,0.0836912752224257,0.1128286856936449,0.0,0.2988169928720999,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/176_w_xray_7mhh/N3_W0/output_1/pdbs/4.pdb
4,7mhh,0.2282939130242786,0.0605647789882056,0.1147241322837113,0.1779069998082448,0.2228136391532253,0.0441092392679402,0.0769665403640326,0.0746207571103613,0.0,0.298839301919808,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/176_w_xray_7mhh/N3_W0/output_18/pdbs/3.pdb
5,7mhh,0.1608902240192869,0.0852498686131675,0.1421840301053842,0.1615880461660394,0.1413957358003174,0.0989100902819574,0.1685774548432227,0.0412045501706242,0.0,0.2993271832335606,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/176_w_xray_7mhh/N3_W0/output_24/pdbs/3.pdb
6,7mhh,0.2282939130242786,0.0605647789882056,0.1147241322837113,0.1779069998082448,0.2228136391532253,0.0441092392679402,0.0769665403640326,0.0746207571103613,0.0,0.2994777396449757,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/176_w_xray_7mhh/N3_W0/output_18/pdbs/4.pdb
7,7mhh,0.171338924402248,0.1455029531364407,0.1568453069705467,0.0590065789424424,0.0970306312890848,0.0861919122790325,0.1201405578013375,0.1639431351788671,0.0,0.2995502950827825,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/176_w_xray_7mhh/N3_W0/output_37/pdbs/2.pdb
8,7mhh,0.1841582237906708,0.0536623642858786,0.1229495348306854,0.2273255573635271,0.1137182662999965,0.1569594621614469,0.0405630455994081,0.1006635456683864,0.0,0.299702903295227,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/176_w_xray_7mhh/N3_W0/output_32/pdbs/3.pdb
9,7mhh,0.1608902240192869,0.0852498686131675,0.1421840301053842,0.1615880461660394,0.1413957358003174,0.0989100902819574,0.1685774548432227,0.0412045501706242,0.0,0.2997577831253073,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/176_w_xray_7mhh/N3_W0/output_24/pdbs/4.pdb
10,7mhh,0.1108588119361874,0.0240455909812762,0.2593327315150864,0.1248333559341107,0.0594548582416189,0.1467188033920843,0.0160181269542763,0.2587377210453594,0.0,0.2998849584228282,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/176_w_xray_7mhh/N3_W0/output_40/pdbs/2.pdb
11,7mhh,0.1108588119361874,0.0240455909812762,0.2593327315150864,0.1248333559341107,0.0594548582416189,0.1467188033920843,0.0160181269542763,0.2587377210453594,0.0,0.3000703648314453,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/176_w_xray_7mhh/N3_W0/output_40/pdbs/3.pdb
12,7mhh,0.1628769301244909,0.0253853156916653,0.0462971157295233,0.170574006614483,0.2106426836493284,0.1355222717781484,0.0701253921276425,0.178576284284718,0.0,0.3000996978510492,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/176_w_xray_7mhh/N3_W0/output_42/pdbs/4.pdb
13,7mhh,0.1841582237906708,0.0536623642858786,0.1229495348306854,0.2273255573635271,0.1137182662999965,0.1569594621614469,0.0405630455994081,0.1006635456683864,0.0,0.3002566301160989,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/176_w_xray_7mhh/N3_W0/output_32/pdbs/4.pdb
14,7mhh,0.0929427805420861,0.0718111689602028,0.0554663489617344,0.2676912404748218,0.0219315131395061,0.1933349838632117,0.0907851567933362,0.2060368072651008,0.0,0.3003591953846385,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/176_w_xray_7mhh/N3_W0/output_9/pdbs/2.pdb
15,7mhh,0.0948654763940431,0.2149818388674941,0.1773265701217048,0.1105144712497914,0.0427494263814578,0.1949752081198889,0.0309410398147493,0.1336459690508703,0.0,0.3007409850261158,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/176_w_xray_7mhh/N3_W0/output_41/pdbs/3.pdb
16,7mhh,0.0361013690053197,0.0459259659407801,0.1022787446347724,0.204928131495202,0.2643103485957609,0.2023313198888724,0.0407536469158923,0.1033704735233999,0.0,0.3007616798329841,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/176_w_xray_7mhh/N3_W0/output_0/pdbs/1.pdb
