,N,J,w_xray,r_free,w_0_7mhl,r_work_7mhl,ff,pdb,cif_0
33,1.0,1.0,0.03125,0.5309082838531926,1.0,0.5370728664385916,2709.9897657049805,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/33/output_7/pdbs/84.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
34,1.0,1.0,0.0625,0.5240593845386017,1.0,0.5211802406979023,2621.8668448141675,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/34/output_7/pdbs/116.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
35,1.0,1.0,0.125,0.5202106552410825,1.0,0.4922664124865414,2952.244709536699,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/35/output_0/pdbs/105.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
36,1.0,1.0,0.25,0.520793666714276,1.0,0.4761886378615357,3476.6847479213534,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/36/output_9/pdbs/92.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
37,1.0,1.0,0.5,0.5256121554222183,1.0,0.4594121030918838,5280.672500375195,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/37/output_0/pdbs/119.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
38,1.0,1.0,1.0,0.524443724426367,1.0,0.419987746985127,35559.60250387742,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/38/output_9/pdbs/116.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
39,1.0,1.0,2.0,0.5218087548857812,1.0,0.4019718821658207,3083295.2133153314,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/39/output_4/pdbs/112.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
40,1.0,1.0,4.0,0.5290590786233114,1.0,0.4125324111272509,3588542.8086689934,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/40/output_9/pdbs/138.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
41,1.0,1.0,8.0,0.5297340261112615,1.0,0.4379850038687569,4724477.017710075,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/41/output_3/pdbs/77.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
42,1.0,1.0,16.0,0.5211391983538151,1.0,0.4327540023964522,2308046.237057104,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/42/output_3/pdbs/21.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
43,1.0,1.0,32.0,0.5203969007498266,1.0,0.4138336068646625,341091428479.1893,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/43/output_5/pdbs/44.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
44,1.0,1.0,0.03125,0.5143947414187179,1.0,0.5289668895187153,2768.634469399501,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/44/output_6/pdbs/59.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
45,1.0,1.0,0.0625,0.5166564705975689,1.0,0.5159677263584102,2663.1922236304526,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/45/output_1/pdbs/97.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
46,1.0,1.0,0.125,0.5126756732045236,1.0,0.4918872478917543,2641.345658501562,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/46/output_0/pdbs/137.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
47,1.0,1.0,0.25,0.5183499217652048,1.0,0.4829211001953908,3239.2175612948504,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/47/output_7/pdbs/53.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
48,1.0,1.0,0.5,0.5203866958054852,1.0,0.4627375975522218,4717.796508744498,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/199_refine/48/output_4/pdbs/92.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif
