,N,J,w_xray,r_free_7mhf,rmsd,r_work_7mhf,xray_7mhf,r_free_7mhg,r_work_7mhg,xray_7mhg,ff,pdb,w_0_7mhf,w_0_7mhg,w_1_7mhf,w_1_7mhg,cif_0,cif_1,r_free_7mhh,r_work_7mhh,xray_7mhh,w_0_7mhh,w_1_7mhh,r_free_7mhi,r_work_7mhi,xray_7mhi,w_0_7mhi,w_1_7mhi,r_free_7mhj,r_work_7mhj,xray_7mhj,w_0_7mhj,w_1_7mhj,r_free_7mhk,r_work_7mhk,xray_7mhk,w_0_7mhk,w_1_7mhk
16,2.0,2.0,0.5,,5.487580273085143,,,0.3230961166515876,0.2892583730547771,5.395686892572673,45518.49671286797,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2/8/output_249/pdbs/334.pdb,,0.6636060089544717,,0.3363939910455283,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhg.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhk.cif,,,,,,,,,,,,,,,,0.3783807851227309,0.2935786133373325,5.7177246243545286,0.0495936120257837,0.9504063879742164
17,2.0,2.0,0.5,,8.678923622182648,,,0.3478537098331497,0.3016405264508827,5.456838457814864,45495.25781909659,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2/8/output_625/pdbs/329.pdb,,0.0836990072854437,,0.9163009927145565,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhg.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhk.cif,,,,,,,,,,,,,,,,0.3063829359682795,0.2571538820751971,5.517641813447078,0.4395715814092633,0.5604284185907367
18,2.0,2.0,0.5,,22.746817043078277,,,,,,46175.1230499278,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2/9/output_100/pdbs/415.pdb,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhh.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhi.cif,0.3039050011091023,0.2207732138541563,5.917755091917304,0.3708148419184296,0.6291851580815704,0.3195867626489266,0.2312694188655542,5.4708500370245705,0.567033638092652,0.432966361907348,,,,,,,,,,
19,2.0,2.0,0.5,,4.83001268880246,,,,,,51616.75579327008,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2/9/output_546/pdbs/267.pdb,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhh.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhi.cif,0.3678599629780891,0.2607266427027718,6.151108790644803,0.9198777453361832,0.0801222546638168,0.3018651927886176,0.2457526692837119,5.527738539453699,0.3164103824455671,0.6835896175544329,,,,,,,,,,
20,2.0,2.0,0.5,,18.147891337625524,,,,,,49032.81275759599,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2/10/output_569/pdbs/414.pdb,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhh.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhj.cif,0.3094950729702713,0.2258997513321653,5.960015228640387,0.6521828837429505,0.3478171162570494,,,,,,0.3351550447297569,0.2481404625370164,5.645450432104118,0.2695424089941411,0.7304575910058588,,,,,
21,2.0,2.0,0.5,,10.186423422910662,,,,,,49114.38247436431,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2/10/output_116/pdbs/261.pdb,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhh.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhj.cif,0.3342860151061223,0.2268396438362838,5.985488203063874,0.6072489465385468,0.3927510534614533,,,,,,0.3072567610463951,0.2288724365151064,5.575761013977983,0.4035883921897661,0.5964116078102338,,,,,
22,2.0,2.0,0.5,,1.3750836559959108,,,,,,53872.49752677576,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2/11/output_247/pdbs/109.pdb,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhh.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhk.cif,0.3103346133523486,0.2382964683934841,5.97395658562126,0.6203395048621289,0.3796604951378711,,,,,,,,,,,0.3418399165856101,0.2597204743023624,5.558474131549824,0.4000614552804893,0.5999385447195106
23,2.0,2.0,0.5,,5.799221737237206,,,,,,50073.47207767415,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2/11/output_729/pdbs/248.pdb,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhh.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhk.cif,0.3612027010162446,0.2530239985490267,6.086201837810279,0.7793655462857708,0.2206344537142291,,,,,,,,,,,0.3148495679077188,0.2494442569824542,5.542769126676543,0.3642665947503977,0.6357334052496024
24,2.0,2.0,0.5,,18.64371068479289,,,,,,48486.059708725166,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2/12/output_279/pdbs/455.pdb,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhi.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhj.cif,,,,,,0.2974618815791508,0.2391858954996644,5.490614640587346,0.6980097173206646,0.3019902826793353,0.3219578094292165,0.2382898301953892,5.603040178725351,0.3385954546595087,0.6614045453404914,,,,,
25,2.0,2.0,0.5,,7.000111338127237,,,,,,51177.21328729759,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2/12/output_355/pdbs/314.pdb,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhi.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhj.cif,,,,,,0.3090744445988853,0.2261374790434141,5.441761643723946,0.4496275163004969,0.5503724836995031,0.2979718626540985,0.2205944510459972,5.524905423676848,0.5728508180817109,0.4271491819182891,,,,,
