,state_id,job_id,w_xray_id,field,w_0_0,r_free_0,ff,pdb,r_free_1,w_1_0,w_xray,N
4,0.0,0.0,4.0,0.3492222921350429,1.0,0.3492222921350429,2077.097917855676,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n0_j0_w4/output_6/pdbs/210.pdb,,,0.5,1
15,0.0,1.0,4.0,0.2986796223554152,1.0,0.2986796223554152,7476.601990863622,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n0_j1_w4/output_5/pdbs/207.pdb,0.2814820658451142,,0.5,1
26,0.0,2.0,4.0,0.2232372493687916,1.0,0.2232372493687916,2574.9470860540623,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n0_j2_w4/output_5/pdbs/287.pdb,,,0.5,1
37,0.0,3.0,4.0,0.1971325267568558,1.0,0.1971325267568558,7778.919056921893,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n0_j3_w4/output_6/pdbs/240.pdb,0.2256486638297056,,0.5,1
48,0.0,4.0,4.0,0.3239391571772125,1.0,0.3239391571772125,1713.3516273525547,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n0_j4_w4/output_7/pdbs/279.pdb,,,0.5,1
59,0.0,5.0,4.0,0.2775354368615128,1.0,0.2775354368615128,7116.758350913139,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n0_j5_w4/output_4/pdbs/230.pdb,0.2773713882377318,,0.5,1
71,0.0,6.0,5.0,0.3203199993307156,1.0,0.3203199993307156,6800.158520063544,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n0_j6_w5/output_4/pdbs/246.pdb,,,1.0,1
81,0.0,7.0,4.0,0.2641379666894826,1.0,0.2641379666894826,7479.58722529549,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n0_j7_w4/output_5/pdbs/238.pdb,0.2525044575336551,,0.5,1
92,0.0,8.0,4.0,0.2747575108459316,1.0,0.2747575108459316,2255.810104526884,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n0_j8_w4/output_6/pdbs/272.pdb,,,0.5,1
103,0.0,9.0,4.0,0.249591848568301,1.0,0.249591848568301,7494.37386658755,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n0_j9_w4/output_1/pdbs/162.pdb,0.2603064951311137,,0.5,1
114,0.0,10.0,4.0,0.2145698970224062,1.0,0.2145698970224062,2833.718711459624,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n0_j10_w4/output_3/pdbs/261.pdb,,,0.5,1
125,0.0,11.0,4.0,0.2057159878326642,1.0,0.2057159878326642,9004.037672713073,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n0_j11_w4/output_0/pdbs/233.pdb,0.2073683313813628,,0.5,1
136,0.0,12.0,4.0,0.3420574205785495,1.0,0.3420574205785495,1806.2997469901925,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench_ref_10000/n0_j12_w4/output_5/pdbs/155.pdb,,,0.5,1
