,r_free_1_1,r_free_1_2,r_free_2_1,r_free_2_2
0,0.3450157463743939,0.3124078751375944,0.2386676775387398,0.2137604452385712
1,0.2258464106470114,0.1919711535710024,0.1856399671815566,0.2003088159859027
2,0.3243982979251312,0.2798281489242844,0.2480155134330049,0.2110558832745189
3,0.319935936763524,0.2666752893423572,0.25662818960151,0.199177807433019
4,0.2709273801375778,0.2509086857366027,0.2376961192766467,0.2046584348682683
5,0.2039473002969782,0.1939049745630922,0.1646699016018609,0.1514317663800138
6,0.3426288760261765,0.2920360325684358,0.256886200706468,0.2073042855904478
7,0.2728837372240767,0.2538395065748308,0.2494481277082978,0.1966710214275698
8,0.3038386592762631,0.2685255586285304,0.2510635261574943,0.2204436147582881
9,0.2205746821089866,0.2033242322786107,0.1954695734101432,0.1795519227481047
