,min_xray,avg_min_xray,min_xray_r_free_0,avg_min_xray_r_free_0,min_xray_rmsd_ord,avg_min_xray_rmsd_ord,min_xray_rmsd_avg,avg_min_xray_rmsd_avg,pdb
0,3.7081082152435143,3.798793241556017,0.0572210080869993,0.06312646684780604,0.0733099583855172,0.09098758368229949,0.034554476543842,0.039660229802612676,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/65_native_uni/0/output_25/pdbs/183.pdb
1,3.5703337517668428,3.831302039512896,0.0566746927343008,0.07427965850413135,0.1289240964829288,0.18809114744394434,0.0226986844398141,0.03235495887325682,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/65_native_uni/1/output_18/pdbs/150.pdb
2,3.5427998146756545,3.7824688075690487,0.0544127585225994,0.06868996695308663,0.1230526952308985,0.15209994911336974,0.0288993245598061,0.03471455607219215,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/65_native_uni/2/output_15/pdbs/204.pdb
3,3.718897277629933,3.7974553221538527,0.0588951158371194,0.06563224357226036,0.0904663372983262,0.10742919529661334,0.0325586681546626,0.037188513619900346,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/65_native_uni/3/output_34/pdbs/149.pdb
4,3.691095321356463,3.8120157418638794,0.0586268576095832,0.06757536946325651,0.0954541730863036,0.12437897026834553,0.0306614805155491,0.03556183332999516,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/65_native_uni/4/output_12/pdbs/207.pdb
5,3.60952393184028,3.9395539817543757,0.0570723647429311,0.08250477386794824,0.1112945684597776,0.15994588814489505,0.0253206735660823,0.0357007058881277,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/65_native_uni/5/output_24/pdbs/128.pdb
6,3.6650282625494,3.7732238506427365,0.0559281956862362,0.06315846674448697,0.0794009935955057,0.09831232379026314,0.0339703123673864,0.03855501257612633,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/65_native_uni/6/output_47/pdbs/186.pdb
7,3.690295835867179,3.7514788634701564,0.0564730341325417,0.06087916437775468,0.0775522110305285,0.09086317755621218,0.0324611787271626,0.03872168485660316,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/65_native_uni/7/output_35/pdbs/153.pdb
8,3.4648229443163805,3.7322920232101637,0.0505739791411153,0.06758975785397058,0.1339285170438496,0.1996008813865261,0.0195363581803952,0.032208788127017086,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/65_native_uni/8/output_5/pdbs/166.pdb
9,3.61399806910598,3.792227592601589,0.0546014534861573,0.06647215537281982,0.1196527663978225,0.1504139041402502,0.0278244389126422,0.034251907921881666,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/65_native_uni/9/output_23/pdbs/176.pdb
10,4.110902385965463,4.354712104874304,0.1223354024198289,0.1542612130249596,0.2101480098114032,0.3683874497592326,0.0203352197375639,0.04223980927956422,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/65_native_uni/10/output_38/pdbs/160.pdb
11,4.634262939331473,4.696702209978747,0.1995503060122336,0.2138298150161442,0.2912372915218171,0.4116166260890178,0.0862669287995439,0.09830780334519318,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/65_native_uni/11/output_9/pdbs/100.pdb
12,4.358616922150404,4.560604228125703,0.1515374964144968,0.18820089674123147,0.3236099550465216,0.446084509761664,0.0289570129135516,0.06168832425024687,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/65_native_uni/12/output_20/pdbs/126.pdb
13,4.320730029415583,4.563847674683283,0.1430512317484721,0.18803734677004658,0.2515388543637817,0.38447763886341463,0.0176591829810816,0.06153577056217094,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/65_native_uni/13/output_48/pdbs/170.pdb
14,4.5077510211379375,4.666186906677766,0.1841080746935508,0.21852355076703456,0.2600303409134498,0.49472130014501176,0.0246209517401132,0.08143535028876149,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/65_native_uni/14/output_13/pdbs/180.pdb
15,4.604451258617079,4.695636103728381,0.193394064847059,0.21492375518481008,0.2823746197596315,0.43163489992578613,0.0243422451247531,0.08008272232596358,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/65_native_uni/15/output_45/pdbs/125.pdb
16,4.439519091818477,4.544273552028631,0.1614121477869919,0.18023139562083654,0.2391844280644355,0.34065844370429166,0.0153460255177594,0.03192507585725897,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/65_native_uni/16/output_19/pdbs/171.pdb
17,4.325117895602714,4.490780558265598,0.1497782027491571,0.1728626952526987,0.2565084436471698,0.3663279690208638,0.0170326093400771,0.051026697924096254,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/65_native_uni/17/output_39/pdbs/118.pdb
18,4.32258864734481,4.515958229917397,0.1403329495471873,0.17447601918231162,0.2097748028791863,0.37178769860717104,0.0717477938285089,0.11512523343181541,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/65_native_uni/18/output_38/pdbs/119.pdb
19,4.361491630550326,4.538875332390361,0.1493203135541085,0.17993904229445826,0.2441222643674612,0.3977153698651685,0.0147224097705261,0.04317127104338142,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/65_native_uni/19/output_48/pdbs/186.pdb
20,5.184746658820883,5.285340535558363,0.3842468632035684,0.42218055132520405,0.950624153362293,1.1505663392621732,0.3331186387591724,0.5106611036724469,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/65_native_uni/20/output_7/pdbs/147.pdb
