,min_xray_0+xray_1,xray_0+xray_1_min_0_xray_1,xray_0+xray_1_min_0_r_free_0,xray_0+xray_1_min_0_r_free_1,xray_0+xray_1_min_0_rmsd_avg_0,xray_0+xray_1_min_0_rmsd_avg_1,xray_0+xray_1_min_0_ff,xray_0+xray_1_min_0_pdb
0,10.258876162520624,5.133314832733216,0.1558444692472949,0.1536863063212605,0.2230187302026343,0.2182875097696373,22365.652049912867,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/119_natives_2_cif/0/output_875/pdbs/361.pdb
1,10.155425048567182,5.055381240710579,0.1288491779980461,0.1337440493947272,0.1772732503689741,0.1519328886640792,24047.99207419883,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/119_natives_2_cif/1/output_980/pdbs/363.pdb
2,10.195836099961623,5.097873687090321,0.1496480739993239,0.1471549856668867,0.2176593020571757,0.2179197794603808,22421.99916819285,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/119_natives_2_cif/2/output_254/pdbs/315.pdb
3,10.244390908714443,5.123684008085064,0.1509103042709713,0.143919858202236,0.2266862862984715,0.2162043983114342,21063.00354535484,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/119_natives_2_cif/3/output_229/pdbs/362.pdb
4,10.30372836495094,5.15647777308346,0.1478984322452636,0.1591808906009669,0.2004916118060601,0.2084799362071935,21245.566091572848,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/119_natives_2_cif/4/output_367/pdbs/275.pdb
5,9.735638921365622,4.905024106486683,0.0953190975594299,0.1087769218382007,0.1838299638944824,0.197730438049927,22040.913432732097,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/119_natives_2_cif/5/output_490/pdbs/376.pdb
6,10.31059615823012,5.150043610959488,0.1592306580227068,0.1551114178207256,0.235350515084663,0.2352166265305154,22673.835461294013,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/119_natives_2_cif/6/output_87/pdbs/345.pdb
7,10.1709405209314,5.076069674815211,0.1443094352596785,0.1440782401308777,0.1942399470045514,0.1967727611561127,21567.955594942174,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/119_natives_2_cif/7/output_128/pdbs/305.pdb
8,10.318484724081936,5.163458352174296,0.1555221568307293,0.1580119593183821,0.2119212525242673,0.2087654707548611,23042.59047278549,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/119_natives_2_cif/8/output_802/pdbs/339.pdb
9,10.01152243116902,5.019779688641755,0.1201605921678573,0.1258097919217345,0.1789274463656019,0.1878514492959065,22561.37547782435,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/119_natives_2_cif/9/output_932/pdbs/366.pdb
