,decoy_file,pdb_0,id_0,w_0,pdb_1,id_1,w_1
762,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/81_native_2x_decoys/native_2x_2/762.pdb,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/81_native_2x_decoys/15/output_35/pdbs/9.pdb,0.0,0.6473993316983633,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/81_native_2x_decoys/15/output_35/pdbs/9.pdb,1.0,0.3526006683016368
763,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/81_native_2x_decoys/native_2x_2/763.pdb,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/81_native_2x_decoys/15/output_14/pdbs/9.pdb,0.0,0.6479978590619904,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/81_native_2x_decoys/15/output_14/pdbs/9.pdb,1.0,0.3520021409380097
764,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/81_native_2x_decoys/native_2x_2/764.pdb,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/81_native_2x_decoys/15/output_70/pdbs/9.pdb,0.0,0.6225544593836891,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/81_native_2x_decoys/15/output_70/pdbs/9.pdb,1.0,0.3774455406163109
765,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/81_native_2x_decoys/native_2x_2/765.pdb,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/81_native_2x_decoys/15/output_69/pdbs/15.pdb,0.0,0.6250033248212242,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/81_native_2x_decoys/15/output_69/pdbs/15.pdb,1.0,0.3749966751787758
766,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/81_native_2x_decoys/native_2x_2/766.pdb,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/81_native_2x_decoys/15/output_32/pdbs/15.pdb,0.0,0.6186978470284601,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/81_native_2x_decoys/15/output_32/pdbs/15.pdb,1.0,0.3813021529715399
767,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/81_native_2x_decoys/native_2x_2/767.pdb,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/81_native_2x_decoys/15/output_76/pdbs/17.pdb,0.0,0.6278422801844462,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/81_native_2x_decoys/15/output_76/pdbs/17.pdb,1.0,0.3721577198155539
768,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/81_native_2x_decoys/native_2x_2/768.pdb,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/81_native_2x_decoys/15/output_93/pdbs/17.pdb,0.0,0.6529271176867102,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/81_native_2x_decoys/15/output_93/pdbs/17.pdb,1.0,0.3470728823132898
769,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/81_native_2x_decoys/native_2x_2/769.pdb,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/81_native_2x_decoys/15/output_30/pdbs/19.pdb,0.0,0.6476166485485435,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/81_native_2x_decoys/15/output_30/pdbs/19.pdb,1.0,0.3523833514514564
770,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/81_native_2x_decoys/native_2x_2/770.pdb,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/81_native_2x_decoys/15/output_39/pdbs/27.pdb,0.0,0.6171266068322755,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/81_native_2x_decoys/15/output_39/pdbs/27.pdb,1.0,0.38287339316772445
771,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/81_native_2x_decoys/native_2x_2/771.pdb,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/81_native_2x_decoys/15/output_13/pdbs/17.pdb,0.0,0.5962612338865063,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/81_native_2x_decoys/15/output_13/pdbs/17.pdb,1.0,0.4037387661134938
