,r_free,ff,pdb,w_0,cif_name,N,J,job_id,cifs,w_1
33,0.283137400891378,9540.730189070797,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J2/output_133/pdbs/272.pdb,0.9513375697272,0,2,1,2,0,0.0486624302727999
34,0.2761464068370514,9669.185853513893,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J3/output_95/pdbs/291.pdb,0.0480740890180107,0,2,2,3,"0,1",0.9519259109819892
35,0.281217507914009,9350.789067788332,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J3/output_138/pdbs/283.pdb,0.0835249279150291,1,2,2,3,"0,1",0.9164750720849708
36,0.3182428006878423,9641.850020499483,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J4/output_93/pdbs/267.pdb,0.8408463639619372,0,2,1,4,0,0.1591536360380627
37,0.2854793655042345,9711.331872683457,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J5/output_95/pdbs/273.pdb,0.1569066564121148,0,2,2,5,"0,1",0.8430933435878851
38,0.2880147921749178,9144.383314444573,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J5/output_244/pdbs/228.pdb,0.7640841497044086,1,2,2,5,"0,1",0.2359158502955914
39,0.3524812508256323,9238.239485994653,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J6/output_3/pdbs/262.pdb,0.1581972271116709,0,2,1,6,0,0.841802772888329
40,0.3182830241829724,8969.943909788102,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J7/output_174/pdbs/260.pdb,0.8550723414488611,0,2,2,7,"0,1",0.1449276585511388
41,0.3097524459070511,9019.134693531882,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J7/output_55/pdbs/244.pdb,0.8925674924596286,1,2,2,7,"0,1",0.1074325075403714
42,0.324658337361813,9041.333144466847,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J8/output_40/pdbs/246.pdb,0.9048792170352952,0,2,1,8,0,0.0951207829647049
43,0.2469606176821971,10056.738009555904,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J9/output_193/pdbs/282.pdb,0.9254196249119552,0,2,2,9,"0,1",0.0745803750880447
44,0.2561032099306596,10143.300356287387,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J9/output_193/pdbs/266.pdb,0.9013272567815546,1,2,2,9,"0,1",0.0986727432184454
45,0.2753268975961395,9429.51992544883,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J10/output_30/pdbs/223.pdb,0.9497083279851892,0,2,1,10,0,0.0502916720148106
46,0.2676842259830681,9379.403305588668,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J11/output_53/pdbs/257.pdb,0.949620818492,0,2,2,11,"0,1",0.0503791815080001
47,0.259078249557194,9237.163495583343,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J11/output_170/pdbs/206.pdb,0.0474763491376001,1,2,2,11,"0,1",0.9525236508624
